Date,KTOS_stock_Open_average,KTOS_stock_Open_max,KTOS_stock_Open_min,KTOS_stock_Open_volatility,KTOS_stock_Open_change,KTOS_stock_High_average,KTOS_stock_High_max,KTOS_stock_High_min,KTOS_stock_High_volatility,KTOS_stock_High_change,KTOS_stock_Low_average,KTOS_stock_Low_max,KTOS_stock_Low_min,KTOS_stock_Low_volatility,KTOS_stock_Low_change,KTOS_stock_Close_average,KTOS_stock_Close_max,KTOS_stock_Close_min,KTOS_stock_Close_volatility,KTOS_stock_Close_change,KTOS_stock_Volume_average,KTOS_stock_Volume_max,KTOS_stock_Volume_min,KTOS_stock_Volume_volatility,KTOS_stock_Volume_change
2018-01-14,11.225,11.35,11.07,0.27999999999999936,-0.07000000000000028,11.3575,11.44,11.28,0.16000000000000014,-0.03999999999999915,11.0175,11.15,10.9,0.25,0.25,11.1925,11.3,10.99,0.3100000000000005,0.3100000000000005,1483360,2407335,1113152,1294183,-135594
2018-01-21,11.094,11.22,10.92,0.3000000000000007,-0.040000000000000924,11.27,11.54,11.16,0.379999999999999,0.28999999999999915,10.882,11.02,10.67,0.34999999999999964,0.11999999999999922,11.146,11.52,10.96,0.5599999999999987,0.5599999999999987,1689659,2254847,978676,1276171,690800
2018-01-28,11.558,11.94,11.35,0.5899999999999999,-0.15000000000000036,11.772,12.07,11.53,0.5400000000000009,-0.16000000000000014,11.282,11.46,11.15,0.3100000000000005,-0.20000000000000107,11.564,12.0,11.35,0.6500000000000004,-0.17999999999999972,2696652,4803121,1325246,3477875,440020
2018-02-04,10.916,11.37,10.24,1.129999999999999,0.129999999999999,11.314,11.55,10.76,0.7900000000000009,0.15000000000000036,10.606,11.08,10.22,0.8599999999999994,0.27999999999999936,10.946,11.32,10.51,0.8100000000000005,0.7400000000000002,2659174,3238722,2126097,1112625,-727788
2018-02-11,11.620000000000001,12.3,11.26,1.040000000000001,1.0,11.974,12.65,11.48,1.17,1.17,11.512,12.27,11.07,1.1999999999999993,1.1999999999999993,11.911999999999999,12.61,11.35,1.2599999999999998,1.2599999999999998,1692103,2256848,1215963,1040885,672560
2018-02-18,12.545,12.65,12.32,0.33000000000000007,-0.2400000000000002,12.7125,12.92,12.39,0.5299999999999994,-0.5299999999999994,12.315,12.53,12.12,0.41000000000000014,-0.35999999999999943,12.4275,12.65,12.23,0.41999999999999993,-0.33999999999999986,1590516,2107077,951202,1155875,-761845
2018-02-25,11.86,12.46,10.95,1.5100000000000016,-1.5100000000000016,12.122,12.7,11.33,1.3699999999999992,-1.3699999999999992,11.568,12.27,10.75,1.5199999999999996,-1.42,11.736,12.37,11.04,1.33,-1.129999999999999,2339868,4113453,1441764,2671689,358295
2018-03-04,11.2,11.5,10.96,0.5399999999999991,0.3100000000000005,11.338,11.56,11.11,0.45000000000000107,0.3600000000000012,10.986,11.32,10.72,0.5999999999999996,0.5300000000000011,11.228,11.45,10.95,0.5,0.4400000000000013,1457010,2258238,983269,1274969,-1274969
2018-03-11,11.166,11.53,10.44,1.0899999999999999,-0.9400000000000013,11.264,11.76,10.45,1.3100000000000005,-1.1400000000000006,10.66,11.38,9.24,2.1400000000000006,-2.1400000000000006,10.716,11.45,9.28,2.17,-2.17,3845236,13030928,1063603,11967325,11967325
2018-03-18,9.452,9.8,9.22,0.5800000000000001,0.08000000000000007,9.724,10.15,9.31,0.8399999999999999,-0.3099999999999987,9.208,9.5,8.9,0.5999999999999996,0.0600000000000005,9.41,9.71,9.02,0.6900000000000013,-0.2900000000000009,2836336,4114327,1962660,2151667,-2108651
2018-03-25,9.7375,10.36,9.13,1.2299999999999986,1.2299999999999986,10.0725,10.57,9.58,0.9900000000000002,0.8699999999999992,9.6025,10.02,9.12,0.9000000000000004,0.9000000000000004,9.94,10.38,9.54,0.8400000000000016,0.75,3162629,6022743,1640156,4382587,364843
2018-04-01,10.336,10.56,10.11,0.45000000000000107,0.3100000000000005,10.548,10.86,10.37,0.4900000000000002,0.47999999999999865,10.222,10.51,10.03,0.4800000000000004,0.4800000000000004,10.45,10.67,10.21,0.4599999999999991,0.3200000000000003,1491978,2194403,1043887,1150516,-773255
2018-04-08,10.84,11.21,10.58,0.6300000000000008,0.4800000000000004,11.002,11.25,10.7,0.5500000000000007,0.4499999999999993,10.66,10.94,10.42,0.5199999999999996,0.3000000000000007,10.799999999999999,11.11,10.54,0.5700000000000003,0.3200000000000003,1518200,1916940,1072028,844912,473262
