Date,IAC_Open_average,IAC_Open_max,IAC_Open_min,IAC_Open_volatility,IAC_Open_change,IAC_High_average,IAC_High_max,IAC_High_min,IAC_High_volatility,IAC_High_change,IAC_Low_average,IAC_Low_max,IAC_Low_min,IAC_Low_volatility,IAC_Low_change,IAC_Close_average,IAC_Close_max,IAC_Close_min,IAC_Close_volatility,IAC_Close_change,IAC_Volume_average,IAC_Volume_max,IAC_Volume_min,IAC_Volume_volatility,IAC_Volume_change
2018-01-14,135.576,137.72,134.05,3.6699999999999875,2.2299999999999898,137.208,141.22,135.52,5.699999999999989,5.050000000000011,134.114,137.5,132.37,5.1299999999999955,5.1299999999999955,136.26,140.94,132.77,8.169999999999987,8.169999999999987,616584,771258,353888,417370,172846
2018-01-21,143.33599999999998,144.04,141.89,2.1500000000000057,2.1500000000000057,144.47400000000002,144.74,144.31,0.4300000000000068,0.09999999999999432,141.612,142.31,141.14,1.170000000000016,0.010000000000019327,143.358,144.54,141.98,2.5600000000000023,0.13999999999998636,662970,1127553,385780,741773,-375664
2018-01-28,144.156,145.72,142.39,3.3300000000000125,1.210000000000008,145.914,146.9,144.26,2.640000000000015,1.170000000000016,142.32,143.92,140.01,3.9099999999999966,-0.37000000000000455,143.664,145.09,140.24,4.849999999999994,-3.299999999999983,804273,1055981,519398,536583,290572
2018-02-04,141.134,150.42,136.44,13.97999999999999,0.46000000000000796,144.664,150.59,138.83,11.759999999999991,-1.6599999999999966,135.912,142.23,130.19,12.039999999999992,1.3300000000000125,139.88,145.35,134.64,10.710000000000008,-1.539999999999992,1528345,2480420,693936,1786484,377683
2018-02-11,145.6375,151.37,139.99,11.379999999999995,8.310000000000002,149.01,151.5,144.0,7.5,6.139999999999986,143.2425,147.53,137.91,9.620000000000005,9.620000000000005,147.7025,149.74,143.75,5.990000000000009,5.340000000000003,1149217,1729342,500551,1228791,-816539
2018-02-18,151.058,154.14,148.11,6.029999999999973,6.029999999999973,153.52599999999998,154.53,151.6,2.930000000000007,2.930000000000007,149.462,152.11,146.43,5.680000000000007,5.680000000000007,151.614,153.99,149.83,4.159999999999997,2.3999999999999773,686368,798106,581503,216603,1791
2018-02-25,150.11599999999999,152.37,148.38,3.990000000000009,-1.0200000000000102,152.876,154.36,151.85,2.5100000000000193,1.6000000000000227,147.796,150.56,145.01,5.550000000000011,1.5600000000000023,150.702,154.09,148.88,5.210000000000008,4.990000000000009,755711,1013423,560032,453391,-278030
2018-03-04,157.09,161.71,153.54,8.170000000000016,7.680000000000007,158.834,162.23,155.54,6.689999999999998,6.689999999999998,155.758,159.03,151.93,7.099999999999994,7.099999999999994,158.478,162.06,155.25,6.810000000000002,6.810000000000002,596851,980064,432923,547141,547141
2018-03-11,162.746,166.04,159.5,6.539999999999992,1.009999999999991,164.966,166.64,163.5,3.1399999999999864,0.9099999999999966,160.714,164.08,158.9,5.180000000000007,0.12999999999999545,162.654,166.03,159.4,6.6299999999999955,1.6200000000000045,707767,788111,658234,129877,26897
2018-03-18,161.302,165.69,158.29,7.400000000000006,-0.4399999999999977,163.81799999999998,166.42,161.71,4.7099999999999795,-1.3000000000000114,159.42,161.28,157.54,3.740000000000009,-1.7800000000000011,161.458,164.58,158.3,6.280000000000001,-1.1000000000000227,956095,1368331,785681,582650,-582650
