Date,SPDR MFS Systematic Value Equity_etf_Open_average,SPDR MFS Systematic Value Equity_etf_Open_max,SPDR MFS Systematic Value Equity_etf_Open_min,SPDR MFS Systematic Value Equity_etf_Open_volatility,SPDR MFS Systematic Value Equity_etf_Open_change,SPDR MFS Systematic Value Equity_etf_High_average,SPDR MFS Systematic Value Equity_etf_High_max,SPDR MFS Systematic Value Equity_etf_High_min,SPDR MFS Systematic Value Equity_etf_High_volatility,SPDR MFS Systematic Value Equity_etf_High_change,SPDR MFS Systematic Value Equity_etf_Low_average,SPDR MFS Systematic Value Equity_etf_Low_max,SPDR MFS Systematic Value Equity_etf_Low_min,SPDR MFS Systematic Value Equity_etf_Low_volatility,SPDR MFS Systematic Value Equity_etf_Low_change,SPDR MFS Systematic Value Equity_etf_Close_average,SPDR MFS Systematic Value Equity_etf_Close_max,SPDR MFS Systematic Value Equity_etf_Close_min,SPDR MFS Systematic Value Equity_etf_Close_volatility,SPDR MFS Systematic Value Equity_etf_Close_change
2018-01-14,69.11,69.11,69.11,0.0,0.0,69.59,69.59,69.59,0.0,0.0,68.94,68.94,68.94,0.0,0.0,69.16,69.16,69.16,0.0,0.0
2018-01-21,70.23,70.23,70.23,0.0,0.0,70.44,70.44,70.44,0.0,0.0,70.23,70.23,70.23,0.0,0.0,70.44,70.44,70.44,0.0,0.0
2018-01-28,68.05,68.05,68.05,0.0,0.0,68.05,68.05,68.05,0.0,0.0,67.46,67.46,67.46,0.0,0.0,67.46,67.46,67.46,0.0,0.0
2018-02-04,63.96,63.96,63.96,0.0,0.0,64.51,64.51,64.51,0.0,0.0,62.32,62.32,62.32,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2018-02-11,66.4,66.4,66.4,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2018-02-18,66.34,66.34,66.34,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.69,66.69,66.69,0.0,0.0
2018-02-25,64.95,64.95,64.95,0.0,0.0,65.46,65.46,65.46,0.0,0.0,64.85,64.85,64.85,0.0,0.0,65.45,65.45,65.45,0.0,0.0
2018-03-04,67.82,67.82,67.82,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2018-03-11,67.18,67.18,67.18,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-03-18,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,63.76,63.76,63.76,0.0,0.0,63.76,63.76,63.76,0.0,0.0
2018-03-25,64.58,64.58,64.58,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.82,64.82,64.82,0.0,0.0
2018-04-01,64.81,64.81,64.81,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.1,64.1,64.1,0.0,0.0
2018-04-08,65.51,65.51,65.51,0.0,0.0,66.31,66.31,66.31,0.0,0.0,65.51,65.51,65.51,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-04-15,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.88,66.88,66.88,0.0,0.0
2018-04-22,67.27,67.27,67.27,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.19,67.19,67.19,0.0,0.0,67.23,67.23,67.23,0.0,0.0
2018-04-29,64.51,64.51,64.51,0.0,0.0,66.22,66.22,66.22,0.0,0.0,64.51,64.51,64.51,0.0,0.0,66.13,66.13,66.13,0.0,0.0
