Date,PowerShares CleantechEtf_Open_average,PowerShares CleantechEtf_Open_max,PowerShares CleantechEtf_Open_min,PowerShares CleantechEtf_Open_volatility,PowerShares CleantechEtf_Open_change,PowerShares CleantechEtf_High_average,PowerShares CleantechEtf_High_max,PowerShares CleantechEtf_High_min,PowerShares CleantechEtf_High_volatility,PowerShares CleantechEtf_High_change,PowerShares CleantechEtf_Low_average,PowerShares CleantechEtf_Low_max,PowerShares CleantechEtf_Low_min,PowerShares CleantechEtf_Low_volatility,PowerShares CleantechEtf_Low_change,PowerShares CleantechEtf_Close_average,PowerShares CleantechEtf_Close_max,PowerShares CleantechEtf_Close_min,PowerShares CleantechEtf_Close_volatility,PowerShares CleantechEtf_Close_change
2018-01-14,44.92,44.92,44.92,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.85,44.85,44.85,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-01-21,44.94,44.94,44.94,0.0,0.0,45.28,45.28,45.28,0.0,0.0,44.88,44.88,44.88,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2018-01-28,44.4,44.4,44.4,0.0,0.0,44.4,44.4,44.4,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2018-02-04,41.73,41.73,41.73,0.0,0.0,42.07,42.07,42.07,0.0,0.0,40.41,40.41,40.41,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2018-02-11,43.7,43.7,43.7,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-02-18,43.59,43.59,43.59,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.65,43.65,43.65,0.0,0.0
2018-02-25,41.97,41.97,41.97,0.0,0.0,42.62,42.62,42.62,0.0,0.0,41.94,41.94,41.94,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-03-04,43.99,43.99,43.99,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-03-11,44.11,44.11,44.11,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.18,44.18,44.18,0.0,0.0
2018-03-18,43.15,43.15,43.15,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.48,42.48,42.48,0.0,0.0
