Date,ARGO_Open_average,ARGO_Open_max,ARGO_Open_min,ARGO_Open_volatility,ARGO_Open_change,ARGO_High_average,ARGO_High_max,ARGO_High_min,ARGO_High_volatility,ARGO_High_change,ARGO_Low_average,ARGO_Low_max,ARGO_Low_min,ARGO_Low_volatility,ARGO_Low_change,ARGO_Close_average,ARGO_Close_max,ARGO_Close_min,ARGO_Close_volatility,ARGO_Close_change,ARGO_Volume_average,ARGO_Volume_max,ARGO_Volume_min,ARGO_Volume_volatility,ARGO_Volume_change
2018-01-14,54.036,54.7,53.57,1.1300000000000026,1.1300000000000026,55.216,57.91,53.87,4.039999999999999,4.039999999999999,53.775999999999996,54.7,52.87,1.8300000000000054,1.8300000000000054,54.582,56.57,53.43,3.1400000000000006,3.1400000000000006,210012,313007,128403,184604,104919
2018-01-21,55.722,56.57,54.3,2.270000000000003,-2.270000000000003,55.974000000000004,56.96,54.61,2.3500000000000014,-2.3500000000000014,54.792,55.74,53.65,2.0900000000000034,-2.0900000000000034,55.208,56.61,54.04,2.5700000000000003,-2.5700000000000003,161110,254519,116640,137879,19523
2018-01-28,53.302,54.0,52.65,1.3500000000000014,-1.1300000000000026,53.844,54.52,53.0,1.5200000000000031,-1.4299999999999997,52.678,53.35,51.17,2.1799999999999997,-2.1799999999999997,52.916,53.76,51.17,2.5899999999999963,-2.5899999999999963,151246,170708,130541,40167,31742
2018-02-04,51.192,51.83,50.57,1.259999999999998,1.259999999999998,51.818,52.26,51.39,0.8699999999999974,0.8699999999999974,50.402,50.83,49.65,1.1799999999999997,1.1799999999999997,51.196,51.74,50.72,1.0200000000000031,0.13000000000000256,265453,414052,145955,268097,77286
2018-02-11,51.76,52.48,50.91,1.5700000000000003,1.5700000000000003,52.515,53.35,51.5,1.8500000000000014,1.8500000000000014,51.129999999999995,52.48,50.26,2.219999999999999,2.219999999999999,51.805,52.7,50.87,1.8300000000000054,1.5700000000000003,198598,252657,109122,143535,-106862
2018-02-18,51.602000000000004,52.35,51.35,1.0,-0.7800000000000011,52.226,52.65,51.96,0.6899999999999977,-0.21999999999999886,51.224000000000004,51.43,51.04,0.39000000000000057,-0.0799999999999983,51.598,52.43,51.26,1.1700000000000017,1.0,173432,214996,142417,72579,-27914
2018-02-25,51.224,52.3,50.26,2.039999999999999,-1.6499999999999986,52.044,53.52,50.74,2.780000000000001,1.0200000000000031,50.66,51.96,49.78,2.1799999999999997,-1.3100000000000023,51.478,53.52,50.57,2.950000000000003,1.5200000000000031,173203,276492,139849,136643,133630
2018-03-04,54.14,54.75,53.75,1.0,0.7000000000000028,54.89,55.45,54.35,1.1000000000000014,0.10000000000000142,53.815999999999995,54.65,53.48,1.1700000000000017,1.1000000000000014,54.36,55.2,53.95,1.25,1.2000000000000028,184980,284952,105748,179204,-126762
2018-03-11,56.95,58.8,55.4,3.3999999999999986,3.3999999999999986,57.894,59.45,56.3,3.1500000000000057,3.1500000000000057,56.22,58.45,53.95,4.5,4.5,57.51,58.85,56.15,2.700000000000003,2.3000000000000043,274527,421464,159683,261781,116769
2018-03-18,58.28,59.15,57.05,2.1000000000000014,-1.6000000000000014,58.8,60.15,57.3,2.8500000000000014,-1.75,57.268,58.49,56.05,2.440000000000005,-2.440000000000005,57.78,59.5,56.3,3.200000000000003,-2.1499999999999986,143284,175567,131277,44290,-41724
