Date,First Trust Developed International Equity SelectEtf_Open_average,First Trust Developed International Equity SelectEtf_Open_max,First Trust Developed International Equity SelectEtf_Open_min,First Trust Developed International Equity SelectEtf_Open_volatility,First Trust Developed International Equity SelectEtf_Open_change,First Trust Developed International Equity SelectEtf_High_average,First Trust Developed International Equity SelectEtf_High_max,First Trust Developed International Equity SelectEtf_High_min,First Trust Developed International Equity SelectEtf_High_volatility,First Trust Developed International Equity SelectEtf_High_change,First Trust Developed International Equity SelectEtf_Low_average,First Trust Developed International Equity SelectEtf_Low_max,First Trust Developed International Equity SelectEtf_Low_min,First Trust Developed International Equity SelectEtf_Low_volatility,First Trust Developed International Equity SelectEtf_Low_change,First Trust Developed International Equity SelectEtf_Close_average,First Trust Developed International Equity SelectEtf_Close_max,First Trust Developed International Equity SelectEtf_Close_min,First Trust Developed International Equity SelectEtf_Close_volatility,First Trust Developed International Equity SelectEtf_Close_change
2018-01-14,54.23,54.23,54.23,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-01-21,55.04,55.04,55.04,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.12,55.12,55.12,0.0,0.0
2018-01-28,53.83,53.83,53.83,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2018-02-04,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-02-11,52.27,52.27,52.27,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-02-18,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-02-25,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-03-04,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-03-11,52.03,52.03,52.03,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2018-03-18,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-03-25,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-04-01,51.08,51.08,51.08,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2018-04-08,52.0,52.0,52.0,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-04-15,52.21,52.21,52.21,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.23,52.23,52.23,0.0,0.0
