Date,Vanguard Short-Term Government Bond_Open_average,Vanguard Short-Term Government Bond_Open_max,Vanguard Short-Term Government Bond_Open_volatility,Vanguard Short-Term Government Bond_Open_change,Vanguard Short-Term Government Bond_High_average,Vanguard Short-Term Government Bond_High_max,Vanguard Short-Term Government Bond_High_volatility,Vanguard Short-Term Government Bond_High_change,Vanguard Short-Term Government Bond_Low_average,Vanguard Short-Term Government Bond_Low_max,Vanguard Short-Term Government Bond_Low_volatility,Vanguard Short-Term Government Bond_Low_change,Vanguard Short-Term Government Bond_Close_average,Vanguard Short-Term Government Bond_Close_max,Vanguard Short-Term Government Bond_Close_volatility,Vanguard Short-Term Government Bond_Close_change
2016-01-03,60.86,60.86,0.0,0.0,60.9,60.9,0.0,0.0,60.83,60.83,0.0,0.0,60.86,60.86,0.0,0.0
2016-01-10,61.0,61.0,0.0,0.0,61.03,61.03,0.0,0.0,60.97,60.97,0.0,0.0,61.0,61.0,0.0,0.0
2016-01-17,60.97,60.97,0.0,0.0,61.0,61.0,0.0,0.0,60.96,60.96,0.0,0.0,60.96,60.96,0.0,0.0
2016-01-24,61.07,61.07,0.0,0.0,61.07,61.07,0.0,0.0,61.01,61.01,0.0,0.0,61.03,61.03,0.0,0.0
2016-01-31,61.19,61.19,0.0,0.0,61.24,61.24,0.0,0.0,61.16,61.16,0.0,0.0,61.21,61.21,0.0,0.0
2016-02-07,61.23,61.23,0.0,0.0,61.23,61.23,0.0,0.0,61.16,61.16,0.0,0.0,61.18,61.18,0.0,0.0
2016-02-14,61.15,61.15,0.0,0.0,61.17,61.17,0.0,0.0,61.11,61.11,0.0,0.0,61.17,61.17,0.0,0.0
2016-02-21,61.12,61.12,0.0,0.0,61.17,61.17,0.0,0.0,61.1,61.1,0.0,0.0,61.14,61.14,0.0,0.0
2016-02-28,60.99,60.99,0.0,0.0,61.0,61.0,0.0,0.0,60.94,60.94,0.0,0.0,60.98,60.98,0.0,0.0
2016-03-06,60.91,60.91,0.0,0.0,60.95,60.95,0.0,0.0,60.91,60.91,0.0,0.0,60.92,60.92,0.0,0.0
