Date,Schwab US Dividend Equity_Open_average,Schwab US Dividend Equity_Open_max,Schwab US Dividend Equity_Open_min,Schwab US Dividend Equity_Open_volatility,Schwab US Dividend Equity_Open_change,Schwab US Dividend Equity_High_average,Schwab US Dividend Equity_High_max,Schwab US Dividend Equity_High_min,Schwab US Dividend Equity_High_volatility,Schwab US Dividend Equity_High_change,Schwab US Dividend Equity_Low_average,Schwab US Dividend Equity_Low_max,Schwab US Dividend Equity_Low_min,Schwab US Dividend Equity_Low_volatility,Schwab US Dividend Equity_Low_change,Schwab US Dividend Equity_Close_average,Schwab US Dividend Equity_Close_max,Schwab US Dividend Equity_Close_min,Schwab US Dividend Equity_Close_volatility,Schwab US Dividend Equity_Close_change
2018-01-14,53.38,53.38,53.38,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2018-01-21,54.48,54.48,54.48,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-01-28,51.81,51.81,51.81,0.0,0.0,52.18,52.18,52.18,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-02-04,49.9,49.9,49.9,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.58,49.58,49.58,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-02-11,50.92,50.92,50.92,0.0,0.0,51.53,51.53,51.53,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-02-18,51.18,51.18,51.18,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2018-02-25,49.75,49.75,49.75,0.0,0.0,50.67,50.67,50.67,0.0,0.0,49.75,49.75,49.75,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-03-04,51.47,51.47,51.47,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-03-11,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-03-18,48.24,48.24,48.24,0.0,0.0,48.78,48.78,48.78,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.74,48.74,48.74,0.0,0.0
