Date,VanEck Pref Secs ex Finls_Open_average,VanEck Pref Secs ex Finls_Open_max,VanEck Pref Secs ex Finls_Open_min,VanEck Pref Secs ex Finls_Open_volatility,VanEck Pref Secs ex Finls_Open_change,VanEck Pref Secs ex Finls_High_average,VanEck Pref Secs ex Finls_High_max,VanEck Pref Secs ex Finls_High_min,VanEck Pref Secs ex Finls_High_volatility,VanEck Pref Secs ex Finls_High_change,VanEck Pref Secs ex Finls_Low_average,VanEck Pref Secs ex Finls_Low_max,VanEck Pref Secs ex Finls_Low_min,VanEck Pref Secs ex Finls_Low_volatility,VanEck Pref Secs ex Finls_Low_change,VanEck Pref Secs ex Finls_Close_average,VanEck Pref Secs ex Finls_Close_max,VanEck Pref Secs ex Finls_Close_min,VanEck Pref Secs ex Finls_Close_volatility,VanEck Pref Secs ex Finls_Close_change
2018-01-14,19.46,19.46,19.46,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-01-21,19.42,19.42,19.42,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-01-28,18.81,18.81,18.81,0.0,0.0,19.03,19.03,19.03,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-02-04,18.85,18.85,18.85,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-02-11,18.89,18.89,18.89,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-02-18,19.2,19.2,19.2,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2018-02-25,19.03,19.03,19.03,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2018-03-04,19.25,19.25,19.25,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-03-11,19.25,19.25,19.25,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-03-18,19.08,19.08,19.08,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-03-25,19.14,19.14,19.14,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-04-01,19.06,19.06,19.06,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2018-04-08,19.1,19.1,19.1,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2018-04-15,19.15,19.15,19.15,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-04-22,19.17,19.17,19.17,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2018-04-29,19.08,19.08,19.08,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-05-06,19.15,19.15,19.15,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2018-05-13,19.02,19.02,19.02,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2018-05-20,19.14,19.14,19.14,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-05-27,19.18,19.18,19.18,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-06-03,19.42,19.42,19.42,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.35,19.35,19.35,0.0,0.0
2018-06-10,19.41,19.41,19.41,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2018-06-17,19.47,19.47,19.47,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-06-24,19.5,19.5,19.5,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-07-01,19.74,19.74,19.74,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2018-07-08,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0
