Date,iShares US Consumer ServicesEtf_Open_average,iShares US Consumer ServicesEtf_Open_max,iShares US Consumer ServicesEtf_Open_min,iShares US Consumer ServicesEtf_Open_volatility,iShares US Consumer ServicesEtf_Open_change,iShares US Consumer ServicesEtf_High_average,iShares US Consumer ServicesEtf_High_max,iShares US Consumer ServicesEtf_High_min,iShares US Consumer ServicesEtf_High_volatility,iShares US Consumer ServicesEtf_High_change,iShares US Consumer ServicesEtf_Low_average,iShares US Consumer ServicesEtf_Low_max,iShares US Consumer ServicesEtf_Low_min,iShares US Consumer ServicesEtf_Low_volatility,iShares US Consumer ServicesEtf_Low_change,iShares US Consumer ServicesEtf_Close_average,iShares US Consumer ServicesEtf_Close_max,iShares US Consumer ServicesEtf_Close_min,iShares US Consumer ServicesEtf_Close_volatility,iShares US Consumer ServicesEtf_Close_change
2018-04-01,183.44,183.44,183.44,0.0,0.0,183.57,183.57,183.57,0.0,0.0,179.08,179.08,179.08,0.0,0.0,180.19,180.19,180.19,0.0,0.0
2018-04-08,182.5,182.5,182.5,0.0,0.0,182.54,182.54,182.54,0.0,0.0,180.4,180.4,180.4,0.0,0.0,180.86,180.86,180.86,0.0,0.0
2018-04-15,186.64,186.64,186.64,0.0,0.0,186.71,186.71,186.71,0.0,0.0,184.25,184.25,184.25,0.0,0.0,184.63,184.63,184.63,0.0,0.0
2018-04-22,187.59,187.59,187.59,0.0,0.0,187.59,187.59,187.59,0.0,0.0,185.49,185.49,185.49,0.0,0.0,185.84,185.84,185.84,0.0,0.0
2018-04-29,182.74,182.74,182.74,0.0,0.0,186.33,186.33,186.33,0.0,0.0,182.74,182.74,182.74,0.0,0.0,185.89,185.89,185.89,0.0,0.0
2018-05-06,186.53,186.53,186.53,0.0,0.0,187.14,187.14,187.14,0.0,0.0,186.26,186.26,186.26,0.0,0.0,186.88,186.88,186.88,0.0,0.0
2018-05-13,187.09,187.09,187.09,0.0,0.0,187.12,187.12,187.12,0.0,0.0,186.8,186.8,186.8,0.0,0.0,186.81,186.81,186.81,0.0,0.0
2018-05-20,187.89,187.89,187.89,0.0,0.0,189.26,189.26,189.26,0.0,0.0,187.89,187.89,187.89,0.0,0.0,188.57,188.57,188.57,0.0,0.0
2018-05-27,188.26,188.26,188.26,0.0,0.0,189.07,189.07,189.07,0.0,0.0,188.26,188.26,188.26,0.0,0.0,188.74,188.74,188.74,0.0,0.0
2018-06-03,193.55,193.55,193.55,0.0,0.0,194.32,194.32,194.32,0.0,0.0,193.55,193.55,193.55,0.0,0.0,194.27,194.27,194.27,0.0,0.0
2018-06-10,197.92,197.92,197.92,0.0,0.0,198.95,198.95,198.95,0.0,0.0,197.66,197.66,197.66,0.0,0.0,198.91,198.91,198.91,0.0,0.0
2018-06-17,199.95,199.95,199.95,0.0,0.0,200.07,200.07,200.07,0.0,0.0,198.89,198.89,198.89,0.0,0.0,199.06,199.06,199.06,0.0,0.0
2018-06-24,194.82,194.82,194.82,0.0,0.0,195.22,195.22,195.22,0.0,0.0,193.75,193.75,193.75,0.0,0.0,193.75,193.75,193.75,0.0,0.0
2018-07-01,194.59,194.59,194.59,0.0,0.0,196.42,196.42,196.42,0.0,0.0,194.18,194.18,194.18,0.0,0.0,196.29,196.29,196.29,0.0,0.0
