Date,SPDR Portfolio Europe_Open_average,SPDR Portfolio Europe_Open_max,SPDR Portfolio Europe_Open_min,SPDR Portfolio Europe_Open_volatility,SPDR Portfolio Europe_Open_change,SPDR Portfolio Europe_High_average,SPDR Portfolio Europe_High_max,SPDR Portfolio Europe_High_min,SPDR Portfolio Europe_High_volatility,SPDR Portfolio Europe_High_change,SPDR Portfolio Europe_Low_average,SPDR Portfolio Europe_Low_max,SPDR Portfolio Europe_Low_min,SPDR Portfolio Europe_Low_volatility,SPDR Portfolio Europe_Low_change,SPDR Portfolio Europe_Close_average,SPDR Portfolio Europe_Close_max,SPDR Portfolio Europe_Close_min,SPDR Portfolio Europe_Close_volatility,SPDR Portfolio Europe_Close_change
2018-01-14,37.76,37.76,37.76,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2018-01-21,38.1,38.1,38.1,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2018-01-28,36.4,36.4,36.4,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-02-04,34.97,34.97,34.97,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2018-02-11,35.9,35.9,35.9,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-02-18,35.89,35.89,35.89,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.78,35.78,35.78,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-02-25,34.43,34.43,34.43,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-03-04,35.35,35.35,35.35,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-03-11,34.89,34.89,34.89,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2018-03-18,34.33,34.33,34.33,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-03-25,34.56,34.56,34.56,0.0,0.0,34.58,34.58,34.58,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-04-01,35.13,35.13,35.13,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-04-08,35.63,35.63,35.63,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-04-15,35.48,35.48,35.48,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-04-22,35.35,35.35,35.35,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-04-29,35.31,35.31,35.31,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-05-06,35.91,35.91,35.91,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2018-05-13,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-05-20,34.81,34.81,34.81,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-05-27,34.82,34.82,34.82,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-06-03,34.79,34.79,34.79,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-06-10,33.53,33.53,33.53,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-06-17,33.46,33.46,33.46,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-06-24,33.08,33.08,33.08,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-07-01,34.28,34.28,34.28,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-07-08,34.02,34.02,34.02,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-07-15,34.24,34.24,34.24,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-07-22,34.83,34.83,34.83,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2018-07-29,34.12,34.12,34.12,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-08-05,33.39,33.39,33.39,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-08-12,33.35,33.35,33.35,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-08-19,34.02,34.02,34.02,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-08-26,33.64,33.64,33.64,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-09-02,32.92,32.92,32.92,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-09-09,33.34,33.34,33.34,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-09-16,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-09-23,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-09-30,32.55,32.55,32.55,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-10-07,31.84,31.84,31.84,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-10-14,31.98,31.98,31.98,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.84,31.84,31.84,0.0,0.0
