Date,ProShares Short VIX Short-Term Futures_Open_average,ProShares Short VIX Short-Term Futures_Open_max,ProShares Short VIX Short-Term Futures_Open_min,ProShares Short VIX Short-Term Futures_Open_volatility,ProShares Short VIX Short-Term Futures_Open_change,ProShares Short VIX Short-Term Futures_High_average,ProShares Short VIX Short-Term Futures_High_max,ProShares Short VIX Short-Term Futures_High_min,ProShares Short VIX Short-Term Futures_High_volatility,ProShares Short VIX Short-Term Futures_High_change,ProShares Short VIX Short-Term Futures_Low_average,ProShares Short VIX Short-Term Futures_Low_max,ProShares Short VIX Short-Term Futures_Low_min,ProShares Short VIX Short-Term Futures_Low_volatility,ProShares Short VIX Short-Term Futures_Low_change,ProShares Short VIX Short-Term Futures_Close_average,ProShares Short VIX Short-Term Futures_Close_max,ProShares Short VIX Short-Term Futures_Close_min,ProShares Short VIX Short-Term Futures_Close_volatility,ProShares Short VIX Short-Term Futures_Close_change
2018-01-14,527.64,527.64,527.64,0.0,0.0,546.96,546.96,546.96,0.0,0.0,527.12,527.12,527.12,0.0,0.0,543.68,543.68,543.68,0.0,0.0
2018-01-21,503.24,503.24,503.24,0.0,0.0,505.4,505.4,505.4,0.0,0.0,476.48,476.48,476.48,0.0,0.0,477.48,477.48,477.48,0.0,0.0
2018-01-28,400.0,400.0,400.0,0.0,0.0,428.76,428.76,428.76,0.0,0.0,280.6,280.6,280.6,0.0,0.0,287.28,287.28,287.28,0.0,0.0
2018-02-04,44.96,44.96,44.96,0.0,0.0,45.92,45.92,45.92,0.0,0.0,42.69,42.69,42.69,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-02-11,50.36,50.36,50.36,0.0,0.0,53.04,53.04,53.04,0.0,0.0,49.88,49.88,49.88,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-02-18,54.24,54.24,54.24,0.0,0.0,54.92,54.92,54.92,0.0,0.0,53.24,53.24,53.24,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-02-25,48.04,48.04,48.04,0.0,0.0,49.76,49.76,49.76,0.0,0.0,48.0,48.0,48.0,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-03-04,52.28,52.28,52.28,0.0,0.0,52.44,52.44,52.44,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-03-11,51.12,51.12,51.12,0.0,0.0,51.2,51.2,51.2,0.0,0.0,48.0,48.0,48.0,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-03-18,47.24,47.24,47.24,0.0,0.0,47.4,47.4,47.4,0.0,0.0,45.84,45.84,45.84,0.0,0.0,47.32,47.32,47.32,0.0,0.0
