Date,iShares MSCI ChinaEtf_Open_average,iShares MSCI ChinaEtf_Open_max,iShares MSCI ChinaEtf_Open_min,iShares MSCI ChinaEtf_Open_volatility,iShares MSCI ChinaEtf_Open_change,iShares MSCI ChinaEtf_High_average,iShares MSCI ChinaEtf_High_max,iShares MSCI ChinaEtf_High_min,iShares MSCI ChinaEtf_High_volatility,iShares MSCI ChinaEtf_High_change,iShares MSCI ChinaEtf_Low_average,iShares MSCI ChinaEtf_Low_max,iShares MSCI ChinaEtf_Low_min,iShares MSCI ChinaEtf_Low_volatility,iShares MSCI ChinaEtf_Low_change,iShares MSCI ChinaEtf_Close_average,iShares MSCI ChinaEtf_Close_max,iShares MSCI ChinaEtf_Close_min,iShares MSCI ChinaEtf_Close_volatility,iShares MSCI ChinaEtf_Close_change
2018-01-14,73.14,73.14,73.14,0.0,0.0,73.4,73.4,73.4,0.0,0.0,72.78,72.78,72.78,0.0,0.0,73.4,73.4,73.4,0.0,0.0
2018-01-21,76.04,76.04,76.04,0.0,0.0,76.72,76.72,76.72,0.0,0.0,75.83,75.83,75.83,0.0,0.0,76.72,76.72,76.72,0.0,0.0
2018-01-28,73.31,73.31,73.31,0.0,0.0,73.42,73.42,73.42,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.71,71.71,71.71,0.0,0.0
2018-02-04,65.5,65.5,65.5,0.0,0.0,66.33,66.33,66.33,0.0,0.0,63.51,63.51,63.51,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-02-11,71.13,71.13,71.13,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-02-18,71.84,71.84,71.84,0.0,0.0,72.37,72.37,72.37,0.0,0.0,71.53,71.53,71.53,0.0,0.0,72.34,72.34,72.34,0.0,0.0
2018-02-25,67.86,67.86,67.86,0.0,0.0,69.18,69.18,69.18,0.0,0.0,67.22,67.22,67.22,0.0,0.0,68.98,68.98,68.98,0.0,0.0
2018-03-04,71.1,71.1,71.1,0.0,0.0,72.14,72.14,72.14,0.0,0.0,70.97,70.97,70.97,0.0,0.0,72.1,72.1,72.1,0.0,0.0
2018-03-11,72.45,72.45,72.45,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.28,72.28,72.28,0.0,0.0,72.64,72.64,72.64,0.0,0.0
2018-03-18,68.69,68.69,68.69,0.0,0.0,68.94,68.94,68.94,0.0,0.0,67.02,67.02,67.02,0.0,0.0,67.09,67.09,67.09,0.0,0.0
2018-03-25,67.66,67.66,67.66,0.0,0.0,68.92,68.92,68.92,0.0,0.0,67.54,67.54,67.54,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2018-04-01,66.84,66.84,66.84,0.0,0.0,67.59,67.59,67.59,0.0,0.0,65.77,65.77,65.77,0.0,0.0,66.2,66.2,66.2,0.0,0.0
2018-04-08,68.72,68.72,68.72,0.0,0.0,68.77,68.77,68.77,0.0,0.0,67.52,67.52,67.52,0.0,0.0,67.83,67.83,67.83,0.0,0.0
2018-04-15,67.23,67.23,67.23,0.0,0.0,67.23,67.23,67.23,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-04-22,66.8,66.8,66.8,0.0,0.0,67.02,67.02,67.02,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.96,66.96,66.96,0.0,0.0
2018-04-29,65.91,65.91,65.91,0.0,0.0,67.49,67.49,67.49,0.0,0.0,65.79,65.79,65.79,0.0,0.0,67.2,67.2,67.2,0.0,0.0
2018-05-06,69.99,69.99,69.99,0.0,0.0,70.01,70.01,70.01,0.0,0.0,69.47,69.47,69.47,0.0,0.0,69.74,69.74,69.74,0.0,0.0
2018-05-13,69.39,69.39,69.39,0.0,0.0,69.42,69.42,69.42,0.0,0.0,69.03,69.03,69.03,0.0,0.0,69.16,69.16,69.16,0.0,0.0
2018-05-20,68.8,68.8,68.8,0.0,0.0,69.2,69.2,69.2,0.0,0.0,68.7,68.7,68.7,0.0,0.0,69.18,69.18,69.18,0.0,0.0
2018-05-27,69.21,69.21,69.21,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.06,69.06,69.06,0.0,0.0,69.87,69.87,69.87,0.0,0.0
2018-06-03,70.55,70.55,70.55,0.0,0.0,71.39,71.39,71.39,0.0,0.0,70.41,70.41,70.41,0.0,0.0,71.09,71.09,71.09,0.0,0.0
2018-06-10,69.61,69.61,69.61,0.0,0.0,70.17,70.17,70.17,0.0,0.0,69.42,69.42,69.42,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2018-06-17,67.37,67.37,67.37,0.0,0.0,67.46,67.46,67.46,0.0,0.0,66.94,66.94,66.94,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2018-06-24,64.48,64.48,64.48,0.0,0.0,65.01,65.01,65.01,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.6,64.6,64.6,0.0,0.0
2018-07-01,62.96,62.96,62.96,0.0,0.0,64.27,64.27,64.27,0.0,0.0,62.93,62.93,62.93,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2018-07-08,64.48,64.48,64.48,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.6,64.6,64.6,0.0,0.0
2018-07-15,63.34,63.34,63.34,0.0,0.0,63.77,63.77,63.77,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-07-22,64.97,64.97,64.97,0.0,0.0,64.98,64.98,64.98,0.0,0.0,63.86,63.86,63.86,0.0,0.0,64.27,64.27,64.27,0.0,0.0
2018-07-29,61.87,61.87,61.87,0.0,0.0,61.95,61.95,61.95,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.73,61.73,61.73,0.0,0.0
2018-08-05,61.9,61.9,61.9,0.0,0.0,62.25,62.25,62.25,0.0,0.0,61.67,61.67,61.67,0.0,0.0,62.16,62.16,62.16,0.0,0.0
2018-08-12,58.45,58.45,58.45,0.0,0.0,59.87,59.87,59.87,0.0,0.0,58.15,58.15,58.15,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-08-19,60.89,60.89,60.89,0.0,0.0,61.28,61.28,61.28,0.0,0.0,60.84,60.84,60.84,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2018-08-26,60.28,60.28,60.28,0.0,0.0,60.98,60.98,60.98,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.74,60.74,60.74,0.0,0.0
2018-09-02,57.63,57.63,57.63,0.0,0.0,58.43,58.43,58.43,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.87,57.87,57.87,0.0,0.0
2018-09-09,58.73,58.73,58.73,0.0,0.0,58.86,58.86,58.86,0.0,0.0,57.81,57.81,57.81,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2018-09-16,61.11,61.11,61.11,0.0,0.0,61.11,61.11,61.11,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2018-09-23,59.88,59.88,59.88,0.0,0.0,60.22,60.22,60.22,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2018-09-30,56.88,56.88,56.88,0.0,0.0,56.95,56.95,56.95,0.0,0.0,55.99,55.99,55.99,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-10-07,54.82,54.82,54.82,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.19,54.19,54.19,0.0,0.0,55.07,55.07,55.07,0.0,0.0
2018-10-14,53.86,53.86,53.86,0.0,0.0,54.31,54.31,54.31,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-10-21,52.04,52.04,52.04,0.0,0.0,53.18,53.18,53.18,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-10-28,57.15,57.15,57.15,0.0,0.0,57.41,57.41,57.41,0.0,0.0,55.41,55.41,55.41,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2018-11-04,54.27,54.27,54.27,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-11-11,55.98,55.98,55.98,0.0,0.0,56.81,56.81,56.81,0.0,0.0,55.55,55.55,55.55,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2018-11-18,54.59,54.59,54.59,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2018-11-25,56.84,56.84,56.84,0.0,0.0,57.48,57.48,57.48,0.0,0.0,56.51,56.51,56.51,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2018-12-02,56.21,56.21,56.21,0.0,0.0,56.71,56.71,56.71,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2018-12-09,55.44,55.44,55.44,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.27,55.27,55.27,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2018-12-16,52.77,52.77,52.77,0.0,0.0,53.03,53.03,53.03,0.0,0.0,51.78,51.78,51.78,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-12-23,52.91,52.91,52.91,0.0,0.0,53.24,53.24,53.24,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2018-12-30,52.18,52.18,52.18,0.0,0.0,53.46,53.46,53.46,0.0,0.0,52.02,52.02,52.02,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2019-01-06,55.16,55.16,55.16,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2019-01-13,56.98,56.98,56.98,0.0,0.0,57.4,57.4,57.4,0.0,0.0,56.71,56.71,56.71,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2019-01-20,57.53,57.53,57.53,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2019-01-27,58.89,58.89,58.89,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2019-02-03,58.48,58.48,58.48,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2019-02-10,58.98,58.98,58.98,0.0,0.0,59.08,59.08,59.08,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.8,58.8,58.8,0.0,0.0
2019-02-17,60.68,60.68,60.68,0.0,0.0,60.93,60.93,60.93,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.93,60.93,60.93,0.0,0.0
2019-02-24,61.55,61.55,61.55,0.0,0.0,61.59,61.59,61.59,0.0,0.0,60.98,60.98,60.98,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2019-03-03,59.26,59.26,59.26,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.61,59.61,59.61,0.0,0.0
2019-03-10,61.61,61.61,61.61,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2019-03-17,61.8,61.8,61.8,0.0,0.0,61.93,61.93,61.93,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2019-03-24,62.09,62.09,62.09,0.0,0.0,62.55,62.55,62.55,0.0,0.0,61.87,61.87,61.87,0.0,0.0,62.43,62.43,62.43,0.0,0.0
2019-03-31,64.52,64.52,64.52,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.92,64.92,64.92,0.0,0.0
