Date,Arrow Reserve Capital Management_etf_Open_average,Arrow Reserve Capital Management_etf_Open_max,Arrow Reserve Capital Management_etf_Open_min,Arrow Reserve Capital Management_etf_Open_volatility,Arrow Reserve Capital Management_etf_Open_change,Arrow Reserve Capital Management_etf_High_average,Arrow Reserve Capital Management_etf_High_max,Arrow Reserve Capital Management_etf_High_min,Arrow Reserve Capital Management_etf_High_volatility,Arrow Reserve Capital Management_etf_High_change,Arrow Reserve Capital Management_etf_Low_average,Arrow Reserve Capital Management_etf_Low_max,Arrow Reserve Capital Management_etf_Low_min,Arrow Reserve Capital Management_etf_Low_volatility,Arrow Reserve Capital Management_etf_Low_change,Arrow Reserve Capital Management_etf_Close_average,Arrow Reserve Capital Management_etf_Close_max,Arrow Reserve Capital Management_etf_Close_min,Arrow Reserve Capital Management_etf_Close_volatility,Arrow Reserve Capital Management_etf_Close_change
2018-01-14,99.96,99.96,99.96,0.0,0.0,99.96,99.96,99.96,0.0,0.0,99.96,99.96,99.96,0.0,0.0,99.96,99.96,99.96,0.0,0.0
2018-01-21,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0
2018-01-28,99.9,99.9,99.9,0.0,0.0,99.91,99.91,99.91,0.0,0.0,99.69,99.69,99.69,0.0,0.0,99.69,99.69,99.69,0.0,0.0
2018-02-04,100.09,100.09,100.09,0.0,0.0,100.09,100.09,100.09,0.0,0.0,100.09,100.09,100.09,0.0,0.0,100.09,100.09,100.09,0.0,0.0
2018-02-11,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0
2018-02-18,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0
2018-02-25,99.78,99.78,99.78,0.0,0.0,99.78,99.78,99.78,0.0,0.0,99.78,99.78,99.78,0.0,0.0,99.78,99.78,99.78,0.0,0.0
2018-03-04,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0
2018-03-11,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0,99.93,99.93,99.93,0.0,0.0
2018-03-18,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0
2018-03-25,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.94,99.94,99.94,0.0,0.0
