Date,BBW_Open_average,BBW_Open_max,BBW_Open_min,BBW_Open_volatility,BBW_Open_change,BBW_High_average,BBW_High_max,BBW_High_min,BBW_High_volatility,BBW_High_change,BBW_Low_average,BBW_Low_max,BBW_Low_min,BBW_Low_volatility,BBW_Low_change,BBW_Close_average,BBW_Close_max,BBW_Close_min,BBW_Close_volatility,BBW_Close_change,BBW_Volume_average,BBW_Volume_max,BBW_Volume_min,BBW_Volume_volatility,BBW_Volume_change
2018-01-14,8.36,8.45,8.25,0.1999999999999993,0.1999999999999993,8.52,8.6,8.45,0.15000000000000036,0.05000000000000071,8.35,8.45,8.25,0.1999999999999993,0.1999999999999993,8.42,8.5,8.3,0.1999999999999993,0.1999999999999993,126213,171729,61008,110721,-110721
2018-01-21,8.8,9.1,8.45,0.6500000000000004,0.45000000000000107,9.05,9.15,8.9,0.25,0.09999999999999964,8.696,8.8,8.45,0.3500000000000014,0.3500000000000014,8.88,9.0,8.8,0.1999999999999993,0.049999999999998934,94199,119245,71867,47378,-25827
2018-01-28,8.58,8.85,8.35,0.5,-0.5,8.672,8.9,8.36,0.5400000000000009,-0.4900000000000002,8.4,8.6,8.1,0.5,-0.5,8.44,8.65,8.1,0.5500000000000007,-0.5500000000000007,91102,109084,55854,53230,36006
2018-02-04,8.28,8.35,8.0,0.34999999999999964,0.34999999999999964,8.51,8.6,8.4,0.1999999999999993,-0.09999999999999964,8.18,8.3,8.0,0.3000000000000007,0.09999999999999964,8.31,8.35,8.2,0.15000000000000036,-0.15000000000000036,137082,170031,95964,74067,-65760
2018-02-11,8.525,9.15,7.8,1.3500000000000005,1.0,8.7975,9.55,7.99,1.5600000000000005,1.3500000000000014,8.25,9.05,7.65,1.4000000000000004,1.1500000000000004,8.4875,9.15,7.8,1.3500000000000005,1.1999999999999993,296887,565681,94582,471099,162446
2018-02-18,9.799999999999999,10.2,9.15,1.049999999999999,0.7999999999999989,10.174,10.45,10.05,0.3999999999999986,-0.06999999999999851,9.52,9.8,9.0,0.8000000000000007,0.6999999999999993,9.87,10.1,9.65,0.4499999999999993,-0.09999999999999964,276753,765167,95708,669459,-669459
2018-02-25,9.35,9.95,9.05,0.8999999999999986,-0.7999999999999989,9.48,9.95,9.25,0.6999999999999993,-0.6999999999999993,9.068,9.3,8.95,0.3500000000000014,-0.25,9.22,9.4,9.1,0.3000000000000007,-0.3000000000000007,95872,171597,61302,110295,-16145
2018-03-04,9.04,9.2,8.9,0.29999999999999893,-0.09999999999999964,9.15,9.3,9.0,0.3000000000000007,-0.25,8.84,9.05,8.7,0.3500000000000014,-0.15000000000000036,8.99,9.2,8.75,0.4499999999999993,-0.34999999999999964,74226,109118,51492,57626,-10862
2018-03-11,8.73,8.85,8.6,0.25,0.049999999999998934,8.87,8.95,8.75,0.1999999999999993,0.0,8.54,8.6,8.5,0.09999999999999964,0.0,8.73,8.9,8.6,0.3000000000000007,0.25,67002,93271,49502,43769,6169
2018-03-18,8.792,9.0,8.61,0.39000000000000057,-0.25,9.03,9.3,8.8,0.5,0.3500000000000014,8.61,8.75,8.45,0.3000000000000007,-0.1999999999999993,8.82,9.2,8.45,0.75,0.3999999999999986,79690,127151,55602,71549,69006
2018-03-25,9.2625,9.5,9.15,0.34999999999999964,0.0,9.425,9.55,9.2,0.3500000000000014,-0.20000000000000107,8.9375,9.05,8.6,0.45000000000000107,-0.45000000000000107,9.125,9.3,8.9,0.40000000000000036,-0.25,126857,149902,101580,48322,34913
