Date,iShares TIPS Bond_Open_average,iShares TIPS Bond_Open_max,iShares TIPS Bond_Open_min,iShares TIPS Bond_Open_volatility,iShares TIPS Bond_Open_change,iShares TIPS Bond_High_average,iShares TIPS Bond_High_max,iShares TIPS Bond_High_min,iShares TIPS Bond_High_volatility,iShares TIPS Bond_High_change,iShares TIPS Bond_Low_average,iShares TIPS Bond_Low_max,iShares TIPS Bond_Low_min,iShares TIPS Bond_Low_volatility,iShares TIPS Bond_Low_change,iShares TIPS Bond_Close_average,iShares TIPS Bond_Close_max,iShares TIPS Bond_Close_min,iShares TIPS Bond_Close_volatility,iShares TIPS Bond_Close_change
2018-01-14,113.26,113.26,113.26,0.0,0.0,113.35,113.35,113.35,0.0,0.0,113.14,113.14,113.14,0.0,0.0,113.2,113.2,113.2,0.0,0.0
2018-01-21,113.43,113.43,113.43,0.0,0.0,113.43,113.43,113.43,0.0,0.0,113.22,113.22,113.22,0.0,0.0,113.37,113.37,113.37,0.0,0.0
2018-01-28,112.34,112.34,112.34,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.15,112.15,112.15,0.0,0.0,112.37,112.37,112.37,0.0,0.0
2018-02-04,111.66,111.66,111.66,0.0,0.0,111.89,111.89,111.89,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.5,111.5,111.5,0.0,0.0
2018-02-11,111.87,111.87,111.87,0.0,0.0,111.98,111.98,111.98,0.0,0.0,111.72,111.72,111.72,0.0,0.0,111.8,111.8,111.8,0.0,0.0
2018-02-18,111.7,111.7,111.7,0.0,0.0,111.9,111.9,111.9,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.9,111.9,111.9,0.0,0.0
2018-02-25,112.15,112.15,112.15,0.0,0.0,112.3,112.3,112.3,0.0,0.0,112.01,112.01,112.01,0.0,0.0,112.17,112.17,112.17,0.0,0.0
2018-03-04,112.07,112.07,112.07,0.0,0.0,112.14,112.14,112.14,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.01,112.01,112.01,0.0,0.0
2018-03-11,112.28,112.28,112.28,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.12,112.12,112.12,0.0,0.0,112.19,112.19,112.19,0.0,0.0
2018-03-18,112.43,112.43,112.43,0.0,0.0,112.66,112.66,112.66,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.58,112.58,112.58,0.0,0.0
2018-03-25,112.87,112.87,112.87,0.0,0.0,113.17,113.17,113.17,0.0,0.0,112.86,112.86,112.86,0.0,0.0,113.05,113.05,113.05,0.0,0.0
2018-04-01,112.68,112.68,112.68,0.0,0.0,112.87,112.87,112.87,0.0,0.0,112.56,112.56,112.56,0.0,0.0,112.87,112.87,112.87,0.0,0.0
2018-04-08,112.92,112.92,112.92,0.0,0.0,113.13,113.13,113.13,0.0,0.0,112.92,112.92,112.92,0.0,0.0,113.11,113.11,113.11,0.0,0.0
2018-04-15,112.61,112.61,112.61,0.0,0.0,112.62,112.62,112.62,0.0,0.0,112.38,112.38,112.38,0.0,0.0,112.38,112.38,112.38,0.0,0.0
2018-04-22,112.39,112.39,112.39,0.0,0.0,112.56,112.56,112.56,0.0,0.0,112.39,112.39,112.39,0.0,0.0,112.52,112.52,112.52,0.0,0.0
