Date,iShares Global High Yield Corporate Bond_Open_average,iShares Global High Yield Corporate Bond_Open_max,iShares Global High Yield Corporate Bond_Open_min,iShares Global High Yield Corporate Bond_Open_volatility,iShares Global High Yield Corporate Bond_Open_change,iShares Global High Yield Corporate Bond_High_average,iShares Global High Yield Corporate Bond_High_max,iShares Global High Yield Corporate Bond_High_min,iShares Global High Yield Corporate Bond_High_volatility,iShares Global High Yield Corporate Bond_High_change,iShares Global High Yield Corporate Bond_Low_average,iShares Global High Yield Corporate Bond_Low_max,iShares Global High Yield Corporate Bond_Low_min,iShares Global High Yield Corporate Bond_Low_volatility,iShares Global High Yield Corporate Bond_Low_change,iShares Global High Yield Corporate Bond_Close_average,iShares Global High Yield Corporate Bond_Close_max,iShares Global High Yield Corporate Bond_Close_min,iShares Global High Yield Corporate Bond_Close_volatility,iShares Global High Yield Corporate Bond_Close_change
2018-01-14,51.24,51.24,51.24,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2018-01-21,51.43,51.43,51.43,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.42,51.42,51.42,0.0,0.0
2018-01-28,50.76,50.76,50.76,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-02-04,49.86,49.86,49.86,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.86,49.86,49.86,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-02-11,50.55,50.55,50.55,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-02-18,50.52,50.52,50.52,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-02-25,50.0,50.0,50.0,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-03-04,50.3,50.3,50.3,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-03-11,50.14,50.14,50.14,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-03-18,50.16,50.16,50.16,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-03-25,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-04-01,50.01,50.01,50.01,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-04-08,50.62,50.62,50.62,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-04-15,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-04-22,50.03,50.03,50.03,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-04-29,49.59,49.59,49.59,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-05-06,49.7,49.7,49.7,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-05-13,49.26,49.26,49.26,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-05-20,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-05-27,48.97,48.97,48.97,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-06-03,49.25,49.25,49.25,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-06-10,49.21,49.21,49.21,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-06-17,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-06-24,48.61,48.61,48.61,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-07-01,49.12,49.12,49.12,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-07-08,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-07-15,49.2,49.2,49.2,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-07-22,49.31,49.31,49.31,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-07-29,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.17,49.17,49.17,0.0,0.0
