Date,EGAN_stock_Open_average,EGAN_stock_Open_max,EGAN_stock_Open_min,EGAN_stock_Open_volatility,EGAN_stock_Open_change,EGAN_stock_High_average,EGAN_stock_High_max,EGAN_stock_High_min,EGAN_stock_High_volatility,EGAN_stock_High_change,EGAN_stock_Low_average,EGAN_stock_Low_max,EGAN_stock_Low_min,EGAN_stock_Low_volatility,EGAN_stock_Low_change,EGAN_stock_Close_average,EGAN_stock_Close_max,EGAN_stock_Close_min,EGAN_stock_Close_volatility,EGAN_stock_Close_change,EGAN_stock_Volume_average,EGAN_stock_Volume_max,EGAN_stock_Volume_min,EGAN_stock_Volume_volatility,EGAN_stock_Volume_change
2018-01-14,5.7,6.0,5.35,0.6500000000000004,0.25,5.95,6.1,5.75,0.34999999999999964,0.25,5.47,5.75,5.15,0.5999999999999996,0.5999999999999996,5.7375,6.0,5.35,0.6500000000000004,0.5500000000000007,191653,290465,119750,170715,31726
2018-01-21,5.78,5.95,5.6,0.35000000000000053,-0.09999999999999964,5.886,5.95,5.8,0.15000000000000036,-0.08000000000000007,5.58,5.75,5.4,0.34999999999999964,-0.2999999999999998,5.7,5.9,5.5,0.40000000000000036,-0.34999999999999964,76882,92281,57183,35098,-259
2018-01-28,5.359999999999999,5.6,5.05,0.5499999999999998,-0.20000000000000018,5.54,5.75,5.35,0.40000000000000036,-0.40000000000000036,5.188,5.4,5.0,0.40000000000000036,-0.25,5.3100000000000005,5.65,5.05,0.6000000000000005,-0.5,85348,120266,45609,74657,-74657
2018-02-04,5.27,6.1,4.8,1.2999999999999998,0.9499999999999993,5.53,6.5,5.2,1.2999999999999998,1.2999999999999998,4.92,5.45,4.6,0.8500000000000005,0.8500000000000005,5.2,5.6,4.85,0.75,0.75,214290,370530,36275,334255,46389
2018-02-11,6.69,7.95,5.6,2.3500000000000005,2.3500000000000005,7.244,8.0,6.2,1.7999999999999998,1.7999999999999998,6.356,7.07,5.6,1.4700000000000006,0.9500000000000002,7.0200000000000005,7.8,5.9,1.8999999999999995,1.5999999999999996,410087,528471,296304,232167,71419
2018-02-18,7.4875,7.7,7.35,0.35000000000000053,0.2999999999999998,7.7,7.9,7.55,0.35000000000000053,0.3000000000000007,7.3625,7.55,7.05,0.5,0.5,7.6,7.8,7.4,0.39999999999999947,0.39999999999999947,246050,541534,118883,422651,-341149
2018-02-25,7.74,7.95,7.4,0.5499999999999998,-0.5,7.888,7.99,7.75,0.2400000000000002,-0.1900000000000004,7.452,7.7,6.95,0.75,-0.75,7.75,7.95,7.55,0.40000000000000036,0.09999999999999964,191913,249173,153105,96068,87065
2018-03-04,7.87,7.95,7.8,0.15000000000000036,0.15000000000000036,7.96,8.0,7.95,0.04999999999999982,0.0,7.68,7.85,7.35,0.5,0.4500000000000002,7.9,7.95,7.8,0.15000000000000036,-0.15000000000000036,136806,241433,87522,153911,-152545
2018-03-11,7.82,7.95,7.65,0.2999999999999998,-0.1999999999999993,7.890000000000001,7.95,7.8,0.15000000000000036,-0.10000000000000053,7.66,7.75,7.5,0.25,-0.25,7.75,7.85,7.65,0.1999999999999993,-0.14999999999999947,136394,172538,109500,63038,39727
2018-03-18,7.39,7.6,7.1,0.5,-0.34999999999999964,7.66,7.7,7.55,0.15000000000000036,-0.04999999999999982,7.21,7.4,7.1,0.3000000000000007,0.15000000000000036,7.37,7.55,7.1,0.4500000000000002,0.3000000000000007,124671,177932,73190,104742,-64197
2018-03-25,7.8625,8.5,7.5,1.0,0.04999999999999982,8.175,8.5,7.95,0.5499999999999998,-0.35000000000000053,7.47,7.75,7.15,0.5999999999999996,0.39999999999999947,7.9125,8.25,7.5,0.75,-0.2999999999999998,376554,841232,160938,680294,-674183
2018-04-01,7.93,8.15,7.6,0.5500000000000007,0.20000000000000018,8.116,8.23,7.9,0.33000000000000007,-0.030000000000001137,7.744,7.95,7.35,0.6000000000000005,0.04999999999999982,7.97,8.15,7.75,0.40000000000000036,-0.049999999999998934,147355,206895,117145,89750,-68257
