Date,DB Gold Double Short_etf_Open_average,DB Gold Double Short_etf_Open_max,DB Gold Double Short_etf_Open_min,DB Gold Double Short_etf_Open_volatility,DB Gold Double Short_etf_Open_change,DB Gold Double Short_etf_High_average,DB Gold Double Short_etf_High_max,DB Gold Double Short_etf_High_min,DB Gold Double Short_etf_High_volatility,DB Gold Double Short_etf_High_change,DB Gold Double Short_etf_Low_average,DB Gold Double Short_etf_Low_max,DB Gold Double Short_etf_Low_min,DB Gold Double Short_etf_Low_volatility,DB Gold Double Short_etf_Low_change,DB Gold Double Short_etf_Close_average,DB Gold Double Short_etf_Close_max,DB Gold Double Short_etf_Close_min,DB Gold Double Short_etf_Close_volatility,DB Gold Double Short_etf_Close_change
2018-01-14,5.14,5.14,5.14,0.0,0.0,5.15,5.15,5.15,0.0,0.0,5.11,5.11,5.11,0.0,0.0,5.14,5.14,5.14,0.0,0.0
2018-01-21,4.99,4.99,4.99,0.0,0.0,5.01,5.01,5.01,0.0,0.0,4.97,4.97,4.97,0.0,0.0,5.0,5.0,5.0,0.0,0.0
2018-01-28,5.11,5.11,5.11,0.0,0.0,5.18,5.18,5.18,0.0,0.0,5.11,5.11,5.11,0.0,0.0,5.15,5.15,5.15,0.0,0.0
2018-02-04,5.3,5.3,5.3,0.0,0.0,5.32,5.32,5.32,0.0,0.0,5.26,5.26,5.26,0.0,0.0,5.29,5.29,5.29,0.0,0.0
2018-02-11,4.99,4.99,4.99,0.0,0.0,5.05,5.05,5.05,0.0,0.0,4.98,4.98,4.98,0.0,0.0,5.02,5.02,5.02,0.0,0.0
2018-02-18,5.18,5.18,5.18,0.0,0.0,5.19,5.19,5.19,0.0,0.0,5.18,5.18,5.18,0.0,0.0,5.19,5.19,5.19,0.0,0.0
2018-02-25,5.2,5.2,5.2,0.0,0.0,5.26,5.26,5.26,0.0,0.0,5.2,5.2,5.2,0.0,0.0,5.23,5.23,5.23,0.0,0.0
2018-03-04,5.28,5.28,5.28,0.0,0.0,5.29,5.29,5.29,0.0,0.0,5.22,5.22,5.22,0.0,0.0,5.23,5.23,5.23,0.0,0.0
2018-03-11,5.29,5.29,5.29,0.0,0.0,5.33,5.33,5.33,0.0,0.0,5.29,5.29,5.29,0.0,0.0,5.31,5.31,5.31,0.0,0.0
2018-03-18,5.03,5.03,5.03,0.0,0.0,5.07,5.07,5.07,0.0,0.0,5.02,5.02,5.02,0.0,0.0,5.05,5.05,5.05,0.0,0.0
2018-03-25,5.25,5.25,5.25,0.0,0.0,5.26,5.26,5.26,0.0,0.0,5.22,5.22,5.22,0.0,0.0,5.22,5.22,5.22,0.0,0.0
2018-04-01,5.16,5.16,5.16,0.0,0.0,5.19,5.19,5.19,0.0,0.0,5.16,5.16,5.16,0.0,0.0,5.17,5.17,5.17,0.0,0.0
2018-04-08,5.15,5.15,5.15,0.0,0.0,5.15,5.15,5.15,0.0,0.0,5.08,5.08,5.08,0.0,0.0,5.09,5.09,5.09,0.0,0.0
2018-04-15,5.17,5.17,5.17,0.0,0.0,5.18,5.18,5.18,0.0,0.0,5.15,5.15,5.15,0.0,0.0,5.18,5.18,5.18,0.0,0.0
2018-04-22,5.29,5.29,5.29,0.0,0.0,5.3,5.3,5.3,0.0,0.0,5.27,5.27,5.27,0.0,0.0,5.27,5.27,5.27,0.0,0.0
2018-04-29,5.39,5.39,5.39,0.0,0.0,5.39,5.39,5.39,0.0,0.0,5.35,5.35,5.35,0.0,0.0,5.35,5.35,5.35,0.0,0.0
2018-05-06,5.29,5.29,5.29,0.0,0.0,5.32,5.32,5.32,0.0,0.0,5.29,5.29,5.29,0.0,0.0,5.32,5.32,5.32,0.0,0.0
2018-05-13,5.58,5.58,5.58,0.0,0.0,5.58,5.58,5.58,0.0,0.0,5.53,5.53,5.53,0.0,0.0,5.55,5.55,5.55,0.0,0.0
2018-05-20,5.45,5.45,5.45,0.0,0.0,5.48,5.48,5.48,0.0,0.0,5.44,5.44,5.44,0.0,0.0,5.48,5.48,5.48,0.0,0.0
