Date,PowerShares S&P SmallCap Materials_Open_average,PowerShares S&P SmallCap Materials_Open_max,PowerShares S&P SmallCap Materials_Open_min,PowerShares S&P SmallCap Materials_Open_volatility,PowerShares S&P SmallCap Materials_Open_change,PowerShares S&P SmallCap Materials_High_average,PowerShares S&P SmallCap Materials_High_max,PowerShares S&P SmallCap Materials_High_min,PowerShares S&P SmallCap Materials_High_volatility,PowerShares S&P SmallCap Materials_High_change,PowerShares S&P SmallCap Materials_Low_average,PowerShares S&P SmallCap Materials_Low_max,PowerShares S&P SmallCap Materials_Low_min,PowerShares S&P SmallCap Materials_Low_volatility,PowerShares S&P SmallCap Materials_Low_change,PowerShares S&P SmallCap Materials_Close_average,PowerShares S&P SmallCap Materials_Close_max,PowerShares S&P SmallCap Materials_Close_min,PowerShares S&P SmallCap Materials_Close_volatility,PowerShares S&P SmallCap Materials_Close_change
2018-01-14,54.29,54.29,54.29,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2018-01-21,55.6,55.6,55.6,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.22,55.22,55.22,0.0,0.0
2018-01-28,51.57,51.57,51.57,0.0,0.0,52.46,52.46,52.46,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-02-04,50.09,50.09,50.09,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-02-11,52.29,52.29,52.29,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-02-18,52.76,52.76,52.76,0.0,0.0,53.01,53.01,53.01,0.0,0.0,52.33,52.33,52.33,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2018-02-25,51.59,51.59,51.59,0.0,0.0,52.2,52.2,52.2,0.0,0.0,51.59,51.59,51.59,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-03-04,54.76,54.76,54.76,0.0,0.0,54.76,54.76,54.76,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-03-11,52.32,52.32,52.32,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-03-18,50.51,50.51,50.51,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-03-25,50.51,50.51,50.51,0.0,0.0,50.69,50.69,50.69,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.5,49.5,49.5,0.0,0.0
