Date,D_stock_Open_average,D_stock_Open_max,D_stock_Open_min,D_stock_Open_volatility,D_stock_Open_change,D_stock_High_average,D_stock_High_max,D_stock_High_min,D_stock_High_volatility,D_stock_High_change,D_stock_Low_average,D_stock_Low_max,D_stock_Low_min,D_stock_Low_volatility,D_stock_Low_change,D_stock_Close_average,D_stock_Close_max,D_stock_Close_min,D_stock_Close_volatility,D_stock_Close_change,D_stock_Volume_average,D_stock_Volume_max,D_stock_Volume_min,D_stock_Volume_volatility,D_stock_Volume_change
2018-01-14,75.5425,76.11,75.04,1.0699999999999932,-1.0699999999999932,75.715,76.34,75.16,1.1800000000000068,-1.1800000000000068,74.69,75.01,74.32,0.6900000000000119,-0.5699999999999932,75.1625,75.5,74.89,0.6099999999999994,-0.28000000000000114,6841164,9056822,4976827,4079995,-2526915
2018-01-21,75.56400000000001,76.54,75.0,1.5400000000000063,1.5300000000000011,76.23,76.78,75.58,1.2000000000000028,1.1800000000000068,75.132,75.55,74.77,0.7800000000000011,0.3400000000000034,75.67,76.69,74.89,1.7999999999999972,0.6099999999999994,4807399,5278069,3915507,1362562,851230
2018-01-28,75.602,76.46,74.72,1.7399999999999949,-0.01999999999999602,76.36,76.72,75.92,0.7999999999999972,0.75,74.978,75.24,74.62,0.6199999999999903,0.6199999999999903,75.686,76.44,75.09,1.3499999999999943,0.5900000000000034,4848930,7018436,3528869,3489567,-1300650
2018-02-04,74.13000000000001,75.65,73.4,2.25,-2.230000000000004,75.088,76.65,74.44,2.210000000000008,-1.6000000000000085,73.386,74.6,72.8,1.7999999999999972,-1.5499999999999972,74.05,74.69,73.31,1.3799999999999955,-0.3100000000000023,5049563,6910208,4101274,2808934,-64326
2018-02-11,74.784,75.31,74.4,0.9099999999999966,0.9099999999999966,75.484,76.0,74.92,1.0799999999999983,0.4200000000000017,74.202,75.01,73.61,1.4000000000000057,1.4000000000000057,75.178,75.8,74.34,1.4599999999999937,0.539999999999992,3470310,4418624,2885764,1532860,-889094
2018-02-18,74.4075,75.51,73.65,1.8599999999999994,-1.8599999999999994,75.255,75.81,74.34,1.4699999999999989,-0.23000000000000398,73.6925,74.39,73.36,1.0300000000000011,-0.8799999999999955,74.3475,75.52,73.54,1.9799999999999898,0.769999999999996,3148051,4264770,2055756,2209014,-2209014
2018-02-25,74.366,75.94,72.37,3.569999999999993,-3.280000000000001,74.968,76.24,73.15,3.089999999999989,-3.009999999999991,73.534,75.4,71.91,3.490000000000009,-3.490000000000009,73.834,75.99,72.35,3.6400000000000006,-3.489999999999995,4038292,4832575,2970617,1861958,565215
2018-03-04,72.866,73.58,72.5,1.0799999999999983,0.28000000000000114,73.36,73.9,73.02,0.8800000000000097,-0.8800000000000097,72.416,72.74,72.22,0.519999999999996,0.20000000000000284,73.042,73.7,72.83,0.8700000000000045,-0.8299999999999983,3401592,4543922,2368282,2175640,758028
2018-03-11,72.714,73.58,70.76,2.819999999999993,-2.1199999999999903,73.106,74.35,70.96,3.3900000000000006,-2.3500000000000085,71.828,72.78,69.94,2.8400000000000034,-2.799999999999997,72.268,73.52,70.61,2.9099999999999966,-2.3599999999999994,6551156,12427566,3367479,9060087,7644715
2018-03-18,68.564,70.13,67.57,2.5600000000000023,-2.299999999999997,69.28,70.46,68.67,1.789999999999992,-1.4499999999999886,67.794,68.65,67.17,1.480000000000004,-1.480000000000004,68.08200000000001,69.15,67.3,1.8500000000000085,-1.8500000000000085,6312881,8224365,4956618,3267747,-3267747
