Date,PIMCO 15+ Year US TIPS Exchange-Traded_Open_average,PIMCO 15+ Year US TIPS Exchange-Traded_Open_max,PIMCO 15+ Year US TIPS Exchange-Traded_Open_min,PIMCO 15+ Year US TIPS Exchange-Traded_Open_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_Open_change,PIMCO 15+ Year US TIPS Exchange-Traded_High_average,PIMCO 15+ Year US TIPS Exchange-Traded_High_max,PIMCO 15+ Year US TIPS Exchange-Traded_High_min,PIMCO 15+ Year US TIPS Exchange-Traded_High_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_High_change,PIMCO 15+ Year US TIPS Exchange-Traded_Low_average,PIMCO 15+ Year US TIPS Exchange-Traded_Low_max,PIMCO 15+ Year US TIPS Exchange-Traded_Low_min,PIMCO 15+ Year US TIPS Exchange-Traded_Low_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_Low_change,PIMCO 15+ Year US TIPS Exchange-Traded_Close_average,PIMCO 15+ Year US TIPS Exchange-Traded_Close_max,PIMCO 15+ Year US TIPS Exchange-Traded_Close_min,PIMCO 15+ Year US TIPS Exchange-Traded_Close_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_Close_change
2018-01-14,68.29,68.29,68.29,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-01-21,68.34,68.34,68.34,0.0,0.0,68.34,68.34,68.34,0.0,0.0,67.89,67.89,67.89,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-01-28,66.5,66.5,66.5,0.0,0.0,67.61,67.61,67.61,0.0,0.0,66.2,66.2,66.2,0.0,0.0,67.06,67.06,67.06,0.0,0.0
2018-02-04,65.73,65.73,65.73,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2018-02-11,65.56,65.56,65.56,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.36,65.36,65.36,0.0,0.0
2018-02-18,65.45,65.45,65.45,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2018-02-25,66.07,66.07,66.07,0.0,0.0,66.07,66.07,66.07,0.0,0.0,65.2,65.2,65.2,0.0,0.0,65.48,65.48,65.48,0.0,0.0
2018-03-04,65.46,65.46,65.46,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.52,65.52,65.52,0.0,0.0
2018-03-11,65.44,65.44,65.44,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-03-18,66.24,66.24,66.24,0.0,0.0,66.29,66.29,66.29,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-03-25,66.7,66.7,66.7,0.0,0.0,67.22,67.22,67.22,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.95,66.95,66.95,0.0,0.0
2018-04-01,66.64,66.64,66.64,0.0,0.0,66.93,66.93,66.93,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.86,66.86,66.86,0.0,0.0
2018-04-08,67.12,67.12,67.12,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.12,67.12,67.12,0.0,0.0,67.46,67.46,67.46,0.0,0.0
2018-04-15,66.31,66.31,66.31,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2018-04-22,66.9,66.9,66.9,0.0,0.0,67.36,67.36,67.36,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.01,67.01,67.01,0.0,0.0
2018-04-29,66.45,66.45,66.45,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.26,66.26,66.26,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-05-06,66.3,66.3,66.3,0.0,0.0,66.3,66.3,66.3,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2018-05-13,64.9,64.9,64.9,0.0,0.0,65.03,65.03,65.03,0.0,0.0,64.82,64.82,64.82,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-05-20,65.73,65.73,65.73,0.0,0.0,65.93,65.93,65.93,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-05-27,66.21,66.21,66.21,0.0,0.0,66.28,66.28,66.28,0.0,0.0,65.92,65.92,65.92,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2018-06-03,65.78,65.78,65.78,0.0,0.0,66.18,66.18,66.18,0.0,0.0,65.74,65.74,65.74,0.0,0.0,66.18,66.18,66.18,0.0,0.0
2018-06-10,66.71,66.71,66.71,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2018-06-17,67.05,67.05,67.05,0.0,0.0,67.15,67.15,67.15,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-06-24,67.58,67.58,67.58,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-07-01,68.04,68.04,68.04,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.92,67.92,67.92,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-07-08,67.83,67.83,67.83,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.84,67.84,67.84,0.0,0.0
