Date,Invesco S and P MidCap Value with Momentum_Open_average,Invesco S and P MidCap Value with Momentum_Open_max,Invesco S and P MidCap Value with Momentum_Open_min,Invesco S and P MidCap Value with Momentum_Open_volatility,Invesco S and P MidCap Value with Momentum_Open_change,Invesco S and P MidCap Value with Momentum_High_average,Invesco S and P MidCap Value with Momentum_High_max,Invesco S and P MidCap Value with Momentum_High_min,Invesco S and P MidCap Value with Momentum_High_volatility,Invesco S and P MidCap Value with Momentum_High_change,Invesco S and P MidCap Value with Momentum_Low_average,Invesco S and P MidCap Value with Momentum_Low_max,Invesco S and P MidCap Value with Momentum_Low_min,Invesco S and P MidCap Value with Momentum_Low_volatility,Invesco S and P MidCap Value with Momentum_Low_change,Invesco S and P MidCap Value with Momentum_Close_average,Invesco S and P MidCap Value with Momentum_Close_max,Invesco S and P MidCap Value with Momentum_Close_min,Invesco S and P MidCap Value with Momentum_Close_volatility,Invesco S and P MidCap Value with Momentum_Close_change
2018-01-14,31.79,31.79,31.79,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-01-21,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-01-28,30.68,30.68,30.68,0.0,0.0,30.91,30.91,30.91,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-02-04,29.46,29.46,29.46,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-02-11,30.71,30.71,30.71,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-02-18,30.72,30.72,30.72,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-02-25,30.46,30.46,30.46,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-03-04,31.03,31.03,31.03,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-11,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-03-18,29.81,29.81,29.81,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.71,29.71,29.71,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-03-25,30.12,30.12,30.12,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-04-01,30.17,30.17,30.17,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-04-08,30.45,30.45,30.45,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-04-15,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-04-22,30.81,30.81,30.81,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-04-29,30.67,30.67,30.67,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-05-06,31.08,31.08,31.08,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-05-13,31.04,31.04,31.04,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-05-20,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-05-27,30.91,30.91,30.91,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-06-03,31.35,31.35,31.35,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-06-10,31.02,31.02,31.02,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-06-17,30.94,30.94,30.94,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-06-24,30.61,30.61,30.61,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-07-01,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-07-08,31.36,31.36,31.36,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-07-15,31.17,31.17,31.17,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-07-22,31.41,31.41,31.41,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-07-29,31.8,31.8,31.8,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-08-05,31.4,31.4,31.4,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-08-12,32.2,32.2,32.2,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-08-19,31.8,31.8,31.8,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-08-26,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-09-02,31.78,31.78,31.78,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-09-09,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-09-16,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-09-23,31.23,31.23,31.23,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-09-30,31.01,31.01,31.01,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-10-07,29.93,29.93,29.93,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-10-14,30.22,30.22,30.22,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-10-21,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-10-28,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-11-04,30.44,30.44,30.44,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-11-11,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-11-18,30.22,30.22,30.22,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-11-25,31.19,31.19,31.19,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-12-02,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-12-09,29.42,29.42,29.42,0.0,0.0,29.49,29.49,29.49,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-12-16,28.54,28.54,28.54,0.0,0.0,28.56,28.56,28.56,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-12-23,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-12-30,28.23,28.23,28.23,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-01-06,28.87,28.87,28.87,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2019-01-13,29.68,29.68,29.68,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2019-01-20,29.76,29.76,29.76,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2019-01-27,30.43,30.43,30.43,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-02-03,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-02-10,30.97,30.97,30.97,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2019-02-17,31.69,31.69,31.69,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-02-24,31.11,31.11,31.11,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-03-03,31.02,31.02,31.02,0.0,0.0,31.24,31.24,31.24,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2019-03-10,31.35,31.35,31.35,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-03-17,30.98,30.98,30.98,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2019-03-24,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2019-03-31,32.09,32.09,32.09,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-04-07,32.36,32.36,32.36,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2019-04-14,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2019-04-21,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-04-28,32.21,32.21,32.21,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2019-05-05,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2019-05-12,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2019-05-19,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2019-05-26,30.89,30.89,30.89,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-06-02,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-06-09,32.17,32.17,32.17,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2019-06-16,32.44,32.44,32.44,0.0,0.0,32.48,32.48,32.48,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
