Date,iShares Short-Term Corporate Bond_Open_average,iShares Short-Term Corporate Bond_Open_max,iShares Short-Term Corporate Bond_Open_min,iShares Short-Term Corporate Bond_Open_volatility,iShares Short-Term Corporate Bond_Open_change,iShares Short-Term Corporate Bond_High_average,iShares Short-Term Corporate Bond_High_max,iShares Short-Term Corporate Bond_High_min,iShares Short-Term Corporate Bond_High_volatility,iShares Short-Term Corporate Bond_High_change,iShares Short-Term Corporate Bond_Low_average,iShares Short-Term Corporate Bond_Low_max,iShares Short-Term Corporate Bond_Low_min,iShares Short-Term Corporate Bond_Low_volatility,iShares Short-Term Corporate Bond_Low_change,iShares Short-Term Corporate Bond_Close_average,iShares Short-Term Corporate Bond_Close_max,iShares Short-Term Corporate Bond_Close_min,iShares Short-Term Corporate Bond_Close_volatility,iShares Short-Term Corporate Bond_Close_change
2018-01-14,52.2,52.2,52.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.16,52.16,52.16,0.0,0.0
2018-01-21,52.17,52.17,52.17,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-01-28,52.05,52.05,52.05,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-02-04,52.02,52.02,52.02,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-02-11,51.98,51.98,51.98,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-02-18,51.95,51.95,51.95,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-02-25,51.87,51.87,51.87,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2018-03-04,51.86,51.86,51.86,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-03-11,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-03-18,51.85,51.85,51.85,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-03-25,51.88,51.88,51.88,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-04-01,51.85,51.85,51.85,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2018-04-08,51.87,51.87,51.87,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-04-15,51.83,51.83,51.83,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-04-22,51.84,51.84,51.84,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-04-29,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-05-06,51.8,51.8,51.8,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-05-13,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.8,51.8,51.8,0.0,0.0
