Date,Global X China Financials_Open_average,Global X China Financials_Open_max,Global X China Financials_Open_min,Global X China Financials_Open_volatility,Global X China Financials_Open_change,Global X China Financials_High_average,Global X China Financials_High_max,Global X China Financials_High_min,Global X China Financials_High_volatility,Global X China Financials_High_change,Global X China Financials_Low_average,Global X China Financials_Low_max,Global X China Financials_Low_min,Global X China Financials_Low_volatility,Global X China Financials_Low_change,Global X China Financials_Close_average,Global X China Financials_Close_max,Global X China Financials_Close_min,Global X China Financials_Close_volatility,Global X China Financials_Close_change
2018-01-14,20.32,20.32,20.32,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.4,20.4,20.4,0.0,0.0
2018-01-21,20.62,20.62,20.62,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2018-01-28,20.05,20.05,20.05,0.0,0.0,20.16,20.16,20.16,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-02-04,17.91,17.91,17.91,0.0,0.0,18.06,18.06,18.06,0.0,0.0,17.77,17.77,17.77,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-02-11,19.21,19.21,19.21,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-02-18,19.49,19.49,19.49,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2018-02-25,18.24,18.24,18.24,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-03-04,19.26,19.26,19.26,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-03-11,19.06,19.06,19.06,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.9,18.9,18.9,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-03-18,18.56,18.56,18.56,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.62,18.62,18.62,0.0,0.0
