Date,Invesco S and P SmallCap Momentum_Open_average,Invesco S and P SmallCap Momentum_Open_max,Invesco S and P SmallCap Momentum_Open_min,Invesco S and P SmallCap Momentum_Open_volatility,Invesco S and P SmallCap Momentum_Open_change,Invesco S and P SmallCap Momentum_High_average,Invesco S and P SmallCap Momentum_High_max,Invesco S and P SmallCap Momentum_High_min,Invesco S and P SmallCap Momentum_High_volatility,Invesco S and P SmallCap Momentum_High_change,Invesco S and P SmallCap Momentum_Low_average,Invesco S and P SmallCap Momentum_Low_max,Invesco S and P SmallCap Momentum_Low_min,Invesco S and P SmallCap Momentum_Low_volatility,Invesco S and P SmallCap Momentum_Low_change,Invesco S and P SmallCap Momentum_Close_average,Invesco S and P SmallCap Momentum_Close_max,Invesco S and P SmallCap Momentum_Close_min,Invesco S and P SmallCap Momentum_Close_volatility,Invesco S and P SmallCap Momentum_Close_change
2018-01-14,33.23,33.23,33.23,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2018-01-21,33.75,33.75,33.75,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-01-28,31.87,31.87,31.87,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-02-04,30.77,30.77,30.77,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.72,30.72,30.72,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-18,32.65,32.65,32.65,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.65,32.65,32.65,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-02-25,32.79,32.79,32.79,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.79,32.79,32.79,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-03-04,34.65,34.65,34.65,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-03-11,34.13,34.13,34.13,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-03-18,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-03-25,32.64,32.64,32.64,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-04-01,32.89,32.89,32.89,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-04-08,33.58,33.58,33.58,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-04-15,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-04-22,33.49,33.49,33.49,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-04-29,34.62,34.62,34.62,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-05-06,35.4,35.4,35.4,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-05-13,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-05-20,35.85,35.85,35.85,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-05-27,36.79,36.79,36.79,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-06-03,37.47,37.47,37.47,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2018-06-10,38.17,38.17,38.17,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-06-17,37.37,37.37,37.37,0.0,0.0,37.47,37.47,37.47,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-06-24,36.46,36.46,36.46,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-07-01,38.2,38.2,38.2,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-07-08,37.92,37.92,37.92,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2018-07-15,38.45,38.45,38.45,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-07-22,37.27,37.27,37.27,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-07-29,37.85,37.85,37.85,0.0,0.0,38.3,38.3,38.3,0.0,0.0,37.76,37.76,37.76,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-08-05,38.53,38.53,38.53,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2018-08-12,38.79,38.79,38.79,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-08-19,39.87,39.87,39.87,0.0,0.0,40.16,40.16,40.16,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-08-26,40.24,40.24,40.24,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-09-02,40.44,40.44,40.44,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2018-09-09,40.37,40.37,40.37,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-09-16,39.71,39.71,39.71,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2018-09-23,39.97,39.97,39.97,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-09-30,37.38,37.38,37.38,0.0,0.0,37.57,37.57,37.57,0.0,0.0,36.89,36.89,36.89,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-10-07,35.22,35.22,35.22,0.0,0.0,35.65,35.65,35.65,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2018-10-14,35.4,35.4,35.4,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-10-21,34.35,34.35,34.35,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-10-28,36.06,36.06,36.06,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.46,35.46,35.46,0.0,0.0
