Date,PowerShares Water Resources_etf_Open_average,PowerShares Water Resources_etf_Open_max,PowerShares Water Resources_etf_Open_min,PowerShares Water Resources_etf_Open_volatility,PowerShares Water Resources_etf_Open_change,PowerShares Water Resources_etf_High_average,PowerShares Water Resources_etf_High_max,PowerShares Water Resources_etf_High_min,PowerShares Water Resources_etf_High_volatility,PowerShares Water Resources_etf_High_change,PowerShares Water Resources_etf_Low_average,PowerShares Water Resources_etf_Low_max,PowerShares Water Resources_etf_Low_min,PowerShares Water Resources_etf_Low_volatility,PowerShares Water Resources_etf_Low_change,PowerShares Water Resources_etf_Close_average,PowerShares Water Resources_etf_Close_max,PowerShares Water Resources_etf_Close_min,PowerShares Water Resources_etf_Close_volatility,PowerShares Water Resources_etf_Close_change
2018-01-14,31.03,31.03,31.03,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-01-21,31.6,31.6,31.6,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-01-28,31.13,31.13,31.13,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-02-04,28.95,28.95,28.95,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-02-11,30.22,30.22,30.22,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-02-18,30.48,30.48,30.48,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-02-25,29.34,29.34,29.34,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-03-04,30.81,30.81,30.81,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-03-11,31.09,31.09,31.09,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-03-18,30.52,30.52,30.52,0.0,0.0,30.63,30.63,30.63,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-03-25,30.16,30.16,30.16,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-04-01,30.41,30.41,30.41,0.0,0.0,30.62,30.62,30.62,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-04-08,30.57,30.57,30.57,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-04-15,31.17,31.17,31.17,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-04-22,30.45,30.45,30.45,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-04-29,29.77,29.77,29.77,0.0,0.0,30.34,30.34,30.34,0.0,0.0,29.77,29.77,29.77,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-05-06,30.81,30.81,30.81,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-05-13,30.31,30.31,30.31,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-05-20,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-05-27,30.58,30.58,30.58,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-06-03,31.01,31.01,31.01,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-06-10,30.84,30.84,30.84,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-06-17,30.38,30.38,30.38,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-06-24,30.12,30.12,30.12,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-07-01,30.53,30.53,30.53,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-07-08,30.72,30.72,30.72,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-07-15,31.01,31.01,31.01,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-07-22,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-07-29,31.58,31.58,31.58,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-08-05,31.36,31.36,31.36,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-08-12,31.22,31.22,31.22,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-08-19,31.51,31.51,31.51,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-08-26,31.59,31.59,31.59,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-09-02,31.83,31.83,31.83,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-09-09,32.2,32.2,32.2,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2018-09-16,32.46,32.46,32.46,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-09-23,31.66,31.66,31.66,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-09-30,31.56,31.56,31.56,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-10-07,29.35,29.35,29.35,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-10-14,29.6,29.6,29.6,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-10-21,28.38,28.38,28.38,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-10-28,29.64,29.64,29.64,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-11-04,30.44,30.44,30.44,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-11-11,30.11,30.11,30.11,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-11-18,29.5,29.5,29.5,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-11-25,30.06,30.06,30.06,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-12-02,29.48,29.48,29.48,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-12-09,28.91,28.91,28.91,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-12-16,27.85,27.85,27.85,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2018-12-23,28.03,28.03,28.03,0.0,0.0,28.3,28.3,28.3,0.0,0.0,27.87,27.87,27.87,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-12-30,27.9,27.9,27.9,0.0,0.0,28.46,28.46,28.46,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2019-01-06,29.35,29.35,29.35,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-01-13,29.99,29.99,29.99,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2019-01-20,30.47,30.47,30.47,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2019-01-27,31.25,31.25,31.25,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2019-02-03,31.5,31.5,31.5,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2019-02-10,32.45,32.45,32.45,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2019-02-17,33.24,33.24,33.24,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2019-02-24,33.63,33.63,33.63,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-03-03,32.74,32.74,32.74,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2019-03-10,33.66,33.66,33.66,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.73,33.73,33.73,0.0,0.0
