Date,ARTX_Open_average,ARTX_Open_max,ARTX_Open_min,ARTX_Open_volatility,ARTX_Open_change,ARTX_High_average,ARTX_High_max,ARTX_High_min,ARTX_High_volatility,ARTX_High_change,ARTX_Low_average,ARTX_Low_max,ARTX_Low_min,ARTX_Low_volatility,ARTX_Low_change,ARTX_Close_average,ARTX_Close_max,ARTX_Close_min,ARTX_Close_volatility,ARTX_Close_change,ARTX_Volume_average,ARTX_Volume_max,ARTX_Volume_min,ARTX_Volume_volatility,ARTX_Volume_change
2016-01-03,2.2216666666666667,2.55,2.01,0.54,0.3500000000000001,2.3356666666666666,2.6,2.0780000000000003,0.5219999999999998,0.3719999999999999,2.1211666666666664,2.35,1.95,0.40000000000000013,0.17999999999999994,2.191666666666667,2.39,1.99,0.40000000000000013,0.2300000000000002,398766,1616417,57658,1558759,186842
2016-01-10,2.165,2.22,2.08,0.14000000000000012,-0.07000000000000028,2.2525,2.3,2.15,0.1499999999999999,-0.1499999999999999,2.0825,2.2,2.0,0.20000000000000018,-0.20000000000000018,2.135,2.2,2.05,0.15000000000000036,-0.15000000000000036,130710,161641,63405,98236,77312
2016-01-17,2.086,2.14,2.03,0.11000000000000032,0.07000000000000028,2.144,2.19,2.08,0.10999999999999988,0.029999999999999805,2.02,2.13,1.92,0.20999999999999996,0.04999999999999982,2.084,2.16,2.05,0.11000000000000032,-0.010000000000000231,84807,129807,47785,82022,-65088
2016-01-24,2.066,2.09,2.04,0.04999999999999982,-0.04999999999999982,2.126,2.16,2.09,0.07000000000000028,0.06000000000000005,2.0276,2.05,1.99,0.05999999999999983,-0.020000000000000018,2.08,2.16,2.04,0.1200000000000001,0.10000000000000009,50274,77530,33385,44145,7836
2016-01-31,2.226,2.28,2.15,0.1299999999999999,0.1299999999999999,2.3188,2.388,2.26,0.1280000000000001,0.05600000000000005,2.181,2.22,2.135,0.08500000000000041,0.08500000000000041,2.2624,2.31,2.2,0.10999999999999988,0.04999999999999982,95041,124156,60922,63234,-63234
2016-02-07,2.26,2.28,2.23,0.04999999999999982,0.04999999999999982,2.32,2.38,2.3,0.08000000000000007,0.0,2.2375,2.25,2.23,0.020000000000000018,0.0,2.2625,2.28,2.23,0.04999999999999982,-0.040000000000000036,91118,138450,62091,76359,28949
2016-02-14,2.248,2.28,2.2,0.07999999999999963,0.040000000000000036,2.318,2.34,2.3,0.040000000000000036,-0.020000000000000018,2.24,2.26,2.2,0.05999999999999961,0.040000000000000036,2.267,2.285,2.25,0.03500000000000014,0.025000000000000355,66215,78272,40975,37297,4854
2016-02-21,2.44,2.74,2.24,0.5,0.4500000000000002,2.6,2.85,2.32,0.5300000000000002,0.5300000000000002,2.4084,2.7,2.23,0.4700000000000002,0.4580000000000002,2.512,2.8,2.27,0.5299999999999998,0.5299999999999998,281807,565147,29235,535912,358353
2016-02-28,2.778,2.85,2.63,0.2200000000000002,-0.2200000000000002,2.816,2.88,2.7,0.17999999999999972,-0.17999999999999972,2.678,2.75,2.57,0.18000000000000016,-0.18000000000000016,2.738,2.8,2.64,0.1599999999999997,-0.1599999999999997,146933,218614,81241,137373,-52265
2016-03-06,2.574,2.66,2.5,0.16000000000000014,-0.10000000000000009,2.666,2.7,2.59,0.11000000000000032,-0.029999999999999805,2.5084,2.522,2.5,0.021999999999999797,0.009999999999999787,2.564,2.66,2.5,0.16000000000000014,0.06999999999999984,112676,219715,66965,152750,122618
