Date,VanEck Vectors ChinaAMC A-Share_Open_average,VanEck Vectors ChinaAMC A-Share_Open_max,VanEck Vectors ChinaAMC A-Share_Open_min,VanEck Vectors ChinaAMC A-Share_Open_volatility,VanEck Vectors ChinaAMC A-Share_Open_change,VanEck Vectors ChinaAMC A-Share_High_average,VanEck Vectors ChinaAMC A-Share_High_max,VanEck Vectors ChinaAMC A-Share_High_min,VanEck Vectors ChinaAMC A-Share_High_volatility,VanEck Vectors ChinaAMC A-Share_High_change,VanEck Vectors ChinaAMC A-Share_Low_average,VanEck Vectors ChinaAMC A-Share_Low_max,VanEck Vectors ChinaAMC A-Share_Low_min,VanEck Vectors ChinaAMC A-Share_Low_volatility,VanEck Vectors ChinaAMC A-Share_Low_change,VanEck Vectors ChinaAMC A-Share_Close_average,VanEck Vectors ChinaAMC A-Share_Close_max,VanEck Vectors ChinaAMC A-Share_Close_min,VanEck Vectors ChinaAMC A-Share_Close_volatility,VanEck Vectors ChinaAMC A-Share_Close_change
2018-01-14,52.82,52.82,52.82,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-01-21,52.58,52.58,52.58,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-01-28,52.58,52.58,52.58,0.0,0.0,52.73,52.73,52.73,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-02-04,47.4,47.4,47.4,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-02-11,50.09,50.09,50.09,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-02-18,50.96,50.96,50.96,0.0,0.0,51.18,51.18,51.18,0.0,0.0,50.69,50.69,50.69,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-02-25,49.0,49.0,49.0,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-03-04,50.81,50.81,50.81,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-03-11,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-03-18,47.91,47.91,47.91,0.0,0.0,48.23,48.23,48.23,0.0,0.0,47.63,47.63,47.63,0.0,0.0,48.23,48.23,48.23,0.0,0.0
