Date,LYTS_Open_average,LYTS_Open_max,LYTS_Open_min,LYTS_Open_volatility,LYTS_Open_change,LYTS_High_average,LYTS_High_max,LYTS_High_min,LYTS_High_volatility,LYTS_High_change,LYTS_Low_average,LYTS_Low_max,LYTS_Low_min,LYTS_Low_volatility,LYTS_Low_change,LYTS_Close_average,LYTS_Close_max,LYTS_Close_min,LYTS_Close_volatility,LYTS_Close_change,LYTS_Volume_average,LYTS_Volume_max,LYTS_Volume_min,LYTS_Volume_volatility,LYTS_Volume_change
2018-01-14,6.962,7.05,6.85,0.20000000000000018,0.04999999999999982,7.092,7.2,6.94,0.2599999999999998,-0.15000000000000036,6.802,6.85,6.7,0.14999999999999947,0.0,6.94,7.06,6.85,0.20999999999999996,-0.07000000000000028,70146,90470,49325,41145,-41145
2018-01-21,7.448,8.3,6.86,1.4400000000000004,1.1399999999999997,7.796,8.5,6.96,1.54,1.5300000000000002,7.304,7.99,6.71,1.2800000000000002,1.2400000000000002,7.666,8.32,6.79,1.5300000000000002,1.37,134770,322127,38059,284068,55145
2018-01-28,8.04,8.28,7.81,0.46999999999999975,-0.379999999999999,8.206,8.45,7.97,0.47999999999999954,-0.33000000000000007,7.818,8.11,7.59,0.5199999999999996,-0.5199999999999996,7.926,8.23,7.61,0.6200000000000001,-0.6200000000000001,117168,147572,97929,49643,4273
2018-02-04,8.228,8.78,7.5,1.2799999999999994,1.0600000000000005,8.586,8.88,7.84,1.040000000000001,0.9299999999999997,8.004,8.5,7.32,1.1799999999999997,1.0099999999999998,8.392,8.69,7.72,0.9699999999999998,0.8199999999999994,286611,745500,108528,636972,54261
2018-02-11,8.4725,8.62,8.37,0.25,-0.09000000000000163,8.64,8.7,8.58,0.11999999999999922,-0.11999999999999922,8.344999999999999,8.42,8.28,0.14000000000000057,0.07000000000000028,8.4925,8.57,8.4,0.16999999999999993,-0.0799999999999983,87696,117176,56277,60899,-60899
2018-02-18,8.298,8.41,8.21,0.1999999999999993,-0.08000000000000007,8.416,8.49,8.34,0.15000000000000036,-0.07000000000000028,8.161999999999999,8.2,8.08,0.11999999999999922,-0.03999999999999915,8.256,8.32,8.2,0.120000000000001,0.05999999999999872,56803,70554,44516,26038,7621
2018-02-25,7.936,8.3,7.71,0.5900000000000007,-0.5900000000000007,8.054,8.35,7.86,0.4899999999999993,-0.4399999999999995,7.706,8.05,7.42,0.6300000000000008,-0.5100000000000007,7.846,8.08,7.74,0.33999999999999986,-0.33999999999999986,96176,187323,53478,133845,26595
2018-03-04,7.930000000000001,8.22,7.65,0.5700000000000003,0.46000000000000085,8.104,8.34,7.78,0.5599999999999996,0.5599999999999996,7.784,8.07,7.63,0.4400000000000004,0.4400000000000004,8.004,8.22,7.73,0.4900000000000002,0.3699999999999992,53127,75550,29207,46343,-25682
2018-03-11,7.964,8.15,7.77,0.3800000000000008,-0.28000000000000025,8.042,8.34,7.89,0.4500000000000002,-0.4399999999999995,7.78,8.07,7.59,0.4800000000000004,-0.4800000000000004,7.898,8.1,7.8,0.2999999999999998,-0.2699999999999996,62558,118444,28933,89511,49345
2018-03-18,7.896,7.98,7.83,0.15000000000000036,0.10000000000000053,7.998,8.04,7.94,0.09999999999999876,-0.05999999999999961,7.748,7.84,7.6,0.2400000000000002,0.08000000000000007,7.86,7.92,7.79,0.1299999999999999,-0.1299999999999999,80418,95949,57370,38579,30530
