Date,Vanguard Total International BondEtf_Open_average,Vanguard Total International BondEtf_Open_max,Vanguard Total International BondEtf_Open_min,Vanguard Total International BondEtf_Open_volatility,Vanguard Total International BondEtf_Open_change,Vanguard Total International BondEtf_High_average,Vanguard Total International BondEtf_High_max,Vanguard Total International BondEtf_High_min,Vanguard Total International BondEtf_High_volatility,Vanguard Total International BondEtf_High_change,Vanguard Total International BondEtf_Low_average,Vanguard Total International BondEtf_Low_max,Vanguard Total International BondEtf_Low_min,Vanguard Total International BondEtf_Low_volatility,Vanguard Total International BondEtf_Low_change,Vanguard Total International BondEtf_Close_average,Vanguard Total International BondEtf_Close_max,Vanguard Total International BondEtf_Close_min,Vanguard Total International BondEtf_Close_volatility,Vanguard Total International BondEtf_Close_change
2018-01-14,54.22,54.22,54.22,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-01-21,54.22,54.22,54.22,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-01-28,53.91,53.91,53.91,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2018-02-04,53.96,53.96,53.96,0.0,0.0,54.03,54.03,54.03,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.99,53.99,53.99,0.0,0.0
2018-02-11,53.98,53.98,53.98,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-02-18,54.09,54.09,54.09,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-02-25,54.22,54.22,54.22,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.11,54.11,54.11,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-03-04,54.19,54.19,54.19,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-03-11,54.4,54.4,54.4,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-03-18,54.49,54.49,54.49,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2018-03-25,54.67,54.67,54.67,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2018-04-01,54.62,54.62,54.62,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2018-04-08,54.57,54.57,54.57,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-04-15,54.5,54.5,54.5,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-04-22,54.57,54.57,54.57,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-04-29,54.62,54.62,54.62,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-05-06,54.55,54.55,54.55,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-05-13,54.26,54.26,54.26,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2018-05-20,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2018-05-27,54.41,54.41,54.41,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-06-03,54.17,54.17,54.17,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.09,54.09,54.09,0.0,0.0,54.11,54.11,54.11,0.0,0.0
2018-06-10,54.47,54.47,54.47,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-06-17,54.74,54.74,54.74,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-06-24,54.69,54.69,54.69,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-07-01,54.83,54.83,54.83,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-07-08,54.92,54.92,54.92,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2018-07-15,54.94,54.94,54.94,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2018-07-22,54.76,54.76,54.76,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-07-29,54.53,54.53,54.53,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-08-05,54.74,54.74,54.74,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2018-08-12,54.75,54.75,54.75,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2018-08-19,54.76,54.76,54.76,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-08-26,54.72,54.72,54.72,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2018-09-02,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-09-09,54.63,54.63,54.63,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-09-16,54.58,54.58,54.58,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-09-23,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-09-30,54.18,54.18,54.18,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-10-07,54.25,54.25,54.25,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-10-14,54.36,54.36,54.36,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2018-10-21,54.68,54.68,54.68,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-10-28,54.5,54.5,54.5,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2018-11-04,54.46,54.46,54.46,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-11-11,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-11-18,54.69,54.69,54.69,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.65,54.65,54.65,0.0,0.0
