Date,Hartford Multifactor Low Volatility US Equity_Open_average,Hartford Multifactor Low Volatility US Equity_Open_max,Hartford Multifactor Low Volatility US Equity_Open_min,Hartford Multifactor Low Volatility US Equity_Open_volatility,Hartford Multifactor Low Volatility US Equity_Open_change,Hartford Multifactor Low Volatility US Equity_High_average,Hartford Multifactor Low Volatility US Equity_High_max,Hartford Multifactor Low Volatility US Equity_High_min,Hartford Multifactor Low Volatility US Equity_High_volatility,Hartford Multifactor Low Volatility US Equity_High_change,Hartford Multifactor Low Volatility US Equity_Low_average,Hartford Multifactor Low Volatility US Equity_Low_max,Hartford Multifactor Low Volatility US Equity_Low_min,Hartford Multifactor Low Volatility US Equity_Low_volatility,Hartford Multifactor Low Volatility US Equity_Low_change,Hartford Multifactor Low Volatility US Equity_Close_average,Hartford Multifactor Low Volatility US Equity_Close_max,Hartford Multifactor Low Volatility US Equity_Close_min,Hartford Multifactor Low Volatility US Equity_Close_volatility,Hartford Multifactor Low Volatility US Equity_Close_change
2018-01-14,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-01-21,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-01-28,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-02-04,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-02-11,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-02-18,26.63,26.63,26.63,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2018-02-25,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-03-04,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-03-11,27.19,27.19,27.19,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-03-18,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
