Date,Vanguard Large-Cap_Open_average,Vanguard Large-Cap_Open_max,Vanguard Large-Cap_Open_min,Vanguard Large-Cap_Open_volatility,Vanguard Large-Cap_Open_change,Vanguard Large-Cap_High_average,Vanguard Large-Cap_High_max,Vanguard Large-Cap_High_min,Vanguard Large-Cap_High_volatility,Vanguard Large-Cap_High_change,Vanguard Large-Cap_Low_average,Vanguard Large-Cap_Low_max,Vanguard Large-Cap_Low_min,Vanguard Large-Cap_Low_volatility,Vanguard Large-Cap_Low_change,Vanguard Large-Cap_Close_average,Vanguard Large-Cap_Close_max,Vanguard Large-Cap_Close_min,Vanguard Large-Cap_Close_volatility,Vanguard Large-Cap_Close_change
2018-01-14,128.76,128.76,128.76,0.0,0.0,129.93,129.93,129.93,0.0,0.0,128.76,128.76,128.76,0.0,0.0,129.93,129.93,129.93,0.0,0.0
2018-01-21,131.45,131.45,131.45,0.0,0.0,131.63,131.63,131.63,0.0,0.0,130.76,130.76,130.76,0.0,0.0,130.85,130.85,130.85,0.0,0.0
2018-01-28,125.6,125.6,125.6,0.0,0.0,126.85,126.85,126.85,0.0,0.0,121.08,121.08,121.08,0.0,0.0,121.5,121.5,121.5,0.0,0.0
2018-02-04,121.28,121.28,121.28,0.0,0.0,122.75,122.75,122.75,0.0,0.0,120.44,120.44,120.44,0.0,0.0,121.98,121.98,121.98,0.0,0.0
2018-02-11,125.21,125.21,125.21,0.0,0.0,126.59,126.59,126.59,0.0,0.0,125.19,125.19,125.19,0.0,0.0,125.6,125.6,125.6,0.0,0.0
2018-02-18,126.86,126.86,126.86,0.0,0.0,127.77,127.77,127.77,0.0,0.0,126.55,126.55,126.55,0.0,0.0,127.73,127.73,127.73,0.0,0.0
2018-02-25,123.14,123.14,123.14,0.0,0.0,125.51,125.51,125.51,0.0,0.0,123.1,123.1,123.1,0.0,0.0,125.22,125.22,125.22,0.0,0.0
2018-03-04,128.44,128.44,128.44,0.0,0.0,128.75,128.75,128.75,0.0,0.0,127.98,127.98,127.98,0.0,0.0,128.12,128.12,128.12,0.0,0.0
2018-03-11,126.24,126.24,126.24,0.0,0.0,126.26,126.26,126.26,0.0,0.0,124.14,124.14,124.14,0.0,0.0,124.99,124.99,124.99,0.0,0.0
2018-03-18,120.54,120.54,120.54,0.0,0.0,122.11,122.11,122.11,0.0,0.0,119.43,119.43,119.43,0.0,0.0,122.01,122.01,122.01,0.0,0.0
