Date,ProShares Ultra TelecommunicationsEtf_Open_average,ProShares Ultra TelecommunicationsEtf_Open_max,ProShares Ultra TelecommunicationsEtf_Open_min,ProShares Ultra TelecommunicationsEtf_Open_volatility,ProShares Ultra TelecommunicationsEtf_Open_change,ProShares Ultra TelecommunicationsEtf_High_average,ProShares Ultra TelecommunicationsEtf_High_max,ProShares Ultra TelecommunicationsEtf_High_min,ProShares Ultra TelecommunicationsEtf_High_volatility,ProShares Ultra TelecommunicationsEtf_High_change,ProShares Ultra TelecommunicationsEtf_Low_average,ProShares Ultra TelecommunicationsEtf_Low_max,ProShares Ultra TelecommunicationsEtf_Low_min,ProShares Ultra TelecommunicationsEtf_Low_volatility,ProShares Ultra TelecommunicationsEtf_Low_change,ProShares Ultra TelecommunicationsEtf_Close_average,ProShares Ultra TelecommunicationsEtf_Close_max,ProShares Ultra TelecommunicationsEtf_Close_min,ProShares Ultra TelecommunicationsEtf_Close_volatility,ProShares Ultra TelecommunicationsEtf_Close_change
2018-06-10,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2018-06-17,37.4,37.4,37.4,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-06-24,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-07-01,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2018-07-08,39.99,39.99,39.99,0.0,0.0,40.04,40.04,40.04,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-07-15,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2018-07-22,37.84,37.84,37.84,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-07-29,37.0,37.0,37.0,0.0,0.0,38.7,38.7,38.7,0.0,0.0,37.0,37.0,37.0,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2018-08-05,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2018-08-12,41.85,41.85,41.85,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.77,41.77,41.77,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-08-19,42.89,42.89,42.89,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.89,42.89,42.89,0.0,0.0
2018-08-26,42.83,42.83,42.83,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-09-02,42.01,42.01,42.01,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-09-09,43.5,43.5,43.5,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-09-16,43.57,43.57,43.57,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-09-23,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-09-30,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-10-07,37.38,37.38,37.38,0.0,0.0,38.39,38.39,38.39,0.0,0.0,37.38,37.38,37.38,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2018-10-14,39.7,39.7,39.7,0.0,0.0,40.22,40.22,40.22,0.0,0.0,39.17,39.17,39.17,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-10-21,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-10-28,39.29,39.29,39.29,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2018-11-04,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-11-11,38.21,38.21,38.21,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-11-18,34.93,34.93,34.93,0.0,0.0,36.1,36.1,36.1,0.0,0.0,34.92,34.92,34.92,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-11-25,41.39,41.39,41.39,0.0,0.0,41.39,41.39,41.39,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-12-02,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-12-09,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2018-12-16,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-12-23,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-12-30,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2019-01-06,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2019-01-13,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2019-01-20,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2019-01-27,36.55,36.55,36.55,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2019-02-03,36.0,36.0,36.0,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2019-02-10,39.1,39.1,39.1,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2019-02-17,40.96,40.96,40.96,0.0,0.0,41.57,41.57,41.57,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2019-02-24,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2019-03-03,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2019-03-10,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0
2019-03-17,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2019-03-24,41.38,41.38,41.38,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.57,40.57,40.57,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2019-03-31,43.29,43.29,43.29,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2019-04-07,44.67,44.67,44.67,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.78,44.78,44.78,0.0,0.0
2019-04-14,44.03,44.03,44.03,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2019-04-21,43.31,43.31,43.31,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2019-04-28,42.31,42.31,42.31,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2019-05-05,39.31,39.31,39.31,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.2,39.2,39.2,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2019-05-12,40.62,40.62,40.62,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2019-05-19,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2019-05-26,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2019-06-02,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2019-06-09,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2019-06-16,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2019-06-23,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2019-06-30,42.9,42.9,42.9,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2019-07-07,43.76,43.76,43.76,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2019-07-14,42.76,42.76,42.76,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2019-07-21,43.15,43.15,43.15,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2019-07-28,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2019-08-04,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2019-08-11,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2019-08-18,35.56,35.56,35.56,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2019-08-25,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2019-09-01,38.94,38.94,38.94,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2019-09-08,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2019-09-15,40.1,40.1,40.1,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2019-09-22,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2019-09-29,38.12,38.12,38.12,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2019-10-06,39.51,39.51,39.51,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2019-10-13,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2019-10-20,39.89,39.89,39.89,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2019-10-27,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2019-11-03,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2019-11-10,40.86,40.86,40.86,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.86,40.86,40.86,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2019-11-17,40.49,40.49,40.49,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2019-11-24,40.95,40.95,40.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2019-12-01,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2019-12-08,40.34,40.34,40.34,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.34,40.34,40.34,0.0,0.0
2019-12-15,41.91,41.91,41.91,0.0,0.0,42.02,42.02,42.02,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2019-12-22,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2019-12-29,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0
