Date,CVX_stock_Open_average,CVX_stock_Open_max,CVX_stock_Open_min,CVX_stock_Open_volatility,CVX_stock_Open_change,CVX_stock_High_average,CVX_stock_High_max,CVX_stock_High_min,CVX_stock_High_volatility,CVX_stock_High_change,CVX_stock_Low_average,CVX_stock_Low_max,CVX_stock_Low_min,CVX_stock_Low_volatility,CVX_stock_Low_change,CVX_stock_Close_average,CVX_stock_Close_max,CVX_stock_Close_min,CVX_stock_Close_volatility,CVX_stock_Close_change,CVX_stock_Volume_average,CVX_stock_Volume_max,CVX_stock_Volume_min,CVX_stock_Volume_volatility,CVX_stock_Volume_change
2018-01-14,132.51,133.67,131.83,1.839999999999975,-1.839999999999975,132.79500000000002,133.88,132.0,1.8799999999999955,-1.8799999999999955,130.95,131.6,130.21,1.3899999999999864,-1.3899999999999864,131.815,132.36,131.3,1.0600000000000023,-0.7099999999999795,5956466,6254209,5632748,621461,-205305
2018-01-21,131.506,132.38,130.71,1.6699999999999875,-0.5900000000000034,132.282,132.67,131.75,0.9199999999999875,-0.8100000000000023,130.758,131.28,130.34,0.9399999999999977,-0.9099999999999966,131.362,132.56,130.65,1.9099999999999966,-1.3700000000000045,5754413,6868223,4597183,2271040,1061758
2018-01-28,126.528,130.06,123.95,6.109999999999999,-6.109999999999999,126.996,131.58,123.95,7.63000000000001,-7.63000000000001,123.852,128.32,117.64,10.679999999999993,-10.679999999999993,124.642,128.48,118.58,9.899999999999991,-9.899999999999991,9017706,13182551,6350723,6831828,6831828
2018-02-04,114.82000000000001,117.4,111.2,6.200000000000003,-3.6499999999999915,117.142,119.27,114.62,4.6499999999999915,-3.6799999999999926,111.144,115.23,108.02,7.210000000000008,1.480000000000004,114.178,117.18,112.3,4.88000000000001,0.8799999999999955,13243324,18416320,9927483,8488837,-4492330
2018-02-11,113.17,114.8,112.35,2.450000000000003,-2.450000000000003,113.89399999999999,115.85,112.94,2.9099999999999966,-2.9099999999999966,111.644,112.91,110.84,2.069999999999993,-1.7000000000000028,113.114,113.98,112.14,1.8400000000000034,-1.8400000000000034,6762277,8358207,5404995,2953212,-2407842
2018-02-18,110.8575,112.28,109.55,2.730000000000004,-1.8200000000000074,112.25,112.76,111.44,1.3200000000000074,-0.020000000000010232,109.6975,110.58,108.9,1.6799999999999926,-0.3299999999999983,110.63,112.59,109.06,3.530000000000001,1.6099999999999994,7085027,8176706,6460219,1716487,-350710
2018-02-25,113.22,115.02,111.5,3.519999999999996,-1.6800000000000068,114.45,116.05,112.18,3.8699999999999903,-2.4799999999999898,111.828,113.61,109.83,3.780000000000001,-3.019999999999996,112.762,114.6,111.64,2.9599999999999937,-2.9599999999999937,7006108,7516691,6059659,1457032,-798497
2018-03-04,113.422,114.6,111.4,3.1999999999999886,2.9099999999999966,115.214,117.39,113.33,4.060000000000002,4.060000000000002,112.702,114.24,111.02,3.219999999999999,3.219999999999999,114.242,117.22,113.15,4.069999999999993,4.069999999999993,7472252,8833337,6095136,2738201,1018441
2018-03-11,116.494,117.5,115.36,2.1400000000000006,-2.0999999999999943,117.276,118.35,116.19,2.1599999999999966,-2.1599999999999966,115.346,116.56,114.56,2.0,-2.0,115.872,116.79,115.13,1.6600000000000108,-1.3900000000000006,7630040,14909362,4519694,10389668,8032330
2018-03-18,114.904,115.55,114.37,1.1799999999999926,-0.6999999999999886,116.11,118.11,115.23,2.8799999999999955,0.539999999999992,113.728,114.8,112.7,2.0999999999999943,-0.519999999999996,114.422,117.04,112.98,4.060000000000002,-0.9099999999999966,5748953,6829563,4587249,2242314,1423686
2018-03-25,114.30250000000001,115.75,112.29,3.4599999999999937,-1.9499999999999886,115.5325,116.86,114.43,2.4299999999999926,-1.1499999999999915,112.8925,113.98,112.06,1.9200000000000017,-0.9699999999999989,114.0375,115.35,112.1,3.25,-1.309999999999988,6503148,6985327,5530759,1454568,-240821
2018-04-01,114.14399999999999,116.38,112.52,3.8599999999999994,2.489999999999995,115.812,117.89,114.39,3.5,2.6200000000000045,112.63000000000001,114.7,110.54,4.159999999999997,2.8499999999999943,114.72,117.29,112.24,5.050000000000011,2.5200000000000102,6594485,7204872,5727192,1477680,865879
2018-04-08,118.164,119.71,115.3,4.409999999999997,4.219999999999999,119.568,120.79,117.17,3.6200000000000045,3.6200000000000045,117.62,119.22,114.88,4.340000000000003,4.340000000000003,118.646,119.92,115.98,3.9399999999999977,3.9399999999999977,6607955,7649033,5508090,2140943,-1425739
2018-04-15,122.27,123.97,120.6,3.3700000000000045,2.780000000000001,123.41199999999999,125.0,121.71,3.2900000000000063,1.75,121.48,123.21,119.77,3.4399999999999977,1.6899999999999977,122.39999999999999,123.82,120.7,3.1199999999999903,1.6099999999999994,6987891,9132537,4597989,4534548,2963232
2018-04-22,123.374,125.5,122.0,3.5,3.5,124.58,127.05,122.9,4.1499999999999915,3.4399999999999977,122.33,124.68,121.12,3.5600000000000023,2.8800000000000097,123.936,126.62,122.54,4.079999999999998,3.0400000000000063,6905954,8836646,5331148,3505498,2723558
2018-04-29,125.01,127.02,124.03,2.989999999999995,-1.8100000000000023,126.45,127.9,124.92,2.980000000000004,-1.0600000000000023,124.152,125.05,123.08,1.9699999999999989,-0.3400000000000034,125.4,126.01,124.86,1.1500000000000057,0.4200000000000017,6553056,7631601,5403118,2228483,-2228483
2018-05-06,127.804,129.69,124.93,4.759999999999991,2.799999999999983,129.228,130.76,126.75,4.009999999999991,2.359999999999985,126.614,128.52,123.63,4.890000000000015,4.0800000000000125,127.77799999999999,129.84,124.94,4.900000000000006,4.900000000000006,8183535,11442697,5446016,5996681,1092527
2018-05-13,129.492,130.25,128.76,1.490000000000009,-1.3300000000000125,129.958,131.08,129.15,1.9300000000000068,-1.9300000000000068,128.70600000000002,129.8,127.8,2.000000000000014,-2.000000000000014,129.402,130.39,127.86,2.529999999999987,-2.529999999999987,5689323,6385824,5201739,1184085,173469
2018-05-20,127.382,129.09,124.54,4.549999999999997,-4.249999999999986,128.15,130.39,124.76,5.629999999999981,-4.6499999999999915,125.998,128.27,121.22,7.050000000000011,-7.050000000000011,127.02,129.37,122.19,7.180000000000007,-7.180000000000007,6277087,8936649,5081227,3855422,3855422
2018-05-27,123.33,125.49,121.1,4.390000000000001,4.390000000000001,124.6175,125.67,122.43,3.239999999999995,3.1199999999999903,122.3225,123.46,120.06,3.3999999999999915,3.3700000000000045,123.675,125.16,121.39,3.769999999999996,2.4599999999999937,6930391,7460684,5749869,1710815,-1635819
2018-06-03,124.26400000000001,127.12,122.01,5.109999999999999,2.5900000000000034,125.634,127.98,123.69,4.290000000000006,1.9699999999999989,123.174,125.68,121.55,4.13000000000001,3.510000000000005,124.354,126.96,122.26,4.699999999999989,4.179999999999993,6272495,8607219,5108822,3498397,-651656
2018-06-10,127.14,127.64,126.77,0.8700000000000045,0.3299999999999983,127.89399999999999,128.38,127.12,1.259999999999991,-1.0699999999999932,125.7,126.38,123.84,2.539999999999992,-2.019999999999996,126.452,127.56,124.04,3.519999999999996,-3.519999999999996,7045321,13223810,4542987,8680823,7138705
