Date,CERPQStock_Open_average,CERPQStock_Open_max,CERPQStock_Open_min,CERPQStock_Open_volatility,CERPQStock_Open_change,CERPQStock_High_average,CERPQStock_High_max,CERPQStock_High_min,CERPQStock_High_volatility,CERPQStock_High_change,CERPQStock_Low_average,CERPQStock_Low_max,CERPQStock_Low_min,CERPQStock_Low_volatility,CERPQStock_Low_change,CERPQStock_Close_average,CERPQStock_Close_max,CERPQStock_Close_min,CERPQStock_Close_volatility,CERPQStock_Close_change,CERPQStock_Volume_average,CERPQStock_Volume_max,CERPQStock_Volume_min,CERPQStock_Volume_volatility,CERPQStock_Volume_change
2018-01-14,0.0026666666666666666,0.003,0.002,0.001,-0.001,0.003,0.004,0.002,0.002,-0.001,0.0026666666666666666,0.003,0.002,0.001,-0.001,0.003,0.004,0.002,0.002,-0.001,3942,9190,561,8629,-1516
2018-01-21,0.004,0.005,0.002,0.003,0.003,0.004,0.005,0.002,0.003,0.003,0.004,0.005,0.002,0.003,0.003,0.004,0.005,0.002,0.003,0.003,17995,60062,220,59842,59842
2018-01-28,0.0033333333333333335,0.004,0.003,0.001,-0.001,0.004,0.005,0.003,0.002,0.001,0.0033333333333333335,0.004,0.003,0.001,-0.001,0.004,0.005,0.003,0.002,0.001,20958,40005,1229,38776,-38776
2018-02-04,0.004,0.005,0.003,0.002,-0.002,0.004,0.005,0.003,0.002,-0.002,0.0033333333333333335,0.004,0.002,0.002,-0.002,0.0033333333333333335,0.004,0.002,0.002,-0.002,54934,158210,1192,157018,152810
2018-02-11,0.00275,0.004,0.002,0.002,-0.001,0.00275,0.004,0.002,0.002,-0.001,0.00275,0.004,0.002,0.002,-0.001,0.00275,0.004,0.002,0.002,-0.001,1179,1541,767,774,-774
2018-02-18,0.002,0.002,0.002,0.0,0.0,0.003,0.003,0.003,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.003,0.003,0.003,0.0,0.0,4270,4270,4270,0,0
2018-02-25,0.0023333333333333335,0.003,0.002,0.001,0.001,0.0023333333333333335,0.003,0.002,0.001,0.001,0.0023333333333333335,0.003,0.002,0.001,0.001,0.0023333333333333335,0.003,0.002,0.001,0.001,13628,39210,806,38404,38342
2018-03-04,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,922,1501,216,1285,-834
2018-03-11,0.003,0.003,0.003,0.0,0.0,0.0036666666666666666,0.005,0.003,0.002,-0.002,0.003,0.003,0.003,0.0,0.0,0.0036666666666666666,0.005,0.003,0.002,-0.002,37897,107887,225,107662,-107662
2018-03-18,0.0032500000000000003,0.004,0.003,0.001,0.0,0.0032500000000000003,0.004,0.003,0.001,0.0,0.0032500000000000003,0.004,0.003,0.001,0.0,0.0032500000000000003,0.004,0.003,0.001,0.0,7887,17239,300,16939,13230
2018-03-25,0.0026666666666666666,0.003,0.002,0.001,0.0,0.003,0.003,0.003,0.0,0.0,0.0023333333333333335,0.003,0.002,0.001,0.001,0.0026666666666666666,0.003,0.002,0.001,0.001,112699,324893,3004,321889,-321889
2018-04-01,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,37344,69213,5476,63737,63737
