Date,Franklin FTSE Australia_Open_average,Franklin FTSE Australia_Open_max,Franklin FTSE Australia_Open_min,Franklin FTSE Australia_Open_volatility,Franklin FTSE Australia_Open_change,Franklin FTSE Australia_High_average,Franklin FTSE Australia_High_max,Franklin FTSE Australia_High_min,Franklin FTSE Australia_High_volatility,Franklin FTSE Australia_High_change,Franklin FTSE Australia_Low_average,Franklin FTSE Australia_Low_max,Franklin FTSE Australia_Low_min,Franklin FTSE Australia_Low_volatility,Franklin FTSE Australia_Low_change,Franklin FTSE Australia_Close_average,Franklin FTSE Australia_Close_max,Franklin FTSE Australia_Close_min,Franklin FTSE Australia_Close_volatility,Franklin FTSE Australia_Close_change
2018-01-14,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-01-21,27.05,27.05,27.05,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-01-28,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-02-04,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-02-11,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-02-18,25.64,25.64,25.64,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-02-25,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-03-04,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-03-11,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-03-18,24.93,24.93,24.93,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2018-03-25,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-04-01,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-04-08,25.41,25.41,25.41,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-04-15,25.09,25.09,25.09,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-04-22,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-04-29,25.59,25.59,25.59,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-05-06,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-05-13,25.93,25.93,25.93,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.93,25.93,25.93,0.0,0.0
