Date,VelocityShares Daily 4X Long EUR vs. USD_Open_average,VelocityShares Daily 4X Long EUR vs. USD_Open_max,VelocityShares Daily 4X Long EUR vs. USD_Open_min,VelocityShares Daily 4X Long EUR vs. USD_Open_volatility,VelocityShares Daily 4X Long EUR vs. USD_Open_change,VelocityShares Daily 4X Long EUR vs. USD_High_average,VelocityShares Daily 4X Long EUR vs. USD_High_max,VelocityShares Daily 4X Long EUR vs. USD_High_min,VelocityShares Daily 4X Long EUR vs. USD_High_volatility,VelocityShares Daily 4X Long EUR vs. USD_High_change,VelocityShares Daily 4X Long EUR vs. USD_Low_average,VelocityShares Daily 4X Long EUR vs. USD_Low_max,VelocityShares Daily 4X Long EUR vs. USD_Low_min,VelocityShares Daily 4X Long EUR vs. USD_Low_volatility,VelocityShares Daily 4X Long EUR vs. USD_Low_change,VelocityShares Daily 4X Long EUR vs. USD_Close_average,VelocityShares Daily 4X Long EUR vs. USD_Close_max,VelocityShares Daily 4X Long EUR vs. USD_Close_min,VelocityShares Daily 4X Long EUR vs. USD_Close_volatility,VelocityShares Daily 4X Long EUR vs. USD_Close_change
2018-01-14,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-01-21,29.95,29.95,29.95,0.0,0.0,30.34,30.34,30.34,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-01-28,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-02-04,29.22,29.22,29.22,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-02-11,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-02-18,29.11,29.11,29.11,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-02-25,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-03-04,29.23,29.23,29.23,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-03-11,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2018-03-18,28.92,28.92,28.92,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-03-25,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-04-01,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-04-08,28.9,28.9,28.9,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-04-15,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-04-22,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-04-29,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-05-06,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-05-13,23.85,23.85,23.85,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2018-05-20,23.07,23.07,23.07,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2018-05-27,23.25,23.25,23.25,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2018-06-03,23.91,23.91,23.91,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-06-10,22.92,22.92,22.92,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2018-06-17,22.97,22.97,22.97,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.97,22.97,22.97,0.0,0.0,23.03,23.03,23.03,0.0,0.0
