Date,PowerShares S&P 500 Downside Hedged PortfolioEtf_Open_average,PowerShares S&P 500 Downside Hedged PortfolioEtf_Open_max,PowerShares S&P 500 Downside Hedged PortfolioEtf_Open_min,PowerShares S&P 500 Downside Hedged PortfolioEtf_Open_volatility,PowerShares S&P 500 Downside Hedged PortfolioEtf_Open_change,PowerShares S&P 500 Downside Hedged PortfolioEtf_High_average,PowerShares S&P 500 Downside Hedged PortfolioEtf_High_max,PowerShares S&P 500 Downside Hedged PortfolioEtf_High_min,PowerShares S&P 500 Downside Hedged PortfolioEtf_High_volatility,PowerShares S&P 500 Downside Hedged PortfolioEtf_High_change,PowerShares S&P 500 Downside Hedged PortfolioEtf_Low_average,PowerShares S&P 500 Downside Hedged PortfolioEtf_Low_max,PowerShares S&P 500 Downside Hedged PortfolioEtf_Low_min,PowerShares S&P 500 Downside Hedged PortfolioEtf_Low_volatility,PowerShares S&P 500 Downside Hedged PortfolioEtf_Low_change,PowerShares S&P 500 Downside Hedged PortfolioEtf_Close_average,PowerShares S&P 500 Downside Hedged PortfolioEtf_Close_max,PowerShares S&P 500 Downside Hedged PortfolioEtf_Close_min,PowerShares S&P 500 Downside Hedged PortfolioEtf_Close_volatility,PowerShares S&P 500 Downside Hedged PortfolioEtf_Close_change
2018-01-14,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-01-21,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-01-28,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-02-04,30.89,30.89,30.89,0.0,0.0,34.48,34.48,34.48,0.0,0.0,27.0,27.0,27.0,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-02-11,29.37,29.37,29.37,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-02-18,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-02-25,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-03-04,29.91,29.91,29.91,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.78,29.78,29.78,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-03-11,29.96,29.96,29.96,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-03-18,28.92,28.92,28.92,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-03-25,28.18,28.18,28.18,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-04-01,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-04-08,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-04-15,27.93,27.93,27.93,0.0,0.0,28.06,28.06,28.06,0.0,0.0,26.87,26.87,26.87,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2018-04-22,27.92,27.92,27.92,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-04-29,27.62,27.62,27.62,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-05-06,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-05-13,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-05-20,28.35,28.35,28.35,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-05-27,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2018-06-03,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-06-10,28.5,28.5,28.5,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-06-17,28.44,28.44,28.44,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.19,28.19,28.19,0.0,0.0
