Date,iShares Select DividendEtf_Open_average,iShares Select DividendEtf_Open_max,iShares Select DividendEtf_Open_min,iShares Select DividendEtf_Open_volatility,iShares Select DividendEtf_Open_change,iShares Select DividendEtf_High_average,iShares Select DividendEtf_High_max,iShares Select DividendEtf_High_min,iShares Select DividendEtf_High_volatility,iShares Select DividendEtf_High_change,iShares Select DividendEtf_Low_average,iShares Select DividendEtf_Low_max,iShares Select DividendEtf_Low_min,iShares Select DividendEtf_Low_volatility,iShares Select DividendEtf_Low_change,iShares Select DividendEtf_Close_average,iShares Select DividendEtf_Close_max,iShares Select DividendEtf_Close_min,iShares Select DividendEtf_Close_volatility,iShares Select DividendEtf_Close_change
2018-01-14,100.12,100.12,100.12,0.0,0.0,100.55,100.55,100.55,0.0,0.0,99.98,99.98,99.98,0.0,0.0,100.55,100.55,100.55,0.0,0.0
2018-01-21,101.4,101.4,101.4,0.0,0.0,102.32,102.32,102.32,0.0,0.0,101.4,101.4,101.4,0.0,0.0,102.32,102.32,102.32,0.0,0.0
2018-01-28,99.62,99.62,99.62,0.0,0.0,99.86,99.86,99.86,0.0,0.0,98.45,98.45,98.45,0.0,0.0,98.5,98.5,98.5,0.0,0.0
2018-02-04,93.58,93.58,93.58,0.0,0.0,94.93,94.93,94.93,0.0,0.0,91.67,91.67,91.67,0.0,0.0,94.25,94.25,94.25,0.0,0.0
2018-02-11,97.51,97.51,97.51,0.0,0.0,98.6,98.6,98.6,0.0,0.0,97.51,97.51,97.51,0.0,0.0,97.99,97.99,97.99,0.0,0.0
2018-02-18,96.86,96.86,96.86,0.0,0.0,98.25,98.25,98.25,0.0,0.0,96.86,96.86,96.86,0.0,0.0,98.23,98.23,98.23,0.0,0.0
2018-02-25,94.89,94.89,94.89,0.0,0.0,96.14,96.14,96.14,0.0,0.0,94.79,94.79,94.79,0.0,0.0,95.98,95.98,95.98,0.0,0.0
2018-03-04,97.19,97.19,97.19,0.0,0.0,97.86,97.86,97.86,0.0,0.0,96.96,96.96,96.96,0.0,0.0,97.83,97.83,97.83,0.0,0.0
2018-03-11,96.83,96.83,96.83,0.0,0.0,97.78,97.78,97.78,0.0,0.0,96.83,96.83,96.83,0.0,0.0,97.53,97.53,97.53,0.0,0.0
2018-03-18,94.06,94.06,94.06,0.0,0.0,94.6,94.6,94.6,0.0,0.0,92.36,92.36,92.36,0.0,0.0,92.49,92.49,92.49,0.0,0.0
