Date,CASY_stock_Open_average,CASY_stock_Open_max,CASY_stock_Open_min,CASY_stock_Open_volatility,CASY_stock_Open_change,CASY_stock_High_average,CASY_stock_High_max,CASY_stock_High_min,CASY_stock_High_volatility,CASY_stock_High_change,CASY_stock_Low_average,CASY_stock_Low_max,CASY_stock_Low_min,CASY_stock_Low_volatility,CASY_stock_Low_change,CASY_stock_Close_average,CASY_stock_Close_max,CASY_stock_Close_min,CASY_stock_Close_volatility,CASY_stock_Close_change,CASY_stock_Volume_average,CASY_stock_Volume_max,CASY_stock_Volume_min,CASY_stock_Volume_volatility,CASY_stock_Volume_change
2018-01-14,123.5875,124.92,122.9,2.019999999999996,-1.9200000000000017,124.195,125.12,123.41,1.710000000000008,-1.710000000000008,122.22749999999999,122.88,121.6,1.2800000000000011,-1.2800000000000011,122.9175,123.55,122.12,1.4299999999999926,-0.9399999999999977,359516,530177,285851,244326,209174
2018-01-21,123.776,125.43,122.2,3.230000000000004,1.960000000000008,125.642,128.51,122.71,5.799999999999997,5.799999999999997,122.518,123.68,121.44,2.240000000000009,0.9500000000000028,124.624,127.73,122.13,5.6000000000000085,5.6000000000000085,420436,834144,231936,602208,405620
2018-01-28,122.764,127.34,119.0,8.340000000000003,-8.340000000000003,123.274,128.14,119.0,9.139999999999986,-9.139999999999986,120.346,124.04,116.87,7.170000000000002,-7.170000000000002,121.104,124.25,117.2,7.049999999999997,-7.049999999999997,351131,447769,258899,188870,-188870
2018-02-04,114.316,116.21,111.8,4.409999999999997,-2.7099999999999937,115.814,117.17,114.11,3.0600000000000023,-3.0600000000000023,111.906,114.56,109.0,5.560000000000002,-3.75,113.468,115.03,111.94,3.0900000000000034,-1.0,440306,653429,339797,313632,-34043
2018-02-11,112.992,115.39,110.83,4.560000000000002,3.049999999999997,114.75,117.85,112.84,5.009999999999991,4.699999999999989,112.106,115.11,110.06,5.049999999999997,4.519999999999996,113.91000000000001,116.79,111.26,5.530000000000001,5.530000000000001,398897,551064,308668,242396,166946
2018-02-18,114.725,115.93,113.37,2.5600000000000023,-2.5600000000000023,115.1275,116.75,113.54,3.2099999999999937,-3.2099999999999937,112.985,114.3,111.52,2.780000000000001,-2.780000000000001,113.475,115.35,112.13,3.219999999999999,-3.219999999999999,361668,399188,270402,128786,21071
2018-02-25,112.864,114.2,111.64,2.5600000000000023,-0.519999999999996,114.008,114.7,112.25,2.450000000000003,-2.450000000000003,111.702,113.47,109.44,4.030000000000001,-2.1700000000000017,112.844,113.81,111.9,1.9099999999999966,-1.9099999999999966,348483,451261,241239,210022,52191
2018-03-04,110.402,111.47,108.68,2.789999999999992,-1.8900000000000006,112.688,114.6,111.7,2.8999999999999915,-0.8499999999999943,108.47,110.27,105.45,4.819999999999993,-2.25,111.03399999999999,112.58,109.08,3.5,-0.75,735978,1258134,452595,805539,78868
2018-03-11,111.556,112.0,110.9,1.0999999999999943,-0.35999999999999943,112.112,112.39,111.83,0.5600000000000023,-0.23000000000000398,110.55799999999999,110.8,110.39,0.4099999999999966,0.12999999999999545,111.322,111.81,110.7,1.1099999999999994,-0.6700000000000017,491078,847491,303816,543675,543675
2018-03-18,110.85,112.37,109.63,2.740000000000009,-1.3400000000000034,112.356,113.55,110.71,2.8400000000000034,-2.8400000000000034,109.506,110.86,107.05,3.8100000000000023,-3.8100000000000023,110.18,112.59,107.27,5.320000000000007,-5.320000000000007,399843,513272,263134,250138,80024
2018-03-25,107.8825,108.09,107.47,0.6200000000000045,-0.09000000000000341,109.415,111.15,108.11,3.0400000000000063,2.0900000000000034,106.9175,107.93,106.52,1.4100000000000108,1.3600000000000136,108.075,109.77,107.18,2.589999999999989,1.8699999999999903,379795,522628,315747,206881,-158427
2018-04-01,108.776,109.83,107.14,2.6899999999999977,-2.6299999999999955,109.948,110.83,109.1,1.730000000000004,-1.2900000000000063,107.342,108.23,106.39,1.8400000000000034,-1.8400000000000034,108.548,109.58,107.18,2.3999999999999915,-2.019999999999996,408186,462880,333248,129632,-85168
2018-04-08,107.39999999999999,108.05,106.57,1.480000000000004,-0.7800000000000011,108.10799999999999,108.74,106.8,1.9399999999999977,-1.9399999999999977,105.388,106.92,100.42,6.5,-6.039999999999992,106.194,107.52,101.57,5.950000000000003,-5.8500000000000085,450599,894677,278154,616523,616523
2018-04-15,101.964,102.44,101.75,0.6899999999999977,0.0,102.996,103.5,102.19,1.3100000000000023,-0.14000000000000057,100.90599999999999,101.6,100.14,1.4599999999999937,0.0799999999999983,101.56,101.86,100.77,1.0900000000000034,-1.0900000000000034,372480,436122,317438,118684,-51669
2018-04-22,98.09400000000001,100.14,96.59,3.549999999999997,-2.969999999999999,99.01,101.43,97.8,3.6300000000000097,-3.6300000000000097,96.804,98.02,95.93,2.089999999999989,-2.089999999999989,97.336,98.18,96.57,1.6100000000000136,-1.6100000000000136,455449,516512,366129,150383,-4015
2018-04-29,97.754,98.96,96.54,2.4199999999999875,2.3599999999999994,99.272,100.5,97.7,2.799999999999997,2.799999999999997,97.094,98.77,95.62,3.1499999999999915,2.1899999999999977,98.454,99.54,96.6,2.940000000000012,2.940000000000012,576889,790727,406303,384424,-242072
2018-05-06,99.716,101.0,98.82,2.180000000000007,-0.730000000000004,100.746,101.74,99.87,1.8699999999999903,-1.2199999999999989,98.938,99.56,98.41,1.1500000000000057,-0.519999999999996,99.63199999999999,100.96,98.69,2.269999999999996,-1.2199999999999989,390192,631670,208217,423453,-187128
2018-05-13,100.684,101.75,99.5,2.25,1.8799999999999955,101.578,102.42,100.65,1.769999999999996,1.1799999999999926,100.142,101.08,99.13,1.9500000000000028,1.1500000000000057,100.78,101.51,100.21,1.3000000000000114,0.38000000000000966,413103,505085,273271,231814,-10434
2018-05-20,98.74,100.76,96.31,4.450000000000003,-4.070000000000007,100.602,104.23,97.45,6.780000000000001,-3.769999999999996,96.642,100.06,95.18,4.8799999999999955,-4.159999999999997,97.98,100.3,96.25,4.049999999999997,-4.049999999999997,1268455,3663938,398957,3264981,74629
2018-05-27,97.22749999999999,98.61,95.77,2.8400000000000034,1.6300000000000097,98.3175,99.19,97.42,1.769999999999996,0.23999999999999488,96.25,96.69,95.46,1.230000000000004,1.0600000000000023,97.27250000000001,98.84,96.7,2.1400000000000006,-0.04999999999999716,560550,609178,514773,94405,-94405
2018-06-03,97.378,98.71,96.05,2.6599999999999966,-0.46000000000000796,98.486,98.97,97.65,1.3199999999999932,-1.3199999999999932,96.346,97.59,95.67,1.9200000000000017,0.18000000000000682,97.208,98.7,96.17,2.530000000000001,0.4399999999999977,500183,728322,350170,378152,-25994
