Date,KMPR_Open_average,KMPR_Open_max,KMPR_Open_min,KMPR_Open_volatility,KMPR_Open_change,KMPR_High_average,KMPR_High_max,KMPR_High_min,KMPR_High_volatility,KMPR_High_change,KMPR_Low_average,KMPR_Low_max,KMPR_Low_min,KMPR_Low_volatility,KMPR_Low_change,KMPR_Close_average,KMPR_Close_max,KMPR_Close_min,KMPR_Close_volatility,KMPR_Close_change,KMPR_Volume_average,KMPR_Volume_max,KMPR_Volume_min,KMPR_Volume_volatility,KMPR_Volume_change
2018-01-14,69.86,71.1,68.5,2.5999999999999943,0.8499999999999943,70.5,71.25,69.6,1.6500000000000057,0.45000000000000284,68.52,69.05,67.2,1.8499999999999943,0.04999999999999716,69.51,70.95,68.8,2.1500000000000057,0.09999999999999432,148509,175302,125857,49445,-14024
2018-01-21,69.26,69.6,68.75,0.8499999999999943,-0.8499999999999943,69.67999999999999,70.5,69.1,1.4000000000000057,-1.4000000000000057,68.272,68.85,66.95,1.8999999999999915,-1.75,68.64,69.35,67.0,2.3499999999999943,-2.3499999999999943,193790,467044,113975,353069,-339103
2018-01-28,64.67,66.8,61.95,4.849999999999994,-4.75,65.24,67.35,63.1,4.249999999999993,-3.6999999999999957,63.28,66.05,59.8,6.25,-6.25,63.53,66.55,59.9,6.649999999999999,-6.649999999999999,218925,286130,153652,132478,-1593
2018-02-04,58.589999999999996,60.0,56.8,3.200000000000003,-0.8500000000000014,59.44,60.75,58.1,2.6499999999999986,-2.200000000000003,57.41,59.05,56.3,2.75,-0.9499999999999957,58.24,60.0,56.35,3.6499999999999986,-2.25,241193,348243,172240,176003,-140229
2018-02-11,55.825,57.55,53.6,3.9499999999999957,-1.2999999999999972,57.155,59.0,55.65,3.3500000000000014,1.3800000000000026,53.875,56.4,50.85,5.549999999999997,-0.29999999999999716,56.3625,58.85,53.55,5.300000000000004,1.3000000000000043,839567,1626364,268269,1358095,476418
2018-02-18,57.42,58.35,56.3,2.0500000000000043,-0.3999999999999986,58.53,59.75,57.6,2.1499999999999986,1.1000000000000014,56.5,57.85,55.45,2.3999999999999986,2.3999999999999986,57.4,58.9,56.35,2.549999999999997,2.549999999999997,466675,738357,353785,384572,-79060
2018-02-25,57.02,58.85,56.1,2.75,-2.3999999999999986,58.24,59.55,57.15,2.3999999999999986,-0.5,56.13,56.95,55.3,1.6500000000000057,-0.75,57.18,58.75,56.4,2.3500000000000014,1.7999999999999972,362473,468182,256634,211548,84951
2018-03-04,58.75,59.0,58.25,0.75,-0.29999999999999716,59.19,59.6,58.95,0.6499999999999986,-0.25,57.86,58.3,57.55,0.75,0.5500000000000043,58.74,59.2,57.95,1.25,-0.4000000000000057,344988,472862,225581,247281,-73902
2018-03-11,57.44,59.05,56.55,2.5,-2.5,57.95,59.5,57.0,2.5,-2.5,56.45,57.9,55.85,2.049999999999997,-2.049999999999997,56.92,58.0,56.5,1.5,-1.3500000000000014,310217,767235,136862,630373,-98499
2018-03-18,56.9,57.65,55.95,1.6999999999999957,-0.25,57.84,59.25,56.5,2.75,0.3500000000000014,56.11,57.45,55.25,2.200000000000003,-0.3500000000000014,57.0,58.3,55.4,2.8999999999999986,0.25,289322,339338,173207,166131,40487
