Date,iShares Short Treasury Bond_Open_average,iShares Short Treasury Bond_Open_max,iShares Short Treasury Bond_Open_min,iShares Short Treasury Bond_Open_volatility,iShares Short Treasury Bond_Open_change,iShares Short Treasury Bond_High_average,iShares Short Treasury Bond_High_max,iShares Short Treasury Bond_High_min,iShares Short Treasury Bond_High_volatility,iShares Short Treasury Bond_High_change,iShares Short Treasury Bond_Low_average,iShares Short Treasury Bond_Low_max,iShares Short Treasury Bond_Low_min,iShares Short Treasury Bond_Low_volatility,iShares Short Treasury Bond_Low_change,iShares Short Treasury Bond_Close_average,iShares Short Treasury Bond_Close_max,iShares Short Treasury Bond_Close_min,iShares Short Treasury Bond_Close_volatility,iShares Short Treasury Bond_Close_change
2018-01-14,110.29,110.29,110.29,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2018-01-21,110.32,110.32,110.32,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.33,110.33,110.33,0.0,0.0
2018-01-28,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-02-04,110.23,110.23,110.23,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.23,110.23,110.23,0.0,0.0,110.25,110.25,110.25,0.0,0.0
2018-02-11,110.26,110.26,110.26,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.27,110.27,110.27,0.0,0.0
2018-02-18,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-02-25,110.22,110.22,110.22,0.0,0.0,110.23,110.23,110.23,0.0,0.0,110.2,110.2,110.2,0.0,0.0,110.2,110.2,110.2,0.0,0.0
2018-03-04,110.25,110.25,110.25,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.24,110.24,110.24,0.0,0.0,110.25,110.25,110.25,0.0,0.0
2018-03-11,110.26,110.26,110.26,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.26,110.26,110.26,0.0,0.0
2018-03-18,110.3,110.3,110.3,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2018-03-25,110.25,110.25,110.25,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.23,110.23,110.23,0.0,0.0,110.25,110.25,110.25,0.0,0.0
2018-04-01,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2018-04-08,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2018-04-15,110.31,110.31,110.31,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2018-04-22,110.35,110.35,110.35,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.36,110.36,110.36,0.0,0.0
2018-04-29,110.27,110.27,110.27,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-05-06,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2018-05-13,110.33,110.33,110.33,0.0,0.0,110.33,110.33,110.33,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2018-05-20,110.39,110.39,110.39,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2018-05-27,110.28,110.28,110.28,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-06-03,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.31,110.31,110.31,0.0,0.0
2018-06-10,110.34,110.34,110.34,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-06-17,110.4,110.4,110.4,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.38,110.38,110.38,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-06-24,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2018-07-01,110.32,110.32,110.32,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2018-07-08,110.36,110.36,110.36,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.36,110.36,110.36,0.0,0.0
2018-07-15,110.4,110.4,110.4,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.38,110.38,110.38,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2018-07-22,110.44,110.44,110.44,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2018-07-29,110.32,110.32,110.32,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2018-08-05,110.35,110.35,110.35,0.0,0.0,110.36,110.36,110.36,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-08-12,110.39,110.39,110.39,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.38,110.38,110.38,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-08-19,110.44,110.44,110.44,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2018-08-26,110.47,110.47,110.47,0.0,0.0,110.47,110.47,110.47,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.46,110.46,110.46,0.0,0.0
2018-09-02,110.34,110.34,110.34,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-09-09,110.35,110.35,110.35,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.37,110.37,110.37,0.0,0.0
2018-09-16,110.38,110.38,110.38,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.38,110.38,110.38,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2018-09-23,110.27,110.27,110.27,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.27,110.27,110.27,0.0,0.0
