Date,SPDR S&P Global Infrastructure_Open_average,SPDR S&P Global Infrastructure_Open_max,SPDR S&P Global Infrastructure_Open_min,SPDR S&P Global Infrastructure_Open_volatility,SPDR S&P Global Infrastructure_Open_change,SPDR S&P Global Infrastructure_High_average,SPDR S&P Global Infrastructure_High_max,SPDR S&P Global Infrastructure_High_min,SPDR S&P Global Infrastructure_High_volatility,SPDR S&P Global Infrastructure_High_change,SPDR S&P Global Infrastructure_Low_average,SPDR S&P Global Infrastructure_Low_max,SPDR S&P Global Infrastructure_Low_min,SPDR S&P Global Infrastructure_Low_volatility,SPDR S&P Global Infrastructure_Low_change,SPDR S&P Global Infrastructure_Close_average,SPDR S&P Global Infrastructure_Close_max,SPDR S&P Global Infrastructure_Close_min,SPDR S&P Global Infrastructure_Close_volatility,SPDR S&P Global Infrastructure_Close_change
2018-01-14,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.39,52.39,52.39,0.0,0.0
2018-01-21,53.02,53.02,53.02,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2018-01-28,51.52,51.52,51.52,0.0,0.0,51.52,51.52,51.52,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-02-04,48.56,48.56,48.56,0.0,0.0,48.88,48.88,48.88,0.0,0.0,47.61,47.61,47.61,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-02-11,50.33,50.33,50.33,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-02-18,49.6,49.6,49.6,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.53,49.53,49.53,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-02-25,48.44,48.44,48.44,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-03-04,49.61,49.61,49.61,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-03-11,49.57,49.57,49.57,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-03-18,48.77,48.77,48.77,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-03-25,48.94,48.94,48.94,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-04-01,49.29,49.29,49.29,0.0,0.0,49.4,49.4,49.4,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-04-08,49.69,49.69,49.69,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-04-15,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-04-22,50.07,50.07,50.07,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-04-29,50.0,50.0,50.0,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-05-06,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-05-13,49.12,49.12,49.12,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-05-20,48.95,48.95,48.95,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-05-27,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-06-03,47.86,47.86,47.86,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-06-10,48.47,48.47,48.47,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-06-17,48.8,48.8,48.8,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-06-24,49.13,49.13,49.13,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-07-01,49.92,49.92,49.92,0.0,0.0,50.44,50.44,50.44,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-07-08,50.05,50.05,50.05,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-07-15,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-07-22,50.32,50.32,50.32,0.0,0.0,50.35,50.35,50.35,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-07-29,49.75,49.75,49.75,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.75,49.75,49.75,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-08-05,49.66,49.66,49.66,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-08-12,49.15,49.15,49.15,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-08-19,49.42,49.42,49.42,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-08-26,49.15,49.15,49.15,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-09-02,48.53,48.53,48.53,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.56,48.56,48.56,0.0,0.0
2018-09-09,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-09-16,49.11,49.11,49.11,0.0,0.0,49.2,49.2,49.2,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-09-23,48.28,48.28,48.28,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-09-30,48.16,48.16,48.16,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-10-07,47.18,47.18,47.18,0.0,0.0,47.18,47.18,47.18,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-10-14,47.72,47.72,47.72,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-10-21,46.44,46.44,46.44,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-10-28,47.29,47.29,47.29,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-11-04,47.4,47.4,47.4,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2018-11-11,46.91,46.91,46.91,0.0,0.0,47.27,47.27,47.27,0.0,0.0,46.91,46.91,46.91,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2018-11-18,46.53,46.53,46.53,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-11-25,47.21,47.21,47.21,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.14,47.14,47.14,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-12-02,47.5,47.5,47.5,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2018-12-09,47.47,47.47,47.47,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2018-12-16,45.47,45.47,45.47,0.0,0.0,45.89,45.89,45.89,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-12-23,45.23,45.23,45.23,0.0,0.0,45.44,45.44,45.44,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-12-30,45.41,45.41,45.41,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.41,45.41,45.41,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2019-01-06,47.11,47.11,47.11,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2019-01-13,47.88,47.88,47.88,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.8,47.8,47.8,0.0,0.0
