Date,First Trust IndustrialsProducer Durables AlphaDEX_etf_Open_average,First Trust IndustrialsProducer Durables AlphaDEX_etf_Open_max,First Trust IndustrialsProducer Durables AlphaDEX_etf_Open_min,First Trust IndustrialsProducer Durables AlphaDEX_etf_Open_volatility,First Trust IndustrialsProducer Durables AlphaDEX_etf_Open_change,First Trust IndustrialsProducer Durables AlphaDEX_etf_High_average,First Trust IndustrialsProducer Durables AlphaDEX_etf_High_max,First Trust IndustrialsProducer Durables AlphaDEX_etf_High_min,First Trust IndustrialsProducer Durables AlphaDEX_etf_High_volatility,First Trust IndustrialsProducer Durables AlphaDEX_etf_High_change,First Trust IndustrialsProducer Durables AlphaDEX_etf_Low_average,First Trust IndustrialsProducer Durables AlphaDEX_etf_Low_max,First Trust IndustrialsProducer Durables AlphaDEX_etf_Low_min,First Trust IndustrialsProducer Durables AlphaDEX_etf_Low_volatility,First Trust IndustrialsProducer Durables AlphaDEX_etf_Low_change,First Trust IndustrialsProducer Durables AlphaDEX_etf_Close_average,First Trust IndustrialsProducer Durables AlphaDEX_etf_Close_max,First Trust IndustrialsProducer Durables AlphaDEX_etf_Close_min,First Trust IndustrialsProducer Durables AlphaDEX_etf_Close_volatility,First Trust IndustrialsProducer Durables AlphaDEX_etf_Close_change
2018-01-14,42.21,42.21,42.21,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2018-01-21,42.38,42.38,42.38,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-01-28,41.82,41.82,41.82,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-02-04,39.08,39.08,39.08,0.0,0.0,39.18,39.18,39.18,0.0,0.0,37.72,37.72,37.72,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2018-02-11,40.42,40.42,40.42,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-02-18,40.53,40.53,40.53,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.69,40.69,40.69,0.0,0.0
2018-02-25,39.23,39.23,39.23,0.0,0.0,39.67,39.67,39.67,0.0,0.0,38.93,38.93,38.93,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-03-04,40.67,40.67,40.67,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.58,40.58,40.58,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2018-03-11,40.66,40.66,40.66,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2018-03-18,39.61,39.61,39.61,0.0,0.0,39.82,39.82,39.82,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.89,38.89,38.89,0.0,0.0
