Date,ProShares MSCI EM Dividend Growers_etf_Open_average,ProShares MSCI EM Dividend Growers_etf_Open_max,ProShares MSCI EM Dividend Growers_etf_Open_min,ProShares MSCI EM Dividend Growers_etf_Open_volatility,ProShares MSCI EM Dividend Growers_etf_Open_change,ProShares MSCI EM Dividend Growers_etf_High_average,ProShares MSCI EM Dividend Growers_etf_High_max,ProShares MSCI EM Dividend Growers_etf_High_min,ProShares MSCI EM Dividend Growers_etf_High_volatility,ProShares MSCI EM Dividend Growers_etf_High_change,ProShares MSCI EM Dividend Growers_etf_Low_average,ProShares MSCI EM Dividend Growers_etf_Low_max,ProShares MSCI EM Dividend Growers_etf_Low_min,ProShares MSCI EM Dividend Growers_etf_Low_volatility,ProShares MSCI EM Dividend Growers_etf_Low_change,ProShares MSCI EM Dividend Growers_etf_Close_average,ProShares MSCI EM Dividend Growers_etf_Close_max,ProShares MSCI EM Dividend Growers_etf_Close_min,ProShares MSCI EM Dividend Growers_etf_Close_volatility,ProShares MSCI EM Dividend Growers_etf_Close_change
2018-01-14,61.47,61.47,61.47,0.0,0.0,61.72,61.72,61.72,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.72,61.72,61.72,0.0,0.0
2018-01-21,64.49,64.49,64.49,0.0,0.0,64.49,64.49,64.49,0.0,0.0,63.75,63.75,63.75,0.0,0.0,64.06,64.06,64.06,0.0,0.0
2018-01-28,61.0,61.0,61.0,0.0,0.0,61.15,61.15,61.15,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-02-04,58.07,58.07,58.07,0.0,0.0,59.5,59.5,59.5,0.0,0.0,57.04,57.04,57.04,0.0,0.0,59.29,59.29,59.29,0.0,0.0
2018-02-11,61.74,61.74,61.74,0.0,0.0,62.52,62.52,62.52,0.0,0.0,61.71,61.71,61.71,0.0,0.0,62.21,62.21,62.21,0.0,0.0
2018-02-18,61.81,61.81,61.81,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.71,61.71,61.71,0.0,0.0,61.81,61.81,61.81,0.0,0.0
2018-02-25,59.59,59.59,59.59,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.05,59.05,59.05,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2018-03-04,61.56,61.56,61.56,0.0,0.0,62.07,62.07,62.07,0.0,0.0,61.56,61.56,61.56,0.0,0.0,62.07,62.07,62.07,0.0,0.0
2018-03-11,61.29,61.29,61.29,0.0,0.0,61.29,61.29,61.29,0.0,0.0,60.97,60.97,60.97,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2018-03-18,60.38,60.38,60.38,0.0,0.0,60.53,60.53,60.53,0.0,0.0,59.6,59.6,59.6,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2018-03-25,60.54,60.54,60.54,0.0,0.0,60.54,60.54,60.54,0.0,0.0,60.54,60.54,60.54,0.0,0.0,60.54,60.54,60.54,0.0,0.0
2018-04-01,60.52,60.52,60.52,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.41,60.41,60.41,0.0,0.0
2018-04-08,60.92,60.92,60.92,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2018-04-15,60.13,60.13,60.13,0.0,0.0,60.17,60.17,60.17,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2018-04-22,59.5,59.5,59.5,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2018-04-29,58.54,58.54,58.54,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-05-06,59.38,59.38,59.38,0.0,0.0,59.38,59.38,59.38,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.94,58.94,58.94,0.0,0.0
2018-05-13,57.27,57.27,57.27,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.6,57.6,57.6,0.0,0.0
