Date,SPDR DoubleLine Total Return Tactic_Open_average,SPDR DoubleLine Total Return Tactic_Open_max,SPDR DoubleLine Total Return Tactic_Open_min,SPDR DoubleLine Total Return Tactic_Open_volatility,SPDR DoubleLine Total Return Tactic_Open_change,SPDR DoubleLine Total Return Tactic_High_average,SPDR DoubleLine Total Return Tactic_High_max,SPDR DoubleLine Total Return Tactic_High_min,SPDR DoubleLine Total Return Tactic_High_volatility,SPDR DoubleLine Total Return Tactic_High_change,SPDR DoubleLine Total Return Tactic_Low_average,SPDR DoubleLine Total Return Tactic_Low_max,SPDR DoubleLine Total Return Tactic_Low_min,SPDR DoubleLine Total Return Tactic_Low_volatility,SPDR DoubleLine Total Return Tactic_Low_change,SPDR DoubleLine Total Return Tactic_Close_average,SPDR DoubleLine Total Return Tactic_Close_max,SPDR DoubleLine Total Return Tactic_Close_min,SPDR DoubleLine Total Return Tactic_Close_volatility,SPDR DoubleLine Total Return Tactic_Close_change
2018-01-14,48.29,48.29,48.29,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-01-21,48.18,48.18,48.18,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-01-28,47.82,47.82,47.82,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.79,47.79,47.79,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-02-04,47.86,47.86,47.86,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2018-02-11,47.83,47.83,47.83,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-02-18,47.84,47.84,47.84,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2018-02-25,47.8,47.8,47.8,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-03-04,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-03-11,47.72,47.72,47.72,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2018-03-18,47.72,47.72,47.72,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-03-25,47.83,47.83,47.83,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-04-01,47.81,47.81,47.81,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2018-04-08,47.71,47.71,47.71,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.76,47.76,47.76,0.0,0.0
