Date,PowerShares S&P SmallCap Low Volatility Portfolio_Open_average,PowerShares S&P SmallCap Low Volatility Portfolio_Open_max,PowerShares S&P SmallCap Low Volatility Portfolio_Open_min,PowerShares S&P SmallCap Low Volatility Portfolio_Open_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Open_change,PowerShares S&P SmallCap Low Volatility Portfolio_High_average,PowerShares S&P SmallCap Low Volatility Portfolio_High_max,PowerShares S&P SmallCap Low Volatility Portfolio_High_min,PowerShares S&P SmallCap Low Volatility Portfolio_High_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_High_change,PowerShares S&P SmallCap Low Volatility Portfolio_Low_average,PowerShares S&P SmallCap Low Volatility Portfolio_Low_max,PowerShares S&P SmallCap Low Volatility Portfolio_Low_min,PowerShares S&P SmallCap Low Volatility Portfolio_Low_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Low_change,PowerShares S&P SmallCap Low Volatility Portfolio_Close_average,PowerShares S&P SmallCap Low Volatility Portfolio_Close_max,PowerShares S&P SmallCap Low Volatility Portfolio_Close_min,PowerShares S&P SmallCap Low Volatility Portfolio_Close_volatility,PowerShares S&P SmallCap Low Volatility Portfolio_Close_change
2018-01-14,46.94,46.94,46.94,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2018-01-21,46.72,46.72,46.72,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2018-01-28,45.14,45.14,45.14,0.0,0.0,45.38,45.38,45.38,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-02-04,43.72,43.72,43.72,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2018-02-11,44.6,44.6,44.6,0.0,0.0,45.14,45.14,45.14,0.0,0.0,44.6,44.6,44.6,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-02-18,45.02,45.02,45.02,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.72,44.72,44.72,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2018-02-25,43.89,43.89,43.89,0.0,0.0,44.58,44.58,44.58,0.0,0.0,43.89,43.89,43.89,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-03-04,45.87,45.87,45.87,0.0,0.0,46.13,46.13,46.13,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2018-03-11,45.76,45.76,45.76,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2018-03-18,44.19,44.19,44.19,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-03-25,44.91,44.91,44.91,0.0,0.0,45.08,45.08,45.08,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-04-01,45.09,45.09,45.09,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-04-08,45.44,45.44,45.44,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-04-15,45.81,45.81,45.81,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2018-04-22,45.79,45.79,45.79,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-04-29,46.01,46.01,46.01,0.0,0.0,46.31,46.31,46.31,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2018-05-06,46.77,46.77,46.77,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2018-05-13,46.97,46.97,46.97,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-05-20,47.56,47.56,47.56,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-05-27,48.24,48.24,48.24,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-06-03,48.93,48.93,48.93,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-06-10,48.62,48.62,48.62,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-06-17,49.14,49.14,49.14,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-06-24,48.12,48.12,48.12,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-07-01,49.89,49.89,49.89,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-07-08,49.3,49.3,49.3,0.0,0.0,49.33,49.33,49.33,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-07-15,49.55,49.55,49.55,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-07-22,49.15,49.15,49.15,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2018-07-29,49.63,49.63,49.63,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-08-05,49.57,49.57,49.57,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-08-12,50.67,50.67,50.67,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-08-19,51.02,51.02,51.02,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-08-26,50.83,50.83,50.83,0.0,0.0,51.15,51.15,51.15,0.0,0.0,50.82,50.82,50.82,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-09-02,51.04,51.04,51.04,0.0,0.0,51.16,51.16,51.16,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2018-09-09,51.0,51.0,51.0,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-09-16,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-09-23,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-09-30,48.04,48.04,48.04,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2018-10-07,45.9,45.9,45.9,0.0,0.0,46.61,46.61,46.61,0.0,0.0,45.9,45.9,45.9,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2018-10-14,46.63,46.63,46.63,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2018-10-21,45.74,45.74,45.74,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-10-28,46.43,46.43,46.43,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2018-11-04,47.24,47.24,47.24,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-11-11,47.2,47.2,47.2,0.0,0.0,47.38,47.38,47.38,0.0,0.0,46.75,46.75,46.75,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-11-18,46.91,46.91,46.91,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.83,46.83,46.83,0.0,0.0
