Date,LSTR_Open_average,LSTR_Open_max,LSTR_Open_min,LSTR_Open_volatility,LSTR_Open_change,LSTR_High_average,LSTR_High_max,LSTR_High_min,LSTR_High_volatility,LSTR_High_change,LSTR_Low_average,LSTR_Low_max,LSTR_Low_min,LSTR_Low_volatility,LSTR_Low_change,LSTR_Close_average,LSTR_Close_max,LSTR_Close_min,LSTR_Close_volatility,LSTR_Close_change,LSTR_Volume_average,LSTR_Volume_max,LSTR_Volume_min,LSTR_Volume_volatility,LSTR_Volume_change
2018-01-14,109.22,110.55,108.35,2.200000000000003,1.5999999999999943,109.91,111.4,109.05,2.3500000000000085,2.0,108.37,109.5,107.65,1.8499999999999943,1.7999999999999972,109.34,111.25,108.05,3.200000000000003,3.049999999999997,204613,237428,162867,74561,-46195
2018-01-21,111.84,112.9,111.2,1.7000000000000028,1.6500000000000057,112.34400000000001,113.9,111.42,2.480000000000004,1.8799999999999955,110.71,112.1,109.95,2.1499999999999915,1.8499999999999943,111.77,113.3,111.0,2.299999999999997,1.25,272651,334629,217302,117327,87901
2018-01-28,113.68,116.95,111.4,5.549999999999997,1.2999999999999972,115.46,118.6,112.05,6.549999999999997,1.3500000000000085,111.17399999999999,113.1,109.3,3.799999999999997,-1.3200000000000074,112.07,115.45,109.35,6.1000000000000085,-1.6500000000000057,386426,506774,250620,256154,240193
2018-02-04,108.53999999999999,111.6,105.7,5.8999999999999915,-1.6499999999999915,110.484,112.65,108.2,4.450000000000003,-3.469999999999999,106.35,110.0,104.1,5.900000000000006,-1.0999999999999943,108.21,111.35,105.35,6.0,-4.200000000000003,293638,431775,206124,225651,-103086
2018-02-11,109.3875,111.7,106.7,5.0,4.099999999999994,111.0625,112.1,108.9,3.1999999999999886,3.1999999999999886,108.3475,110.05,105.45,4.599999999999994,4.599999999999994,110.45,111.3,108.65,2.6499999999999915,2.3499999999999943,257527,333550,211018,122532,62220
2018-02-18,110.91,111.4,110.2,1.2000000000000028,0.9500000000000028,112.05,113.45,110.7,2.75,2.75,109.88600000000001,110.15,109.65,0.5,0.480000000000004,110.98,113.1,110.0,3.0999999999999943,3.0999999999999943,284113,429523,152804,276719,-39487
2018-02-25,109.92,113.25,107.7,5.549999999999997,-3.799999999999997,110.856,113.25,110.1,3.1500000000000057,-3.1500000000000057,107.342,109.8,103.71,6.090000000000003,-6.090000000000003,108.99,110.0,107.7,2.299999999999997,-2.1499999999999915,192372,225083,160431,64652,25652
2018-03-04,109.63,112.8,107.75,5.049999999999997,4.75,111.04,113.35,108.7,4.6499999999999915,4.6499999999999915,108.46600000000001,110.9,106.48,4.420000000000002,4.420000000000002,110.31,112.65,108.6,4.050000000000011,3.0500000000000114,236024,288556,177013,111543,34890
2018-03-11,111.55,112.3,110.8,1.5,-1.4500000000000028,112.684,113.0,112.42,0.5799999999999983,-0.4000000000000057,110.78,111.45,110.4,1.0499999999999972,-0.6000000000000085,111.38,112.3,110.7,1.5999999999999943,0.5999999999999943,286303,430102,194225,235877,152377
2018-03-18,111.48,112.9,109.8,3.1000000000000085,-2.700000000000003,112.532,113.95,111.03,2.9200000000000017,-2.219999999999999,109.886,112.78,108.0,4.780000000000001,-2.549999999999997,110.73,113.05,108.15,4.8999999999999915,-3.799999999999997,215864,288143,187124,101019,100621
2018-03-25,108.6875,109.8,106.95,2.8499999999999943,-0.09999999999999432,109.95,110.9,108.6,2.3000000000000114,1.1000000000000085,106.35,108.15,105.15,3.0,0.09999999999999432,107.6375,109.65,106.8,2.8500000000000085,-0.10000000000000853,365092,521701,189409,332292,-285126
2018-04-01,107.98,110.2,105.8,4.400000000000006,-2.799999999999997,109.142,110.7,106.75,3.950000000000003,-3.1599999999999966,105.718,107.7,103.55,4.150000000000006,-2.8599999999999994,107.53,109.5,104.95,4.549999999999997,-3.799999999999997,474103,583856,248546,335310,-277154
2018-04-08,107.1,108.2,105.85,2.3500000000000085,0.8499999999999943,108.456,110.13,106.85,3.280000000000001,2.1299999999999955,106.37,107.5,105.1,2.4000000000000057,1.7000000000000028,107.42999999999999,109.3,106.1,3.200000000000003,2.3499999999999943,499269,693880,415648,278232,180505
2018-04-15,110.19,111.35,108.0,3.3499999999999943,-2.25,110.65,111.95,108.7,3.25,-2.5,108.904,110.42,107.3,3.1200000000000045,-2.200000000000003,109.55,111.5,108.0,3.5,-2.549999999999997,392976,718635,254355,464280,-453161
