Date,USAA MSCI International Value Momentum Blend_Open_average,USAA MSCI International Value Momentum Blend_Open_max,USAA MSCI International Value Momentum Blend_Open_min,USAA MSCI International Value Momentum Blend_Open_volatility,USAA MSCI International Value Momentum Blend_Open_change,USAA MSCI International Value Momentum Blend_High_average,USAA MSCI International Value Momentum Blend_High_max,USAA MSCI International Value Momentum Blend_High_min,USAA MSCI International Value Momentum Blend_High_volatility,USAA MSCI International Value Momentum Blend_High_change,USAA MSCI International Value Momentum Blend_Low_average,USAA MSCI International Value Momentum Blend_Low_max,USAA MSCI International Value Momentum Blend_Low_min,USAA MSCI International Value Momentum Blend_Low_volatility,USAA MSCI International Value Momentum Blend_Low_change,USAA MSCI International Value Momentum Blend_Close_average,USAA MSCI International Value Momentum Blend_Close_max,USAA MSCI International Value Momentum Blend_Close_min,USAA MSCI International Value Momentum Blend_Close_volatility,USAA MSCI International Value Momentum Blend_Close_change
2018-01-14,54.81,54.81,54.81,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.81,54.81,54.81,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2018-01-21,55.26,55.26,55.26,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2018-01-28,52.99,52.99,52.99,0.0,0.0,52.99,52.99,52.99,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2018-02-04,50.75,50.75,50.75,0.0,0.0,51.18,51.18,51.18,0.0,0.0,50.74,50.74,50.74,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2018-02-11,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-02-18,52.77,52.77,52.77,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-02-25,50.57,50.57,50.57,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.57,50.57,50.57,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-03-04,52.16,52.16,52.16,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-03-11,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.32,51.32,51.32,0.0,0.0
2018-03-18,50.72,50.72,50.72,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.92,50.92,50.92,0.0,0.0
