Date,PowerShares DB Oil_Open_average,PowerShares DB Oil_Open_max,PowerShares DB Oil_Open_min,PowerShares DB Oil_Open_volatility,PowerShares DB Oil_Open_change,PowerShares DB Oil_High_average,PowerShares DB Oil_High_max,PowerShares DB Oil_High_min,PowerShares DB Oil_High_volatility,PowerShares DB Oil_High_change,PowerShares DB Oil_Low_average,PowerShares DB Oil_Low_max,PowerShares DB Oil_Low_min,PowerShares DB Oil_Low_volatility,PowerShares DB Oil_Low_change,PowerShares DB Oil_Close_average,PowerShares DB Oil_Close_max,PowerShares DB Oil_Close_min,PowerShares DB Oil_Close_volatility,PowerShares DB Oil_Close_change
2018-01-14,10.69,10.69,10.69,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2018-01-21,11.06,11.06,11.06,0.0,0.0,11.09,11.09,11.09,0.0,0.0,10.98,10.98,10.98,0.0,0.0,11.06,11.06,11.06,0.0,0.0
2018-01-28,10.98,10.98,10.98,0.0,0.0,11.02,11.02,11.02,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2018-02-04,10.17,10.17,10.17,0.0,0.0,10.24,10.24,10.24,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.11,10.11,10.11,0.0,0.0
2018-02-11,10.34,10.34,10.34,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.42,10.42,10.42,0.0,0.0
2018-02-18,10.83,10.83,10.83,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.92,10.92,10.92,0.0,0.0
2018-02-25,10.48,10.48,10.48,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.46,10.46,10.46,0.0,0.0,10.66,10.66,10.66,0.0,0.0
2018-03-04,10.68,10.68,10.68,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.53,10.53,10.53,0.0,0.0,10.66,10.66,10.66,0.0,0.0
2018-03-11,10.79,10.79,10.79,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.65,10.65,10.65,0.0,0.0,10.73,10.73,10.73,0.0,0.0
2018-03-18,11.23,11.23,11.23,0.0,0.0,11.25,11.25,11.25,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-03-25,11.1,11.1,11.1,0.0,0.0,11.11,11.11,11.11,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.91,10.91,10.91,0.0,0.0
2018-04-01,11.02,11.02,11.02,0.0,0.0,11.11,11.11,11.11,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.06,11.06,11.06,0.0,0.0
2018-04-08,11.47,11.47,11.47,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.42,11.42,11.42,0.0,0.0
2018-04-15,11.62,11.62,11.62,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-04-22,11.7,11.7,11.7,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.69,11.69,11.69,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2018-04-29,12.16,12.16,12.16,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2018-05-06,12.42,12.42,12.42,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.49,12.49,12.49,0.0,0.0
