Date,Direxion NASDAQ-100 Equal Weighted Shares_Open_average,Direxion NASDAQ-100 Equal Weighted Shares_Open_max,Direxion NASDAQ-100 Equal Weighted Shares_Open_min,Direxion NASDAQ-100 Equal Weighted Shares_Open_volatility,Direxion NASDAQ-100 Equal Weighted Shares_Open_change,Direxion NASDAQ-100 Equal Weighted Shares_High_average,Direxion NASDAQ-100 Equal Weighted Shares_High_max,Direxion NASDAQ-100 Equal Weighted Shares_High_min,Direxion NASDAQ-100 Equal Weighted Shares_High_volatility,Direxion NASDAQ-100 Equal Weighted Shares_High_change,Direxion NASDAQ-100 Equal Weighted Shares_Low_average,Direxion NASDAQ-100 Equal Weighted Shares_Low_max,Direxion NASDAQ-100 Equal Weighted Shares_Low_min,Direxion NASDAQ-100 Equal Weighted Shares_Low_volatility,Direxion NASDAQ-100 Equal Weighted Shares_Low_change,Direxion NASDAQ-100 Equal Weighted Shares_Close_average,Direxion NASDAQ-100 Equal Weighted Shares_Close_max,Direxion NASDAQ-100 Equal Weighted Shares_Close_min,Direxion NASDAQ-100 Equal Weighted Shares_Close_volatility,Direxion NASDAQ-100 Equal Weighted Shares_Close_change
2018-01-14,46.04,46.04,46.04,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-01-21,47.01,47.01,47.01,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-01-28,44.94,44.94,44.94,0.0,0.0,45.35,45.35,45.35,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-02-04,43.05,43.05,43.05,0.0,0.0,43.64,43.64,43.64,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2018-02-11,44.93,44.93,44.93,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2018-02-18,45.66,45.66,45.66,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-02-25,44.61,44.61,44.61,0.0,0.0,45.4,45.4,45.4,0.0,0.0,44.53,44.53,44.53,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-03-04,47.09,47.09,47.09,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.85,46.85,46.85,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2018-03-11,46.21,46.21,46.21,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-03-18,44.3,44.3,44.3,0.0,0.0,44.62,44.62,44.62,0.0,0.0,43.63,43.63,43.63,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2018-03-25,43.76,43.76,43.76,0.0,0.0,43.77,43.77,43.77,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2018-04-01,43.26,43.26,43.26,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-04-08,44.16,44.16,44.16,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2018-04-15,44.09,44.09,44.09,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-04-22,44.03,44.03,44.03,0.0,0.0,44.1,44.1,44.1,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2018-04-29,44.14,44.14,44.14,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2018-05-06,44.9,44.9,44.9,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2018-05-13,45.01,45.01,45.01,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2018-05-20,44.78,44.78,44.78,0.0,0.0,45.14,45.14,45.14,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2018-05-27,45.31,45.31,45.31,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-06-03,45.81,45.81,45.81,0.0,0.0,46.25,46.25,46.25,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.13,46.13,46.13,0.0,0.0
2018-06-10,46.62,46.62,46.62,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-06-17,45.95,45.95,45.95,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-06-24,44.82,44.82,44.82,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.61,44.61,44.61,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-07-01,46.48,46.48,46.48,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2018-07-08,47.13,47.13,47.13,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-07-15,46.83,46.83,46.83,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2018-07-22,46.65,46.65,46.65,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2018-07-29,46.78,46.78,46.78,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2018-08-05,46.52,46.52,46.52,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-08-12,46.37,46.37,46.37,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-08-19,47.39,47.39,47.39,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2018-08-26,47.3,47.3,47.3,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2018-09-02,46.62,46.62,46.62,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-09-09,47.04,47.04,47.04,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.71,46.71,46.71,0.0,0.0
2018-09-16,47.31,47.31,47.31,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-09-23,47.62,47.62,47.62,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2018-09-30,45.64,45.64,45.64,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.47,45.47,45.47,0.0,0.0
2018-10-07,44.0,44.0,44.0,0.0,0.0,44.27,44.27,44.27,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2018-10-14,44.01,44.01,44.01,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.88,43.88,43.88,0.0,0.0
2018-10-21,42.79,42.79,42.79,0.0,0.0,42.86,42.86,42.86,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2018-10-28,44.04,44.04,44.04,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-11-04,44.35,44.35,44.35,0.0,0.0,44.35,44.35,44.35,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2018-11-11,43.86,43.86,43.86,0.0,0.0,43.86,43.86,43.86,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-11-18,42.96,42.96,42.96,0.0,0.0,43.45,43.45,43.45,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2018-11-25,45.35,45.35,45.35,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.13,45.13,45.13,0.0,0.0
