Date,ELUXY_stock_Open_average,ELUXY_stock_Open_max,ELUXY_stock_Open_min,ELUXY_stock_Open_volatility,ELUXY_stock_Open_change,ELUXY_stock_High_average,ELUXY_stock_High_max,ELUXY_stock_High_min,ELUXY_stock_High_volatility,ELUXY_stock_High_change,ELUXY_stock_Low_average,ELUXY_stock_Low_max,ELUXY_stock_Low_min,ELUXY_stock_Low_volatility,ELUXY_stock_Low_change,ELUXY_stock_Close_average,ELUXY_stock_Close_max,ELUXY_stock_Close_min,ELUXY_stock_Close_volatility,ELUXY_stock_Close_change,ELUXY_stock_Volume_average,ELUXY_stock_Volume_max,ELUXY_stock_Volume_min,ELUXY_stock_Volume_volatility,ELUXY_stock_Volume_change
2018-01-14,65.155,66.19,64.41,1.7800000000000011,-1.1099999999999994,65.255,66.19,64.64,1.5499999999999972,-0.8799999999999955,65.07249999999999,66.09,64.41,1.6800000000000068,-0.8900000000000006,65.11,66.09,64.52,1.5700000000000074,-0.7800000000000011,2433,3614,1389,2225,87
2018-01-21,66.622,67.7,65.03,2.6700000000000017,1.8299999999999983,66.736,67.7,65.34,2.3599999999999994,1.7800000000000011,66.298,67.19,64.88,2.3100000000000023,1.980000000000004,66.472,67.33,65.34,1.9899999999999949,1.6899999999999977,4502,9072,1486,7586,-6709
2018-01-28,69.112,71.24,66.12,5.11999999999999,3.1299999999999955,69.358,71.45,66.2,5.25,3.509999999999991,68.73400000000001,70.44,66.01,4.429999999999993,3.760000000000005,69.018,71.27,66.05,5.219999999999999,3.910000000000011,12095,30851,2055,28796,-2045
2018-02-04,66.218,68.68,64.76,3.9200000000000017,-3.680000000000007,66.512,68.68,65.06,3.6200000000000045,-3.6200000000000045,65.308,66.93,63.75,3.180000000000007,-3.180000000000007,65.842,67.22,64.82,2.4000000000000057,-1.8700000000000045,5229,6683,2775,3908,-3157
2018-02-11,66.252,67.43,64.95,2.480000000000004,1.1500000000000057,66.728,67.8,65.33,2.469999999999999,1.6499999999999915,66.17399999999999,67.38,64.83,2.549999999999997,1.3700000000000045,66.65,67.73,65.33,2.4000000000000057,1.4699999999999989,6445,14643,3485,11158,-11158
2018-02-18,66.6325,67.4,65.7,1.7000000000000028,1.7000000000000028,66.8775,67.81,66.06,1.75,1.75,66.485,67.32,65.52,1.7999999999999972,1.7999999999999972,66.6425,67.75,65.62,2.1299999999999955,2.1299999999999955,4357,8892,2416,6476,-6063
2018-02-25,65.528,66.72,63.05,3.6700000000000017,-3.6700000000000017,65.632,67.06,63.05,4.010000000000005,-4.010000000000005,64.908,66.72,61.7,5.019999999999996,-5.019999999999996,65.226,66.95,62.4,4.550000000000004,-4.550000000000004,9875,39161,2224,36937,36189
2018-03-04,64.222,65.47,63.0,2.469999999999999,2.469999999999999,64.41199999999999,65.63,63.25,2.3799999999999955,2.3799999999999955,64.174,65.47,63.0,2.469999999999999,2.469999999999999,64.372,65.63,63.25,2.3799999999999955,2.3799999999999955,1968,3085,1253,1832,379
2018-03-11,66.472,66.92,65.84,1.0799999999999983,1.0799999999999983,66.496,66.92,65.84,1.0799999999999983,1.0799999999999983,66.136,66.63,65.81,0.8199999999999932,0.5499999999999972,66.188,66.72,65.81,0.9099999999999966,0.5499999999999972,2228,3720,1223,2497,2497
2018-03-18,65.514,66.38,64.45,1.9299999999999926,-0.980000000000004,65.666,66.52,64.8,1.7199999999999989,-1.0900000000000034,65.212,66.34,64.04,2.299999999999997,-1.8999999999999915,65.326,66.44,64.14,2.299999999999997,-1.9099999999999966,2623,3554,1053,2501,2008
2018-03-25,63.465,64.67,62.2,2.469999999999999,-1.3999999999999986,63.4925,64.67,62.2,2.469999999999999,-1.2899999999999991,62.835,63.66,61.81,1.8499999999999943,-0.6099999999999994,63.0675,64.33,61.99,2.3399999999999963,-1.1999999999999957,14669,26535,5558,20977,-2683
2018-04-01,61.926,63.0,61.2,1.7999999999999972,-1.7999999999999972,62.058,63.0,61.32,1.6799999999999997,-1.6799999999999997,61.47,62.11,60.59,1.519999999999996,-1.0799999999999983,61.618,62.71,60.59,2.1199999999999974,-1.2199999999999989,34340,145619,1704,143915,133087
2018-04-08,61.262,62.42,60.13,2.289999999999999,-0.7800000000000011,61.36,62.53,60.33,2.200000000000003,-0.740000000000002,60.952,62.31,60.0,2.3100000000000023,-1.1400000000000006,61.036,62.53,60.05,2.480000000000004,-1.1200000000000045,3793,4275,2694,1581,192
2018-04-15,60.884,61.79,59.98,1.8100000000000023,0.8000000000000043,60.982,61.79,59.98,1.8100000000000023,0.8600000000000065,60.688,61.35,59.87,1.480000000000004,0.8300000000000054,60.82,61.42,59.9,1.5200000000000031,0.8999999999999986,42222,89956,2029,87927,-134
2018-04-22,59.442,60.93,54.27,6.659999999999997,-6.3799999999999955,59.536,61.03,54.27,6.759999999999998,-6.75,58.928000000000004,60.75,52.85,7.899999999999999,-7.780000000000001,59.268,60.87,53.95,6.919999999999995,-6.829999999999998,7817,17143,1965,15178,-5257
2018-04-29,52.488,53.24,51.6,1.6400000000000006,0.20000000000000284,52.714,53.28,52.01,1.2700000000000031,0.240000000000002,52.34,52.97,51.6,1.3699999999999974,0.22999999999999687,52.562,53.1,51.73,1.3700000000000045,0.35999999999999943,31556,98011,3671,94340,-4103
2018-05-06,52.966,53.85,52.03,1.8200000000000003,0.23999999999999488,53.176,53.95,52.43,1.5200000000000031,0.20999999999999375,52.868,53.84,52.03,1.8100000000000023,0.240000000000002,53.064,53.91,52.11,1.7999999999999972,0.3300000000000054,4333,9396,1402,7994,-2694
2018-05-13,52.358,52.62,52.02,0.5999999999999943,-0.46999999999999886,52.548,52.84,52.15,0.6900000000000048,-0.6900000000000048,52.302,52.62,52.0,0.6199999999999974,-0.5599999999999952,52.486000000000004,52.84,52.06,0.7800000000000011,-0.7800000000000011,1622,2435,1083,1352,-638
2018-05-20,51.748,52.47,51.18,1.2899999999999991,-1.2899999999999991,51.846000000000004,52.47,51.27,1.1999999999999957,-1.1999999999999957,51.632,52.19,51.18,1.009999999999998,-1.009999999999998,51.674,52.19,51.19,1.0,-1.0,2422,5737,495,5242,2608
2018-05-27,49.885000000000005,50.31,49.52,0.7899999999999991,0.7899999999999991,50.115,50.61,49.63,0.9799999999999969,0.9200000000000017,49.5225,50.18,48.97,1.2100000000000009,1.2100000000000009,49.785,50.38,48.97,1.4100000000000037,1.4100000000000037,4989,7430,2505,4925,-3523
2018-06-03,50.47,51.15,49.36,1.7899999999999991,-1.7899999999999991,50.736,51.38,49.86,1.5200000000000031,-1.2899999999999991,50.32,51.0,49.36,1.6400000000000006,-1.5900000000000034,50.558,51.37,49.56,1.8099999999999952,-1.3400000000000034,19122,50756,2975,47781,3268
2018-06-10,49.730000000000004,50.35,48.92,1.4299999999999997,-0.35999999999999943,49.946,50.35,49.2,1.1499999999999986,-0.6599999999999966,49.572,50.14,48.72,1.4200000000000017,-0.5600000000000023,49.79,50.14,49.0,1.1400000000000006,-0.8599999999999994,6309,9370,4932,4438,4438
2018-06-17,47.376,47.96,46.89,1.0700000000000003,-0.8800000000000026,47.576,48.18,46.94,1.240000000000002,-0.8399999999999963,47.204,47.83,46.7,1.1299999999999955,-0.769999999999996,47.46,48.18,46.8,1.3800000000000026,-0.8399999999999963,6491,18480,2520,15960,2314
2018-06-24,44.94,45.7,44.41,1.2900000000000063,-0.25,45.07,45.7,44.41,1.2900000000000063,-0.020000000000003126,44.6,45.38,44.05,1.3300000000000054,0.44000000000000483,44.85,45.68,44.09,1.5899999999999963,0.3500000000000014,6616,13406,3655,9751,-9751
2018-07-01,44.0525,44.46,43.62,0.8400000000000034,0.00999999999999801,44.4425,44.7,43.91,0.7900000000000063,0.0,44.042500000000004,44.45,43.62,0.8300000000000054,0.03999999999999915,44.322500000000005,44.62,43.77,0.8499999999999943,0.1699999999999946,6191,13474,1094,12380,-6234
2018-07-08,44.224,44.56,43.64,0.9200000000000017,0.0,44.432,44.87,43.8,1.0700000000000003,0.27999999999999403,44.062,44.36,43.4,0.9600000000000009,0.28000000000000114,44.324,44.84,43.48,1.3600000000000065,0.30000000000000426,14799,37798,6166,31632,25315
