Date,Hartford Municipal Opportunities_Open_average,Hartford Municipal Opportunities_Open_max,Hartford Municipal Opportunities_Open_min,Hartford Municipal Opportunities_Open_volatility,Hartford Municipal Opportunities_Open_change,Hartford Municipal Opportunities_High_average,Hartford Municipal Opportunities_High_max,Hartford Municipal Opportunities_High_min,Hartford Municipal Opportunities_High_volatility,Hartford Municipal Opportunities_High_change,Hartford Municipal Opportunities_Low_average,Hartford Municipal Opportunities_Low_max,Hartford Municipal Opportunities_Low_min,Hartford Municipal Opportunities_Low_volatility,Hartford Municipal Opportunities_Low_change,Hartford Municipal Opportunities_Close_average,Hartford Municipal Opportunities_Close_max,Hartford Municipal Opportunities_Close_min,Hartford Municipal Opportunities_Close_volatility,Hartford Municipal Opportunities_Close_change
2018-01-14,40.16,40.16,40.16,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2018-01-21,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-01-28,39.65,39.65,39.65,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-02-04,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-02-11,39.6,39.6,39.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-02-18,39.62,39.62,39.62,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-02-25,39.69,39.69,39.69,0.0,0.0,42.46,42.46,42.46,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-03-04,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-03-11,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2018-03-18,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-03-25,39.64,39.64,39.64,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2018-04-01,39.71,39.71,39.71,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.73,39.73,39.73,0.0,0.0
2018-04-08,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-04-15,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-04-22,39.64,39.64,39.64,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.64,39.64,39.64,0.0,0.0
