Date,ProShares UltraShort Consumer Services_etf_Open_average,ProShares UltraShort Consumer Services_etf_Open_max,ProShares UltraShort Consumer Services_etf_Open_min,ProShares UltraShort Consumer Services_etf_Open_volatility,ProShares UltraShort Consumer Services_etf_Open_change,ProShares UltraShort Consumer Services_etf_High_average,ProShares UltraShort Consumer Services_etf_High_max,ProShares UltraShort Consumer Services_etf_High_min,ProShares UltraShort Consumer Services_etf_High_volatility,ProShares UltraShort Consumer Services_etf_High_change,ProShares UltraShort Consumer Services_etf_Low_average,ProShares UltraShort Consumer Services_etf_Low_max,ProShares UltraShort Consumer Services_etf_Low_min,ProShares UltraShort Consumer Services_etf_Low_volatility,ProShares UltraShort Consumer Services_etf_Low_change,ProShares UltraShort Consumer Services_etf_Close_average,ProShares UltraShort Consumer Services_etf_Close_max,ProShares UltraShort Consumer Services_etf_Close_min,ProShares UltraShort Consumer Services_etf_Close_volatility,ProShares UltraShort Consumer Services_etf_Close_change
2018-01-14,21.7,21.7,21.7,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2018-01-21,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2018-01-28,20.54,20.54,20.54,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.54,20.54,20.54,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2018-02-04,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0
2018-02-11,21.7,21.7,21.7,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2018-02-18,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2018-02-25,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-03-04,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2018-03-11,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.05,23.05,23.05,0.0,0.0
2018-03-18,24.1,24.1,24.1,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-03-25,24.0,24.0,24.0,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-04-01,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0
