Date,EcoLogical Strategy_Open_average,EcoLogical Strategy_Open_max,EcoLogical Strategy_Open_min,EcoLogical Strategy_Open_volatility,EcoLogical Strategy_Open_change,EcoLogical Strategy_High_average,EcoLogical Strategy_High_max,EcoLogical Strategy_High_min,EcoLogical Strategy_High_volatility,EcoLogical Strategy_High_change,EcoLogical Strategy_Low_average,EcoLogical Strategy_Low_max,EcoLogical Strategy_Low_min,EcoLogical Strategy_Low_volatility,EcoLogical Strategy_Low_change,EcoLogical Strategy_Close_average,EcoLogical Strategy_Close_max,EcoLogical Strategy_Close_min,EcoLogical Strategy_Close_volatility,EcoLogical Strategy_Close_change
2018-01-14,43.98,43.98,43.98,0.0,0.0,44.26,44.26,44.26,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2018-01-21,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2018-01-28,42.21,42.21,42.21,0.0,0.0,42.21,42.21,42.21,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2018-02-04,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-02-11,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-02-18,42.62,42.62,42.62,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-02-25,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.74,41.74,41.74,0.0,0.0
2018-03-04,42.88,42.88,42.88,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2018-03-11,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-03-18,39.92,39.92,39.92,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-03-25,40.09,40.09,40.09,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-04-01,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-04-08,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-04-15,41.03,41.03,41.03,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.27,41.27,41.27,0.0,0.0
