Date,IQ Leaders GTAA Tracker_Open_average,IQ Leaders GTAA Tracker_Open_max,IQ Leaders GTAA Tracker_Open_min,IQ Leaders GTAA Tracker_Open_volatility,IQ Leaders GTAA Tracker_Open_change,IQ Leaders GTAA Tracker_High_average,IQ Leaders GTAA Tracker_High_max,IQ Leaders GTAA Tracker_High_min,IQ Leaders GTAA Tracker_High_volatility,IQ Leaders GTAA Tracker_High_change,IQ Leaders GTAA Tracker_Low_average,IQ Leaders GTAA Tracker_Low_max,IQ Leaders GTAA Tracker_Low_min,IQ Leaders GTAA Tracker_Low_volatility,IQ Leaders GTAA Tracker_Low_change,IQ Leaders GTAA Tracker_Close_average,IQ Leaders GTAA Tracker_Close_max,IQ Leaders GTAA Tracker_Close_min,IQ Leaders GTAA Tracker_Close_volatility,IQ Leaders GTAA Tracker_Close_change
2018-01-14,25.13,25.13,25.13,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-01-21,25.37,25.37,25.37,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-01-28,24.66,24.66,24.66,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2018-02-04,23.85,23.85,23.85,0.0,0.0,24.22,24.22,24.22,0.0,0.0,23.85,23.85,23.85,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-02-11,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-02-18,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-02-25,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-03-04,24.76,24.76,24.76,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-03-11,24.51,24.51,24.51,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2018-03-18,24.0,24.0,24.0,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-03-25,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2018-04-01,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-04-08,24.27,24.27,24.27,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.32,24.32,24.32,0.0,0.0
