Date,EXPO_Open_average,EXPO_Open_max,EXPO_Open_min,EXPO_Open_volatility,EXPO_Open_change,EXPO_High_average,EXPO_High_max,EXPO_High_min,EXPO_High_volatility,EXPO_High_change,EXPO_Low_average,EXPO_Low_max,EXPO_Low_min,EXPO_Low_volatility,EXPO_Low_change,EXPO_Close_average,EXPO_Close_max,EXPO_Close_min,EXPO_Close_volatility,EXPO_Close_change,EXPO_Volume_average,EXPO_Volume_max,EXPO_Volume_min,EXPO_Volume_volatility,EXPO_Volume_change
2018-01-14,36.32,36.75,36.0,0.75,0.75,36.65,36.83,36.46,0.36999999999999744,0.36999999999999744,35.908,36.35,34.9,1.4500000000000028,1.4500000000000028,36.47,36.77,36.0,0.7700000000000031,0.7700000000000031,133086,142186,122198,19988,-8518
2018-01-21,37.328,38.7,36.5,2.200000000000003,2.0800000000000054,37.814,39.2,36.83,2.3700000000000045,2.280000000000001,36.84,37.83,36.05,1.7800000000000011,1.3799999999999955,37.318,38.7,36.38,2.3200000000000003,0.9499999999999957,174212,316804,86572,230232,59468
2018-01-28,37.576,38.2,36.7,1.5,0.5300000000000011,38.474000000000004,38.7,38.35,0.3500000000000014,0.19999999999999574,36.774,37.67,35.77,1.8999999999999986,-0.1700000000000017,37.724000000000004,38.27,37.08,1.1900000000000048,-0.3299999999999983,284264,405608,205384,200224,44144
2018-02-04,36.87,37.58,36.1,1.4799999999999969,-1.1499999999999986,37.112,38.0,36.23,1.7700000000000031,-1.7700000000000031,36.048,36.77,35.42,1.3500000000000014,-1.1500000000000057,36.525999999999996,37.58,35.83,1.75,-1.5300000000000011,226271,301356,166386,134970,-134970
2018-02-11,36.614999999999995,37.33,35.83,1.5,1.5,37.410000000000004,38.49,36.38,2.1099999999999994,2.1099999999999994,36.41,37.33,35.62,1.7100000000000009,1.7100000000000009,37.144999999999996,37.75,36.3,1.4500000000000028,1.4500000000000028,183003,272532,97262,175270,115376
2018-02-18,38.294000000000004,38.9,37.6,1.2999999999999972,1.2999999999999972,38.86,39.48,38.0,1.4799999999999969,1.4799999999999969,38.184,38.67,37.58,1.0900000000000034,1.0900000000000034,38.574,39.4,37.75,1.6499999999999986,1.6499999999999986,152725,195030,111220,83810,-29310
2018-02-25,38.642,39.4,37.6,1.7999999999999972,-1.3000000000000043,39.186,40.48,38.4,2.0799999999999983,-1.1299999999999955,38.153999999999996,38.85,37.6,1.25,-0.7199999999999989,38.508,39.23,37.83,1.3999999999999986,-0.8999999999999986,172860,253050,122216,130834,-22732
2018-03-04,39.226,40.2,38.38,1.8200000000000003,1.8200000000000003,39.68,40.38,38.73,1.6500000000000057,1.6500000000000057,38.872,39.56,37.98,1.5800000000000054,1.5200000000000031,39.428,40.12,38.62,1.5,1.0300000000000011,121314,155520,85420,70100,31380
2018-03-11,39.89,40.27,39.65,0.6200000000000045,0.47000000000000597,40.160000000000004,40.58,39.92,0.6599999999999966,0.3200000000000003,39.418,39.75,39.14,0.6099999999999994,0.27999999999999403,39.864,40.33,39.38,0.9499999999999957,0.5999999999999943,212426,502874,123272,379602,9674
2018-03-18,39.47,40.23,38.77,1.4599999999999937,-1.1499999999999986,39.994,40.42,39.3,1.1200000000000045,-0.5900000000000034,39.07,39.92,38.35,1.5700000000000003,-1.5200000000000031,39.28,40.17,38.4,1.7700000000000031,-1.0500000000000043,173544,235512,98420,137092,100960
