Date,FCNCAStock_Open_average,FCNCAStock_Open_max,FCNCAStock_Open_min,FCNCAStock_Open_volatility,FCNCAStock_Open_change,FCNCAStock_High_average,FCNCAStock_High_max,FCNCAStock_High_min,FCNCAStock_High_volatility,FCNCAStock_High_change,FCNCAStock_Low_average,FCNCAStock_Low_max,FCNCAStock_Low_min,FCNCAStock_Low_volatility,FCNCAStock_Low_change,FCNCAStock_Close_average,FCNCAStock_Close_max,FCNCAStock_Close_min,FCNCAStock_Close_volatility,FCNCAStock_Close_change,FCNCAStock_Volume_average,FCNCAStock_Volume_max,FCNCAStock_Volume_min,FCNCAStock_Volume_volatility,FCNCAStock_Volume_change
2018-01-14,447.7375,450.0,442.98,7.019999999999982,-7.019999999999982,452.645,456.99,450.3,6.689999999999998,-6.689999999999998,440.4825,442.98,436.5,6.480000000000018,6.480000000000018,445.6975,449.54,439.63,9.910000000000025,9.910000000000025,33918,63004,15762,47242,-47242
2018-01-21,443.46,449.74,438.27,11.470000000000027,-8.25,445.56,450.49,441.49,9.0,-9.0,435.272,444.0,432.17,11.829999999999984,-11.829999999999984,440.422,449.91,437.16,12.75,-12.75,31364,51411,19469,31942,-14027
2018-01-28,434.0,437.01,429.21,7.800000000000011,0.009999999999990905,439.016,441.44,436.84,4.600000000000023,1.6499999999999773,426.394,429.39,423.57,5.819999999999993,-5.819999999999993,431.858,438.65,425.41,13.239999999999952,-5.32000000000005,29093,33894,24552,9342,162
2018-02-04,416.994,422.43,406.57,15.860000000000014,-4.430000000000007,425.902,430.64,422.02,8.620000000000005,-4.990000000000009,408.93399999999997,411.74,404.84,6.900000000000034,-3.670000000000016,416.446,419.8,412.18,7.6200000000000045,3.6999999999999886,53207,70876,31124,39752,21859
2018-02-11,426.452,433.38,419.99,13.389999999999986,13.389999999999986,432.572,438.48,426.0,12.480000000000018,7.470000000000027,424.714,433.38,418.43,14.949999999999989,14.949999999999989,430.664,436.8,424.75,12.050000000000011,10.300000000000011,21291,51516,11546,39970,-39970
2018-02-18,430.825,434.82,428.54,6.279999999999973,-4.829999999999984,433.9275,435.71,430.12,5.589999999999975,-5.240000000000009,425.7625,427.78,424.35,3.42999999999995,-0.8799999999999955,427.89250000000004,430.12,424.35,5.769999999999982,2.519999999999982,20313,22216,16776,5440,5440
2018-02-25,419.966,431.8,408.49,23.310000000000002,-18.879999999999995,425.15000000000003,432.1,419.36,12.740000000000009,-12.740000000000009,410.676,424.65,402.62,22.029999999999973,-21.489999999999952,417.048,429.63,407.1,22.529999999999973,-12.149999999999977,22845,34229,14049,20180,593
2018-03-04,431.77,445.51,415.25,30.25999999999999,25.74000000000001,444.068,457.93,428.82,29.110000000000014,29.110000000000014,427.61,438.0,415.25,22.75,20.660000000000025,439.964,456.05,427.61,28.439999999999998,28.439999999999998,31016,45137,21069,24068,14086
2018-03-11,453.08,456.3,449.52,6.78000000000003,-6.4599999999999795,457.306,463.44,450.3,13.139999999999986,-3.0500000000000114,446.828,450.05,444.5,5.550000000000011,-0.23999999999995225,451.4,455.3,447.58,7.720000000000027,-3.75,42509,78507,26117,52390,43408
2018-03-18,442.466,449.83,429.97,19.859999999999957,-19.859999999999957,443.436,453.0,429.97,23.029999999999973,-19.859999999999957,429.676,442.4,405.6,36.799999999999955,-31.649999999999977,433.684,449.12,405.7,43.420000000000016,-43.420000000000016,29771,37325,24228,13097,-12293
2018-03-25,415.36,424.84,408.53,16.310000000000002,2.5100000000000477,422.085,425.5,416.7,8.800000000000011,-4.360000000000014,405.76,411.21,400.18,11.029999999999973,2.7799999999999727,414.82,424.84,407.9,16.939999999999998,-11.599999999999966,40603,47496,28158,19338,-3646
2018-04-01,412.38,417.0,406.39,10.610000000000014,3.1100000000000136,417.818,421.5,414.26,7.240000000000009,-2.410000000000025,405.832,414.47,398.5,15.970000000000027,6.670000000000016,411.992,419.95,405.77,14.180000000000007,2.340000000000032,40862,49321,28625,20696,-4871
2018-04-08,416.968,425.13,412.34,12.79000000000002,12.79000000000002,423.642,428.74,420.14,8.600000000000023,8.100000000000023,414.142,418.79,407.35,11.439999999999998,11.439999999999998,417.128,422.78,409.2,13.579999999999984,10.199999999999989,33915,46763,20976,25787,-3045
2018-04-15,419.234,423.01,413.6,9.409999999999968,-3.2299999999999613,424.198,427.48,420.0,7.480000000000018,2.1100000000000136,416.28000000000003,419.41,413.6,5.810000000000002,0.29000000000002046,419.972,424.23,415.71,8.520000000000039,2.6299999999999955,21850,26111,19272,6839,4930
2018-04-22,432.352,440.25,424.95,15.300000000000011,15.300000000000011,436.664,443.11,428.79,14.319999999999993,14.189999999999998,426.71999999999997,435.92,422.23,13.689999999999998,13.689999999999998,433.0,441.51,422.81,18.69999999999999,18.69999999999999,22819,33063,15562,17501,13018
2018-04-29,431.736,443.1,423.49,19.610000000000014,-19.610000000000014,435.516,443.1,429.0,14.100000000000023,-7.300000000000011,425.332,429.89,421.68,8.20999999999998,-6.25,430.426,432.36,424.61,7.75,-0.34000000000003183,30805,49646,14369,35277,-23161
2018-05-06,440.702,446.9,433.02,13.879999999999995,13.879999999999995,445.658,450.9,438.39,12.509999999999991,11.110000000000014,436.858,443.67,428.73,14.939999999999998,9.699999999999989,442.118,447.4,436.1,11.299999999999955,7.7999999999999545,25819,40203,19736,20467,3514
2018-05-13,446.046,452.39,438.67,13.71999999999997,7.4599999999999795,451.136,452.43,447.54,4.889999999999986,4.849999999999966,443.30400000000003,448.24,438.67,9.569999999999993,9.189999999999998,447.064,450.0,439.93,10.069999999999993,10.019999999999982,25621,34903,18731,16172,-10054
