Date,Direxion Daily S P Oil Gas Exp Bear_Open_average,Direxion Daily S P Oil Gas Exp Bear_Open_max,Direxion Daily S P Oil Gas Exp Bear_Open_min,Direxion Daily S P Oil Gas Exp Bear_Open_volatility,Direxion Daily S P Oil Gas Exp Bear_Open_change,Direxion Daily S P Oil Gas Exp Bear_High_average,Direxion Daily S P Oil Gas Exp Bear_High_max,Direxion Daily S P Oil Gas Exp Bear_High_min,Direxion Daily S P Oil Gas Exp Bear_High_volatility,Direxion Daily S P Oil Gas Exp Bear_High_change,Direxion Daily S P Oil Gas Exp Bear_Low_average,Direxion Daily S P Oil Gas Exp Bear_Low_max,Direxion Daily S P Oil Gas Exp Bear_Low_min,Direxion Daily S P Oil Gas Exp Bear_Low_volatility,Direxion Daily S P Oil Gas Exp Bear_Low_change,Direxion Daily S P Oil Gas Exp Bear_Close_average,Direxion Daily S P Oil Gas Exp Bear_Close_max,Direxion Daily S P Oil Gas Exp Bear_Close_min,Direxion Daily S P Oil Gas Exp Bear_Close_volatility,Direxion Daily S P Oil Gas Exp Bear_Close_change
2018-01-14,53.05,53.05,53.05,0.0,0.0,53.6,53.6,53.6,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-01-21,50.85,50.85,50.85,0.0,0.0,51.6,51.6,51.6,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-01-28,61.0,61.0,61.0,0.0,0.0,66.65,66.65,66.65,0.0,0.0,60.85,60.85,60.85,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-02-04,82.95,82.95,82.95,0.0,0.0,96.3,96.3,96.3,0.0,0.0,82.6,82.6,82.6,0.0,0.0,84.9,84.9,84.9,0.0,0.0
2018-02-11,73.95,73.95,73.95,0.0,0.0,73.95,73.95,73.95,0.0,0.0,69.5,69.5,69.5,0.0,0.0,73.25,73.25,73.25,0.0,0.0
2018-02-18,72.2,72.2,72.2,0.0,0.0,72.95,72.95,72.95,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2018-02-25,77.4,77.4,77.4,0.0,0.0,79.1,79.1,79.1,0.0,0.0,69.75,69.75,69.75,0.0,0.0,70.05,70.05,70.05,0.0,0.0
2018-03-04,67.85,67.85,67.85,0.0,0.0,68.62,68.62,68.62,0.0,0.0,65.65,65.65,65.65,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-03-11,69.95,69.95,69.95,0.0,0.0,71.25,71.25,71.25,0.0,0.0,66.2,66.2,66.2,0.0,0.0,67.5,67.5,67.5,0.0,0.0
2018-03-18,62.5,62.5,62.5,0.0,0.0,65.1,65.1,65.1,0.0,0.0,58.85,58.85,58.85,0.0,0.0,64.75,64.75,64.75,0.0,0.0
2018-03-25,66.65,66.65,66.65,0.0,0.0,66.65,66.65,66.65,0.0,0.0,60.35,60.35,60.35,0.0,0.0,61.3,61.3,61.3,0.0,0.0
2018-04-01,59.6,59.6,59.6,0.0,0.0,66.15,66.15,66.15,0.0,0.0,58.55,58.55,58.55,0.0,0.0,62.95,62.95,62.95,0.0,0.0
2018-04-08,51.25,51.25,51.25,0.0,0.0,51.6,51.6,51.6,0.0,0.0,48.35,48.35,48.35,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-04-15,44.3,44.3,44.3,0.0,0.0,45.45,45.45,45.45,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-04-22,41.6,41.6,41.6,0.0,0.0,43.6,43.6,43.6,0.0,0.0,41.5,41.5,41.5,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-04-29,43.35,43.35,43.35,0.0,0.0,43.7,43.7,43.7,0.0,0.0,40.6,40.6,40.6,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-05-06,35.35,35.35,35.35,0.0,0.0,36.38,36.38,36.38,0.0,0.0,34.8,34.8,34.8,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-05-13,31.0,31.0,31.0,0.0,0.0,31.65,31.65,31.65,0.0,0.0,30.36,30.36,30.36,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-05-20,35.7,35.7,35.7,0.0,0.0,38.25,38.25,38.25,0.0,0.0,35.65,35.65,35.65,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-05-27,32.6,32.6,32.6,0.0,0.0,33.85,33.85,33.85,0.0,0.0,31.5,31.5,31.5,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-06-03,32.5,32.5,32.5,0.0,0.0,34.1,34.1,34.1,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-06-10,34.65,34.65,34.65,0.0,0.0,36.85,36.85,36.85,0.0,0.0,34.3,34.3,34.3,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2018-06-17,30.35,30.35,30.35,0.0,0.0,31.18,31.18,31.18,0.0,0.0,29.6,29.6,29.6,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-06-24,29.25,29.25,29.25,0.0,0.0,29.7,29.7,29.7,0.0,0.0,27.91,27.91,27.91,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2018-07-01,30.9,30.9,30.9,0.0,0.0,31.18,31.18,31.18,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-07-08,29.1,29.1,29.1,0.0,0.0,29.25,29.25,29.25,0.0,0.0,27.79,27.79,27.79,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-07-15,29.55,29.55,29.55,0.0,0.0,31.05,31.05,31.05,0.0,0.0,29.55,29.55,29.55,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-07-22,29.35,29.35,29.35,0.0,0.0,31.0,31.0,31.0,0.0,0.0,28.8,28.8,28.8,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-07-29,30.25,30.25,30.25,0.0,0.0,31.95,31.95,31.95,0.0,0.0,30.05,30.05,30.05,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-08-05,32.55,32.55,32.55,0.0,0.0,33.2,33.2,33.2,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.85,31.85,31.85,0.0,0.0
