Date,ETFS Physical Precious Metal Basket SharesEtf_Open_average,ETFS Physical Precious Metal Basket SharesEtf_Open_max,ETFS Physical Precious Metal Basket SharesEtf_Open_min,ETFS Physical Precious Metal Basket SharesEtf_Open_volatility,ETFS Physical Precious Metal Basket SharesEtf_Open_change,ETFS Physical Precious Metal Basket SharesEtf_High_average,ETFS Physical Precious Metal Basket SharesEtf_High_max,ETFS Physical Precious Metal Basket SharesEtf_High_min,ETFS Physical Precious Metal Basket SharesEtf_High_volatility,ETFS Physical Precious Metal Basket SharesEtf_High_change,ETFS Physical Precious Metal Basket SharesEtf_Low_average,ETFS Physical Precious Metal Basket SharesEtf_Low_max,ETFS Physical Precious Metal Basket SharesEtf_Low_min,ETFS Physical Precious Metal Basket SharesEtf_Low_volatility,ETFS Physical Precious Metal Basket SharesEtf_Low_change,ETFS Physical Precious Metal Basket SharesEtf_Close_average,ETFS Physical Precious Metal Basket SharesEtf_Close_max,ETFS Physical Precious Metal Basket SharesEtf_Close_min,ETFS Physical Precious Metal Basket SharesEtf_Close_volatility,ETFS Physical Precious Metal Basket SharesEtf_Close_change
2018-01-14,66.47,66.47,66.47,0.0,0.0,66.59,66.59,66.59,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.46,66.46,66.46,0.0,0.0
2018-01-21,67.29,67.29,67.29,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.26,67.26,67.26,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2018-01-28,66.13,66.13,66.13,0.0,0.0,66.13,66.13,66.13,0.0,0.0,65.38,65.38,65.38,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-02-04,64.19,64.19,64.19,0.0,0.0,64.26,64.26,64.26,0.0,0.0,63.93,63.93,63.93,0.0,0.0,64.19,64.19,64.19,0.0,0.0
2018-02-11,66.3,66.3,66.3,0.0,0.0,66.51,66.51,66.51,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-02-18,65.4,65.4,65.4,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-02-25,64.94,64.94,64.94,0.0,0.0,64.94,64.94,64.94,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.78,64.78,64.78,0.0,0.0
2018-03-04,64.45,64.45,64.45,0.0,0.0,64.96,64.96,64.96,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2018-03-11,64.35,64.35,64.35,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.01,64.01,64.01,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2018-03-18,65.54,65.54,65.54,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-03-25,64.19,64.19,64.19,0.0,0.0,64.28,64.28,64.28,0.0,0.0,64.07,64.07,64.07,0.0,0.0,64.28,64.28,64.28,0.0,0.0
2018-04-01,64.33,64.33,64.33,0.0,0.0,64.34,64.34,64.34,0.0,0.0,64.05,64.05,64.05,0.0,0.0,64.17,64.17,64.17,0.0,0.0
2018-04-08,65.14,65.14,65.14,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-04-15,65.85,65.85,65.85,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-04-22,64.37,64.37,64.37,0.0,0.0,64.47,64.47,64.47,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2018-04-29,63.72,63.72,63.72,0.0,0.0,64.09,64.09,64.09,0.0,0.0,63.72,63.72,63.72,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2018-05-06,64.95,64.95,64.95,0.0,0.0,64.96,64.96,64.96,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2018-05-13,63.17,63.17,63.17,0.0,0.0,63.36,63.36,63.36,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.26,63.26,63.26,0.0,0.0
2018-05-20,63.94,63.94,63.94,0.0,0.0,63.98,63.98,63.98,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-05-27,63.49,63.49,63.49,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.42,63.42,63.42,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-06-03,64.17,64.17,64.17,0.0,0.0,64.17,64.17,64.17,0.0,0.0,63.98,63.98,63.98,0.0,0.0,64.13,64.13,64.13,0.0,0.0
2018-06-10,63.88,63.88,63.88,0.0,0.0,63.91,63.91,63.91,0.0,0.0,62.93,62.93,62.93,0.0,0.0,63.19,63.19,63.19,0.0,0.0
2018-06-17,62.34,62.34,62.34,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.51,62.51,62.51,0.0,0.0
2018-06-24,61.34,61.34,61.34,0.0,0.0,61.65,61.65,61.65,0.0,0.0,61.34,61.34,61.34,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2018-07-01,61.44,61.44,61.44,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.47,61.47,61.47,0.0,0.0
2018-07-08,60.74,60.74,60.74,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2018-07-15,59.61,59.61,59.61,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2018-07-22,59.78,59.78,59.78,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.75,59.75,59.75,0.0,0.0
2018-07-29,59.22,59.22,59.22,0.0,0.0,59.7,59.7,59.7,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.34,59.34,59.34,0.0,0.0
2018-08-05,59.22,59.22,59.22,0.0,0.0,59.41,59.41,59.41,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-08-12,57.25,57.25,57.25,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2018-08-19,58.1,58.1,58.1,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.37,58.37,58.37,0.0,0.0
