Date,VelocityShares Daily Inverse VIX Medium Term_Open_average,VelocityShares Daily Inverse VIX Medium Term_Open_max,VelocityShares Daily Inverse VIX Medium Term_Open_min,VelocityShares Daily Inverse VIX Medium Term_Open_volatility,VelocityShares Daily Inverse VIX Medium Term_Open_change,VelocityShares Daily Inverse VIX Medium Term_High_average,VelocityShares Daily Inverse VIX Medium Term_High_max,VelocityShares Daily Inverse VIX Medium Term_High_min,VelocityShares Daily Inverse VIX Medium Term_High_volatility,VelocityShares Daily Inverse VIX Medium Term_High_change,VelocityShares Daily Inverse VIX Medium Term_Low_average,VelocityShares Daily Inverse VIX Medium Term_Low_max,VelocityShares Daily Inverse VIX Medium Term_Low_min,VelocityShares Daily Inverse VIX Medium Term_Low_volatility,VelocityShares Daily Inverse VIX Medium Term_Low_change,VelocityShares Daily Inverse VIX Medium Term_Close_average,VelocityShares Daily Inverse VIX Medium Term_Close_max,VelocityShares Daily Inverse VIX Medium Term_Close_min,VelocityShares Daily Inverse VIX Medium Term_Close_volatility,VelocityShares Daily Inverse VIX Medium Term_Close_change
2018-01-14,91.35,91.35,91.35,0.0,0.0,92.94,92.94,92.94,0.0,0.0,91.26,91.26,91.26,0.0,0.0,92.94,92.94,92.94,0.0,0.0
2018-01-21,88.86,88.86,88.86,0.0,0.0,89.27,89.27,89.27,0.0,0.0,87.29,87.29,87.29,0.0,0.0,87.9,87.9,87.9,0.0,0.0
2018-01-28,83.49,83.49,83.49,0.0,0.0,86.15,86.15,86.15,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.54,74.54,74.54,0.0,0.0
2018-02-04,68.88,68.88,68.88,0.0,0.0,69.34,69.34,69.34,0.0,0.0,66.49,66.49,66.49,0.0,0.0,67.74,67.74,67.74,0.0,0.0
2018-02-11,69.94,69.94,69.94,0.0,0.0,70.96,70.96,70.96,0.0,0.0,69.41,69.41,69.41,0.0,0.0,70.01,70.01,70.01,0.0,0.0
2018-02-18,72.63,72.63,72.63,0.0,0.0,73.23,73.23,73.23,0.0,0.0,72.05,72.05,72.05,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-02-25,66.15,66.15,66.15,0.0,0.0,68.41,68.41,68.41,0.0,0.0,65.95,65.95,65.95,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-03-04,70.79,70.79,70.79,0.0,0.0,71.2,71.2,71.2,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-03-11,69.12,69.12,69.12,0.0,0.0,69.12,69.12,69.12,0.0,0.0,66.52,66.52,66.52,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-03-18,65.99,65.99,65.99,0.0,0.0,66.24,66.24,66.24,0.0,0.0,64.52,64.52,64.52,0.0,0.0,66.24,66.24,66.24,0.0,0.0
2018-03-25,63.27,63.27,63.27,0.0,0.0,63.39,63.39,63.39,0.0,0.0,60.6,60.6,60.6,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-04-01,62.57,62.57,62.57,0.0,0.0,63.16,63.16,63.16,0.0,0.0,61.99,61.99,61.99,0.0,0.0,62.06,62.06,62.06,0.0,0.0
2018-04-08,65.22,65.22,65.22,0.0,0.0,66.16,66.16,66.16,0.0,0.0,65.22,65.22,65.22,0.0,0.0,66.02,66.02,66.02,0.0,0.0
