Date,Charles Schwab US REIT_Open_average,Charles Schwab US REIT_Open_max,Charles Schwab US REIT_Open_min,Charles Schwab US REIT_Open_volatility,Charles Schwab US REIT_Open_change,Charles Schwab US REIT_High_average,Charles Schwab US REIT_High_max,Charles Schwab US REIT_High_min,Charles Schwab US REIT_High_volatility,Charles Schwab US REIT_High_change,Charles Schwab US REIT_Low_average,Charles Schwab US REIT_Low_max,Charles Schwab US REIT_Low_min,Charles Schwab US REIT_Low_volatility,Charles Schwab US REIT_Low_change,Charles Schwab US REIT_Close_average,Charles Schwab US REIT_Close_max,Charles Schwab US REIT_Close_min,Charles Schwab US REIT_Close_volatility,Charles Schwab US REIT_Close_change
2018-01-14,39.55,39.55,39.55,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-01-21,39.82,39.82,39.82,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-01-28,38.67,38.67,38.67,0.0,0.0,38.99,38.99,38.99,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-02-04,37.42,37.42,37.42,0.0,0.0,37.48,37.48,37.48,0.0,0.0,36.29,36.29,36.29,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-02-11,37.8,37.8,37.8,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.77,37.77,37.77,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2018-02-18,38.03,38.03,38.03,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2018-02-25,37.1,37.1,37.1,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-03-04,38.28,38.28,38.28,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-03-11,38.38,38.38,38.38,0.0,0.0,38.38,38.38,38.38,0.0,0.0,37.86,37.86,37.86,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-03-18,37.0,37.0,37.0,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.76,36.76,36.76,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-03-25,38.18,38.18,38.18,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-04-01,38.18,38.18,38.18,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.99,37.99,37.99,0.0,0.0
