Date,ProShares UltraShort Technology_etf_Open_average,ProShares UltraShort Technology_etf_Open_max,ProShares UltraShort Technology_etf_Open_min,ProShares UltraShort Technology_etf_Open_volatility,ProShares UltraShort Technology_etf_Open_change,ProShares UltraShort Technology_etf_High_average,ProShares UltraShort Technology_etf_High_max,ProShares UltraShort Technology_etf_High_min,ProShares UltraShort Technology_etf_High_volatility,ProShares UltraShort Technology_etf_High_change,ProShares UltraShort Technology_etf_Low_average,ProShares UltraShort Technology_etf_Low_max,ProShares UltraShort Technology_etf_Low_min,ProShares UltraShort Technology_etf_Low_volatility,ProShares UltraShort Technology_etf_Low_change,ProShares UltraShort Technology_etf_Close_average,ProShares UltraShort Technology_etf_Close_max,ProShares UltraShort Technology_etf_Close_min,ProShares UltraShort Technology_etf_Close_volatility,ProShares UltraShort Technology_etf_Close_change
2018-01-14,29.35,29.35,29.35,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-01-21,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-01-28,29.38,29.38,29.38,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.38,29.38,29.38,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-02-04,33.34,33.34,33.34,0.0,0.0,35.5,35.5,35.5,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-02-11,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-02-18,28.56,28.56,28.56,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2018-02-25,29.5,29.5,29.5,0.0,0.0,29.69,29.69,29.69,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-03-04,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-03-11,26.0,26.0,26.0,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-03-18,29.3,29.3,29.3,0.0,0.0,30.92,30.92,30.92,0.0,0.0,29.14,29.14,29.14,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-03-25,30.48,30.48,30.48,0.0,0.0,30.78,30.78,30.78,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-04-01,30.22,30.22,30.22,0.0,0.0,31.08,31.08,31.08,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-04-08,27.84,27.84,27.84,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.82,27.82,27.82,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-04-15,28.14,28.14,28.14,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-04-22,28.36,28.36,28.36,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-04-29,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-05-06,25.51,25.51,25.51,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-05-13,25.98,25.98,25.98,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-05-20,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-05-27,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.46,24.46,24.46,0.0,0.0
